 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |  E_i(cm^-1) |     i |     j |
          13.0 |             10.0 |  637.7630004882812 |  4.756300040753558e-05 |         0.0 |   1.0 |   3.0 |
          13.0 |             10.0 |  332.7900085449219 |     0.2874799966812134 |         0.0 |   1.0 |   5.0 |
          13.0 |             10.0 | 51.979000091552734 |     0.5648499727249146 |         0.0 |   1.0 |  13.0 |
          13.0 |             10.0 |  47.80400085449219 |   0.017152000218629837 |         0.0 |   1.0 |  22.0 |
          13.0 |             10.0 |  45.49800109863281 |   0.033844999969005585 |         0.0 |   1.0 |  42.0 |
          13.0 |             10.0 |  39.88600158691406 |     0.1485300064086914 |         0.0 |   1.0 |  46.0 |
          13.0 |             10.0 |  37.53200149536133 | 0.00021971999376546592 |         0.0 |   1.0 |  54.0 |
          13.0 |             10.0 |  36.85200119018555 |   0.016853999346494675 |         0.0 |   1.0 |  72.0 |
          13.0 |             10.0 |  36.13399887084961 |    0.05697700008749962 |         0.0 |   1.0 |  76.0 |
          13.0 |             10.0 |   34.4370002746582 |    0.03409900143742561 |         0.0 |   1.0 |  85.0 |
          13.0 |             10.0 |  34.10300064086914 |  0.0002898300008382648 |         0.0 |   1.0 |  96.0 |
          13.0 |             10.0 | 33.827999114990234 |   0.005746299866586924 |         0.0 |   1.0 | 116.0 |
          13.0 |             10.0 |  33.45800018310547 |   0.018050000071525574 |         0.0 |   1.0 | 120.0 |
          13.0 |             10.0 |  32.87300109863281 |   0.012834999710321426 |         0.0 |   1.0 | 132.0 |
          13.0 |             10.0 | 32.534000396728516 |   0.001684500020928681 |         0.0 |   1.0 | 142.0 |
          13.0 |             10.0 |  32.47100067138672 |   0.007921099662780762 |         0.0 |   1.0 | 148.0 |
          13.0 |             10.0 | 32.375999450683594 |  0.0021255998872220516 |         0.0 |   1.0 | 176.0 |
          13.0 |             10.0 | 32.202999114990234 |   0.005714999977499247 |         0.0 |   1.0 | 180.0 |
          13.0 |             10.0 | 31.996000289916992 |   0.004226999823004007 |         0.0 |   1.0 | 190.0 |
          13.0 |             10.0 | 31.847999572753906 |   0.003216699929907918 |         0.0 |   1.0 | 192.0 |
          13.0 |             10.0 | 31.733999252319336 |   0.002506399992853403 |         0.0 |   1.0 | 194.0 |
          13.0 |             10.0 | 31.643999099731445 |  0.0019918999169021845 |         0.0 |   1.0 | 196.0 |
          13.0 |             10.0 |  31.57200050354004 |  0.0016099000349640846 |         0.0 |   1.0 | 204.0 |
          13.0 |             10.0 | 31.513999938964844 |  0.0013200000394135714 |         0.0 |   1.0 | 206.0 |
          13.0 |             10.0 |  31.46500015258789 |  0.0010960999643430114 |         0.0 |   1.0 | 208.0 |
          13.0 |             10.0 | 31.423999786376953 |  0.0009202699875459075 |         0.0 |   1.0 | 210.0 |
          13.0 |             10.0 | 31.389999389648438 |  0.0007802500040270388 |         0.0 |   1.0 | 212.0 |
          13.0 |             10.0 | 31.361000061035156 |  0.0006673400057479739 |         0.0 |   1.0 | 214.0 |
          13.0 |             10.0 | 31.336000442504883 |  0.0005752699798904359 |         0.0 |   1.0 | 216.0 |
          13.0 |             10.0 |  31.31399917602539 |  0.0004994299961254001 |         0.0 |   1.0 | 218.0 |
          13.0 |             10.0 | 31.295000076293945 |  0.0004363899934105575 |         0.0 |   1.0 | 220.0 |
          13.0 |             10.0 |  31.27899932861328 |  0.0003835500101558864 |         0.0 |   1.0 | 222.0 |
          13.0 |             10.0 | 31.263999938964844 | 0.00033892999636009336 |         0.0 |   1.0 | 224.0 |
          13.0 |             10.0 | 31.250999450683594 | 0.00030097999842837453 |         0.0 |   1.0 | 226.0 |
          13.0 |             10.0 | 31.239999771118164 |  0.0002685000072233379 |         0.0 |   1.0 | 228.0 |
          13.0 |             10.0 | 31.229000091552734 |  0.0002405400009592995 |         0.0 |   1.0 | 230.0 |
          13.0 |             10.0 | 31.219999313354492 | 0.00021634000586345792 |         0.0 |   1.0 | 232.0 |
          13.0 |             10.0 | 31.211999893188477 | 0.00019527999393176287 |         0.0 |   1.0 | 234.0 |
          13.0 |             10.0 |   688.031982421875 |  3.725900032947038e-09 |    155148.0 |   2.0 |   5.0 |
