 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          13.0 |             12.0 |            7.8721 | 4.261e-09 |        0.0 |   1.0 |   2.0 |
          13.0 |             12.0 |          954.3988 |    0.0192 |        0.0 |   2.0 |   3.0 |
          13.0 |             12.0 |             7.807 |   0.00184 |        0.0 |   1.0 |   4.0 |
          13.0 |             12.0 |          943.1738 |    0.0583 |        0.0 |   2.0 |   4.0 |
          13.0 |             12.0 |          899.6608 |     0.102 |        0.0 |   2.0 |   5.0 |
          13.0 |             12.0 |         15028.555 |   9.2e-06 |        0.0 |   4.0 |   6.0 |
          13.0 |             12.0 |            7.7573 |     0.755 |        0.0 |   1.0 |   7.0 |
          13.0 |             12.0 |           45.1954 |    0.0166 |        0.0 |   3.0 |   8.0 |
          13.0 |             12.0 |           45.2209 |    0.0497 |        0.0 |   4.0 |   8.0 |
          13.0 |             12.0 |            45.326 |    0.0828 |        0.0 |   5.0 |   8.0 |
          13.0 |             12.0 |           46.9622 |  0.000116 |        0.0 |   7.0 |   8.0 |
          13.0 |             12.0 |           42.6226 |     0.125 |        0.0 |   2.0 |   9.0 |
          13.0 |             12.0 |           44.7423 |      2.18 |        0.0 |   5.0 |   9.0 |
          13.0 |             12.0 |            6.6447 |  0.000398 |        0.0 |   1.0 |  10.0 |
          13.0 |             12.0 |           42.6155 |     0.373 |        0.0 |   2.0 |  10.0 |
          13.0 |             12.0 |           44.7345 |       4.9 |        0.0 |   5.0 |  10.0 |
          13.0 |             12.0 |           44.7651 |     0.001 |        0.0 |   6.0 |  10.0 |
          13.0 |             12.0 |           44.6197 |  0.000135 |        0.0 |   4.0 |  11.0 |
          13.0 |             12.0 |           46.3142 |    0.0537 |        0.0 |   7.0 |  11.0 |
          13.0 |             12.0 |            42.588 |     0.624 |        0.0 |   2.0 |  12.0 |
          13.0 |             12.0 |           42.3027 |      15.1 |        0.0 |   2.0 |  13.0 |
          13.0 |             12.0 |           44.2647 |     0.676 |        0.0 |   3.0 |  13.0 |
          13.0 |             12.0 |           44.2891 |     0.505 |        0.0 |   4.0 |  13.0 |
          13.0 |             12.0 |           44.3899 |    0.0337 |        0.0 |   5.0 |  13.0 |
          13.0 |             12.0 |           45.9581 |   0.00119 |        0.0 |   7.0 |  13.0 |
          13.0 |             12.0 |             6.637 |      1.17 |        0.0 |   1.0 |  14.0 |
          13.0 |             12.0 |           42.3018 |      22.6 |        0.0 |   2.0 |  14.0 |
          13.0 |             12.0 |           44.2882 |      1.42 |        0.0 |   4.0 |  14.0 |
          13.0 |             12.0 |            44.389 |     0.456 |        0.0 |   5.0 |  14.0 |
          13.0 |             12.0 |           45.9571 |     0.159 |        0.0 |   7.0 |  14.0 |
          13.0 |             12.0 |           42.2918 |      35.2 |        0.0 |   2.0 |  15.0 |
          13.0 |             12.0 |           44.3779 |      2.83 |        0.0 |   5.0 |  15.0 |
          13.0 |             12.0 |            6.6364 |      10.7 |        0.0 |   1.0 |  16.0 |
          13.0 |             12.0 |            44.262 |     0.101 |        0.0 |   4.0 |  16.0 |
          13.0 |             12.0 |           44.3627 |      0.05 |        0.0 |   5.0 |  16.0 |
          13.0 |             12.0 |           44.3927 |      21.8 |        0.0 |   6.0 |  16.0 |
          13.0 |             12.0 |           45.9289 |      1.94 |        0.0 |   7.0 |  16.0 |
