 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |         E_i(cm^-1) |     i |     j |
          13.0 |              1.0 |  3944.006103515625 |    0.24646000564098358 |                0.0 |   1.0 |   3.0 |
          13.0 |              1.0 |  3444.863037109375 | 1.7999999499807018e-06 |                0.0 |   1.0 |   4.0 |
          13.0 |              1.0 |  3439.345947265625 |  3.999999975690116e-08 |                0.0 |   1.0 |   5.0 |
          13.0 |              1.0 |   3082.15087890625 |      0.322380006313324 |                0.0 |   1.0 |   7.0 |
          13.0 |              1.0 |   2652.47607421875 |   0.029273999854922295 |                0.0 |   1.0 |  11.0 |
          13.0 |              1.0 |   2567.98193359375 |    0.11957799643278122 |                0.0 |   1.0 |  12.0 |
          13.0 |              1.0 |  2372.070068359375 |    0.00970819965004921 |                0.0 |   1.0 |  18.0 |
          13.0 |              1.0 |  2367.052001953125 |    0.25609999895095825 |                0.0 |   1.0 |  19.0 |
          13.0 |              1.0 |  2263.464111328125 |     0.1954980045557022 |                0.0 |   1.0 |  27.0 |
          13.0 |              1.0 |  2258.007080078125 |   0.004650999791920185 |                0.0 |   1.0 |  29.0 |
          13.0 |              1.0 |      2204.66796875 |    0.12737199664115906 |                0.0 |   1.0 |  37.0 |
          13.0 |              1.0 |   2199.18310546875 |  0.0026048000436276197 |                0.0 |   1.0 |  39.0 |
          13.0 |              1.0 |  2168.825927734375 |    0.08355800062417984 |                0.0 |   1.0 |  48.0 |
          13.0 |              1.0 |  2164.576904296875 |  0.0016038799658417702 |                0.0 |   1.0 |  50.0 |
          13.0 |              1.0 |  2145.554931640625 |    0.05693800002336502 |                0.0 |   1.0 |  57.0 |
          13.0 |              1.0 |   2142.39990234375 |  0.0010613399790599942 |                0.0 |   1.0 |  59.0 |
          13.0 |              1.0 |    2129.6630859375 |    0.04008999839425087 |                0.0 |   1.0 |  66.0 |
          13.0 |              1.0 |  2127.300048828125 |  0.0007378400187008083 |                0.0 |   1.0 |  68.0 |
          13.0 |              1.0 |   2118.31591796875 |   0.013234400190412998 |                0.0 |   1.0 |  75.0 |
          13.0 |              1.0 |   2109.93994140625 |    0.00969420000910759 |                0.0 |   1.0 |  82.0 |
          13.0 |              1.0 |     2103.873046875 |   0.007536400109529495 |                0.0 |   1.0 |  83.0 |
          13.0 |              1.0 |   2098.89306640625 |   0.005841000005602837 |                0.0 |   1.0 |  84.0 |
          13.0 |              1.0 |    2094.9580078125 |   0.004622600041329861 |                0.0 |   1.0 |  85.0 |
          13.0 |              1.0 |    2091.7939453125 |  0.0037231999449431896 |                0.0 |   1.0 |  86.0 |
          13.0 |              1.0 |    2089.2119140625 |  0.0030443998984992504 |                0.0 |   1.0 |  87.0 |
          13.0 |              1.0 |  2087.076904296875 |  0.0025222001131623983 |                0.0 |   1.0 |  88.0 |
          13.0 |              1.0 |     2085.291015625 |   0.002113600028678775 |                0.0 |   1.0 |  89.0 |
          13.0 |              1.0 |  2083.781982421875 |  0.0017891200259327888 |                0.0 |   1.0 |  90.0 |
          13.0 |              1.0 |    2082.4951171875 |  0.0015281200176104903 |                0.0 |   1.0 |  91.0 |
          13.0 |              1.0 |  2081.388916015625 |  0.0013157400535419583 |                0.0 |   1.0 |  92.0 |
          13.0 |              1.0 |  2080.430908203125 |  0.0011410999577492476 |                0.0 |   1.0 |  93.0 |
          13.0 |              1.0 |  2079.596923828125 |   0.000996159971691668 |                0.0 |   1.0 |  94.0 |
          13.0 |              1.0 |  2078.864990234375 |  0.0008748599793761969 |                0.0 |   1.0 |  95.0 |
          13.0 |              1.0 |  2078.218994140625 |  0.0007725399918854237 |                0.0 |   1.0 |  96.0 |
