 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |     E_i(cm^-1) |     i |     j |
          13.0 |              2.0 |  2667.658935546875 |   1.06999996205559e-05 |            0.0 |   1.0 |   2.0 |
          13.0 |              2.0 | 1670.7869873046875 |      1.840000033378601 |            0.0 |   1.0 |   3.0 |
          13.0 |              2.0 |  935.2739868164062 |   0.003019999945536256 |            0.0 |   1.0 |  10.0 |
          13.0 |              2.0 |  794.4769897460938 |  0.0005670000100508332 |            0.0 |   1.0 |  20.0 |
          13.0 |              2.0 |  741.1829833984375 |  0.0010900000343099236 |            0.0 |   1.0 |  29.0 |
          13.0 |              2.0 |   714.698974609375 |  0.0010999999940395355 |            0.0 |   1.0 |  41.0 |
          13.0 |              2.0 |   699.489990234375 |  0.0010499999625608325 |            0.0 |   1.0 |  54.0 |
          13.0 |              2.0 |  689.9349975585938 |  0.0009980000322684646 |            0.0 |   1.0 |  62.0 |
          13.0 |              2.0 |  683.5269775390625 |  0.0009480000007897615 |            0.0 |   1.0 |  75.0 |
          13.0 |              2.0 |    679.02099609375 |  0.0008580000139772892 |            0.0 |   1.0 |  83.0 |
          13.0 |              2.0 |    671.97802734375 | 0.00034652999602258205 |            0.0 |   1.0 | 102.0 |
          13.0 |              2.0 |   669.947998046875 |  0.0002654000127222389 |            0.0 |   1.0 | 104.0 |
          13.0 |              2.0 |  668.3460083007812 | 0.00020809000125154853 |            0.0 |   1.0 | 106.0 |
          13.0 |              2.0 |  667.0599975585938 | 0.00016636999498587102 |            0.0 |   1.0 | 108.0 |
          13.0 |              2.0 |   666.010009765625 |  0.0001352300023427233 |            0.0 |   1.0 | 110.0 |
          13.0 |              2.0 |  665.1430053710938 | 0.00011148000339744613 |            0.0 |   1.0 | 112.0 |
          13.0 |              2.0 |  664.4180297851562 |  9.303499973611906e-05 |            0.0 |   1.0 | 114.0 |
          13.0 |              2.0 |  663.8049926757812 |  7.848100358387455e-05 |            0.0 |   1.0 | 116.0 |
          13.0 |              2.0 |  663.2830200195312 |  6.683499668724835e-05 |            0.0 |   1.0 | 118.0 |
          13.0 |              2.0 |  662.8350219726562 |  5.740100095863454e-05 |            0.0 |   1.0 | 120.0 |
          13.0 |              2.0 |  662.4459838867188 |  4.967399945599027e-05 |            0.0 |   1.0 | 122.0 |
          13.0 |              2.0 |  662.1079711914062 |  4.328299837652594e-05 |            0.0 |   1.0 | 124.0 |
          13.0 |              2.0 |  661.8109741210938 |  3.795000156969763e-05 |            0.0 |   1.0 | 126.0 |
          13.0 |              2.0 |  661.5499877929688 |  3.346200173837133e-05 |            0.0 |   1.0 | 127.0 |
          13.0 |              2.0 |  661.3179931640625 | 2.9659000574611127e-05 |            0.0 |   1.0 | 130.0 |
          13.0 |              2.0 |  661.1119995117188 |  2.641399987624027e-05 |            0.0 |   1.0 | 132.0 |
          13.0 |              2.0 |   660.927001953125 | 2.3627999325981364e-05 |            0.0 |   1.0 | 134.0 |
          13.0 |              2.0 |   660.760986328125 | 2.1220999769866467e-05 |            0.0 |   1.0 | 136.0 |
          13.0 |              2.0 |  660.6119995117188 | 1.9131999579258263e-05 |            0.0 |   1.0 | 138.0 |
          13.0 |              2.0 |            1858.75 |     1.1699999570846558 | 37474.91015625 |   2.0 |   5.0 |
          13.0 |              2.0 | 1763.9129638671875 |      5.509979724884033 | 37474.91015625 |   2.0 |   6.0 |
          13.0 |              2.0 |   1721.89501953125 |       8.09999942779541 | 37474.91015625 |   2.0 |   8.0 |
          13.0 |              2.0 | 1210.3890380859375 |     0.1490039974451065 | 37474.91015625 |   2.0 |  13.0 |
          13.0 |              2.0 | 1190.3489990234375 |    0.47699999809265137 | 37474.91015625 |   2.0 |  15.0 |
          13.0 |              2.0 | 1055.5140380859375 |    0.05329979956150055 | 37474.91015625 |   2.0 |  21.0 |
