 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          13.0 |              4.0 |           162.168 |       0.0 |        0.0 |   1.0 |   2.0 |
          13.0 |              4.0 |           161.688 |   0.01519 |        0.0 |   1.0 |   3.0 |
          13.0 |              4.0 |          63041.77 |       0.0 |   618473.9 |   3.0 |   4.0 |
          13.0 |              4.0 |           160.072 |    0.2388 |        0.0 |   1.0 |   5.0 |
          13.0 |              4.0 |          2131.514 |   0.00392 |   624717.5 |   5.0 |   6.0 |
          13.0 |              4.0 |          1939.023 |   0.04805 |   620060.1 |   4.0 |   6.0 |
          13.0 |              4.0 |          1818.566 |    0.3913 |   616644.1 |   2.0 |   6.0 |
          13.0 |              4.0 |          1881.162 |    0.1681 |   618473.9 |   3.0 |   6.0 |
          13.0 |              4.0 |          1557.252 |     1.749 |   616644.1 |   2.0 |   7.0 |
          13.0 |              4.0 |          1755.443 |   0.01658 |   624717.5 |   5.0 |   8.0 |
          13.0 |              4.0 |           146.696 |       0.0 |        0.0 |   1.0 |   8.0 |
          13.0 |              4.0 |          1537.538 |    0.4511 |   616644.1 |   2.0 |   8.0 |
          13.0 |              4.0 |          1582.045 |    0.7786 |   618473.9 |   3.0 |   8.0 |
          13.0 |              4.0 |          1716.316 |  0.001168 |   624717.5 |   5.0 |   9.0 |
          13.0 |              4.0 |          1589.277 |    0.2712 |   620060.1 |   4.0 |   9.0 |
          13.0 |              4.0 |          1507.439 |   0.05769 |   616644.1 |   2.0 |   9.0 |
          13.0 |              4.0 |          1550.197 |    0.4193 |   618473.9 |   3.0 |   9.0 |
          13.0 |              4.0 |          1639.057 |    0.6782 |   624717.5 |   5.0 |  10.0 |
          13.0 |              4.0 |            145.83 |       0.0 |        0.0 |   1.0 |  10.0 |
          13.0 |              4.0 |          1447.512 |    0.4576 |   616644.1 |   2.0 |  10.0 |
          13.0 |              4.0 |          1486.893 |    0.1442 |   618473.9 |   3.0 |  10.0 |
          13.0 |              4.0 |          1606.642 |    0.3873 |   624717.5 |   5.0 |  11.0 |
          13.0 |              4.0 |          1494.791 |    0.2313 |   620060.1 |   4.0 |  11.0 |
          13.0 |              4.0 |          1422.172 |   0.07814 |   616644.1 |   2.0 |  11.0 |
          13.0 |              4.0 |          1460.168 |   0.06667 |   618473.9 |   3.0 |  11.0 |
          13.0 |              4.0 |           1584.46 |     0.545 |   624717.5 |   5.0 |  12.0 |
          13.0 |              4.0 |           145.385 |       0.0 |        0.0 |   1.0 |  12.0 |
          13.0 |              4.0 |          1404.763 |     0.421 |   616644.1 |   2.0 |  12.0 |
          13.0 |              4.0 |          1441.823 |    0.3514 |   618473.9 |   3.0 |  12.0 |
          13.0 |              4.0 |          1431.931 |    0.2614 |   618473.9 |   3.0 |  13.0 |
          13.0 |              4.0 |          1572.522 |   0.01038 |   624717.5 |   5.0 |  13.0 |
          13.0 |              4.0 |          1564.165 |    0.3461 |   624717.5 |   5.0 |  14.0 |
          13.0 |              4.0 |          1457.954 |    0.2068 |   620060.1 |   4.0 |  14.0 |
          13.0 |              4.0 |          1388.788 |    0.1704 |   616644.1 |   2.0 |  14.0 |
          13.0 |              4.0 |          1424.999 |   0.06579 |   618473.9 |   3.0 |  14.0 |
          13.0 |              4.0 |          1045.774 |   0.02019 |   618473.9 |   3.0 |  15.0 |
          13.0 |              4.0 |          1118.826 |    0.4144 |   624717.5 |   5.0 |  15.0 |
          13.0 |              4.0 |          1312.138 |   0.02255 |   682981.8 |   9.0 |  16.0 |
          13.0 |              4.0 |          1142.063 |    0.2876 |   671632.5 |   6.0 |  16.0 |
          13.0 |              4.0 |          1384.386 |   0.04775 |   686959.1 |  11.0 |  16.0 |
          13.0 |              4.0 |          1417.556 |   0.09179 |   688649.4 |  14.0 |  16.0 |
          13.0 |              4.0 |           701.512 |       0.0 |   616644.1 |   2.0 |  16.0 |
          13.0 |              4.0 |          1409.494 |   0.09378 |   688649.4 |  14.0 |  17.0 |
          13.0 |              4.0 |          1305.227 |  0.003541 |   682981.8 |   9.0 |  17.0 |
          13.0 |              4.0 |          1376.696 |   0.04523 |   686959.1 |  11.0 |  17.0 |
          13.0 |              4.0 |          2197.805 | 0.0005962 |   714096.9 |  15.0 |  17.0 |
          13.0 |              4.0 |           131.649 |  0.002592 |        0.0 |   1.0 |  17.0 |
          13.0 |              4.0 |          1402.777 |    0.1234 |   688309.6 |  13.0 |  17.0 |
          13.0 |              4.0 |          1136.825 |    0.8062 |   671632.5 |   6.0 |  17.0 |
          13.0 |              4.0 |          1353.755 |    0.1026 |   685728.2 |  10.0 |  17.0 |
          13.0 |              4.0 |          1283.473 |   0.04363 |   681683.2 |   8.0 |  17.0 |
          13.0 |              4.0 |          1393.411 |    0.1283 |   687830.5 |  12.0 |  17.0 |
          13.0 |              4.0 |           699.532 |       0.0 |   616644.1 |   2.0 |  17.0 |
          13.0 |              4.0 |          1392.315 |   0.04398 |   688649.4 |  14.0 |  18.0 |
          13.0 |              4.0 |          1256.086 |   0.04133 |   680859.8 |   7.0 |  18.0 |
          13.0 |              4.0 |          1290.483 |     0.018 |   682981.8 |   9.0 |  18.0 |
          13.0 |              4.0 |          1360.302 |   0.09142 |   686959.1 |  11.0 |  18.0 |
          13.0 |              4.0 |          1125.623 |     1.155 |   671632.5 |   6.0 |  18.0 |
          13.0 |              4.0 |            1337.9 |    0.4044 |   685728.2 |  10.0 |  18.0 |
          13.0 |              4.0 |          1269.213 |   0.02296 |   681683.2 |   8.0 |  18.0 |
          13.0 |              4.0 |           1376.62 |    0.4706 |   687830.5 |  12.0 |  18.0 |
          13.0 |              4.0 |           695.275 |       0.0 |   616644.1 |   2.0 |  18.0 |
          13.0 |              4.0 |          1237.187 |     8.318 |   680859.8 |   7.0 |  19.0 |
          13.0 |              4.0 |           689.445 |       0.0 |   616644.1 |   2.0 |  19.0 |
          13.0 |              4.0 |          1228.312 |    0.3874 |   680859.8 |   7.0 |  20.0 |
          13.0 |              4.0 |          1306.435 |    0.1147 |   685728.2 |  10.0 |  20.0 |
          13.0 |              4.0 |          1240.861 |      2.71 |   681683.2 |   8.0 |  20.0 |
          13.0 |              4.0 |           1343.33 |   0.02857 |   687830.5 |  12.0 |  20.0 |
          13.0 |              4.0 |           695.418 |       0.0 |   618473.9 |   3.0 |  20.0 |
          13.0 |              4.0 |          1333.969 |  0.001173 |   688649.4 |  14.0 |  21.0 |
          13.0 |              4.0 |          1208.404 |   0.03102 |   680859.8 |   7.0 |  21.0 |
          13.0 |              4.0 |          1240.205 |     1.635 |   682981.8 |   9.0 |  21.0 |
          13.0 |              4.0 |          1304.555 |   0.03698 |   686959.1 |  11.0 |  21.0 |
          13.0 |              4.0 |           1087.18 | 6.571e-05 |   671632.5 |   6.0 |  21.0 |
          13.0 |              4.0 |          1283.937 | 0.0002952 |   685728.2 |  10.0 |  21.0 |
          13.0 |              4.0 |          1220.548 |    0.6143 |   681683.2 |   8.0 |  21.0 |
          13.0 |              4.0 |          1319.555 |  0.005225 |   687830.5 |  12.0 |  21.0 |
          13.0 |              4.0 |           688.991 |       0.0 |   618473.9 |   3.0 |  21.0 |
          13.0 |              4.0 |           1210.45 |   0.01351 |   681683.2 |   8.0 |  22.0 |
