 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |   E_i(cm^-1) |     i |     j |
          13.0 |              5.0 |  278.6940002441406 |     0.3353919982910156 |          0.0 |   1.0 |   3.0 |
          13.0 |              5.0 |  130.8470001220703 |    0.39618799090385437 |          0.0 |   1.0 |   7.0 |
          13.0 |              5.0 | 130.41299438476562 |     0.0794999971985817 |          0.0 |   1.0 |   8.0 |
          13.0 |              5.0 | 125.52999877929688 |        0.2569600045681 |          0.0 |   1.0 |   9.0 |
          13.0 |              5.0 |  125.5250015258789 |   0.028551999479532242 |          0.0 |   1.0 |  10.0 |
          13.0 |              5.0 | 118.49500274658203 |   0.053227998316287994 |          0.0 |   1.0 |  24.0 |
          13.0 |              5.0 | 108.05799865722656 |    0.15671199560165405 |          0.0 |   1.0 |  46.0 |
          13.0 |              5.0 | 108.00399780273438 |    0.05864400044083595 |          0.0 |   1.0 |  47.0 |
          13.0 |              5.0 | 107.94599914550781 |     1.4118800163269043 |          0.0 |   1.0 |  48.0 |
          13.0 |              5.0 | 107.71099853515625 |     0.2940239906311035 |          0.0 |   1.0 |  49.0 |
          13.0 |              5.0 | 104.12200164794922 |     0.4071600139141083 |          0.0 |   1.0 |  52.0 |
          13.0 |              5.0 |   104.072998046875 |     0.8285199999809265 |          0.0 |   1.0 |  53.0 |
          13.0 |              5.0 | 103.98899841308594 |    0.16583199799060822 |          0.0 |   1.0 |  54.0 |
          13.0 |              5.0 | 103.88200378417969 |     0.8525999784469604 |          0.0 |   1.0 |  55.0 |
          13.0 |              5.0 | 103.80799865722656 |    0.09480000287294388 |          0.0 |   1.0 |  56.0 |
          13.0 |              5.0 |  99.42400360107422 |    0.07672800123691559 |          0.0 |   1.0 |  62.0 |
          13.0 |              5.0 |  99.29000091552734 |     0.2245119959115982 |          0.0 |   1.0 |  63.0 |
          13.0 |              5.0 |   99.2760009765625 |   0.024949200451374054 |          0.0 |   1.0 |  64.0 |
          13.0 |              5.0 |   99.1989974975586 |    0.01537999976426363 |          0.0 |   1.0 |  65.0 |
          13.0 |              5.0 |  95.83200073242188 |   0.040428001433610916 |          0.0 |   1.0 |  72.0 |
          13.0 |              5.0 |  93.88200378417969 |   0.039163198322057724 |          0.0 |   1.0 |  83.0 |
          13.0 |              5.0 |  93.85600280761719 |    0.07609599828720093 |          0.0 |   1.0 |  84.0 |
          13.0 |              5.0 |  93.75499725341797 |     0.6855999827384949 |          0.0 |   1.0 |  85.0 |
          13.0 |              5.0 |  93.65299987792969 |     0.1962919980287552 |          0.0 |   1.0 |  86.0 |
          13.0 |              5.0 |  91.74700164794922 |   0.023822400718927383 |          0.0 |   1.0 |  97.0 |
          13.0 |              5.0 |  90.85800170898438 |    0.08535999804735184 |          0.0 |   1.0 | 102.0 |
          13.0 |              5.0 |  90.79399871826172 |   0.037696000188589096 |          0.0 |   1.0 | 103.0 |
          13.0 |              5.0 |  90.69999694824219 |     0.1354839950799942 |          0.0 |   1.0 | 104.0 |
          13.0 |              5.0 |  90.66200256347656 |    0.02070239931344986 |          0.0 |   1.0 | 106.0 |
          13.0 |              5.0 |  90.64600372314453 |    0.18635599315166473 |          0.0 |   1.0 | 107.0 |
          13.0 |              5.0 |  90.63099670410156 |     0.1888200044631958 |          0.0 |   1.0 | 108.0 |
          13.0 |              5.0 |   88.5469970703125 |    0.04019999876618385 |          0.0 |   1.0 | 128.0 |
          13.0 |              5.0 |  88.42500305175781 |     0.3622959852218628 |          0.0 |   1.0 | 132.0 |
