 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |  E_i(cm^-1) |     i |     j |
          13.0 |              6.0 |   2428.39306640625 | 2.3000499282943565e-08 |         0.0 |   1.0 |   4.0 |
          13.0 |              6.0 | 1133.6199951171875 | 1.0788999901811813e-11 |         0.0 |   1.0 |   5.0 |
          13.0 |              6.0 | 309.59600830078125 |     0.5601999759674072 |         0.0 |   1.0 |   6.0 |
          13.0 |              6.0 |  307.2489929199219 |    0.18816500902175903 |         0.0 |   1.0 |   7.0 |
          13.0 |              6.0 | 109.51599884033203 |    0.24559499323368073 |         0.0 |   1.0 |  12.0 |
          13.0 |              6.0 |  104.0469970703125 |    0.30121999979019165 |         0.0 |   1.0 |  13.0 |
          13.0 |              6.0 | 100.63800048828125 |    0.05076000094413757 |         0.0 |   1.0 |  24.0 |
          13.0 |              6.0 | 100.61599731445312 |    0.15231500566005707 |         0.0 |   1.0 |  25.0 |
          13.0 |              6.0 |  92.64099884033203 |   0.013608499430119991 |         0.0 |   1.0 |  45.0 |
          13.0 |              6.0 |  92.63899993896484 |      0.204135000705719 |         0.0 |   1.0 |  46.0 |
          13.0 |              6.0 |   92.6259994506836 |     1.1433000564575195 |         0.0 |   1.0 |  47.0 |
          13.0 |              6.0 |  88.16300201416016 |     1.3070499897003174 |         0.0 |   1.0 |  55.0 |
          13.0 |              6.0 |  88.15599822998047 |    0.23341499269008636 |         0.0 |   1.0 |  57.0 |
          13.0 |              6.0 |   87.6520004272461 |     1.2665499448776245 |         0.0 |   1.0 |  59.0 |
          13.0 |              6.0 |  87.58699798583984 |     0.4224950075149536 |         0.0 |   1.0 |  60.0 |
          13.0 |              6.0 |  87.33200073242188 |     0.5722500085830688 |         0.0 |   1.0 |  63.0 |
          13.0 |              6.0 |  85.86599731445312 |    0.06388000398874283 |         0.0 |   1.0 |  67.0 |
          13.0 |              6.0 |  85.81700134277344 |    0.19174499809741974 |         0.0 |   1.0 |  68.0 |
          13.0 |              6.0 |  85.56600189208984 |     0.1865600049495697 |         0.0 |   1.0 |  69.0 |
          13.0 |              6.0 |   85.5250015258789 |   0.012443000450730324 |         0.0 |   1.0 |  70.0 |
          13.0 |              6.0 |  85.51799774169922 |      1.045300006866455 |         0.0 |   1.0 |  71.0 |
          13.0 |              6.0 |  82.08200073242188 |   0.059985000640153885 |         0.0 |   1.0 |  80.0 |
          13.0 |              6.0 |  78.69499969482422 |      0.566100001335144 |         0.0 |   1.0 |  85.0 |
          13.0 |              6.0 |  78.45899963378906 |   0.004525850061327219 |         0.0 |   1.0 |  87.0 |
          13.0 |              6.0 |  78.20800018310547 |    0.09658000618219376 |         0.0 |   1.0 |  91.0 |
          13.0 |              6.0 |  77.94499969482422 |    0.15454499423503876 |         0.0 |   1.0 |  93.0 |
          13.0 |              6.0 |  77.81999969482422 |    0.27088499069213867 |         0.0 |   1.0 |  96.0 |
          13.0 |              6.0 |   76.4020004272461 |   0.049588002264499664 |         0.0 |   1.0 | 104.0 |
          13.0 |              6.0 |  74.65799713134766 |    0.25745999813079834 |         0.0 |   1.0 | 116.0 |
          13.0 |              6.0 |  74.48400115966797 |    0.10773999989032745 |         0.0 |   1.0 | 123.0 |
          13.0 |              6.0 |  74.44200134277344 |    0.31202998757362366 |         0.0 |   1.0 | 124.0 |
          13.0 |              6.0 |  74.38700103759766 |      0.093299999833107 |         0.0 |   1.0 | 125.0 |
          13.0 |              6.0 |   72.9469985961914 |    0.14219500124454498 |         0.0 |   1.0 | 150.0 |
          13.0 |              6.0 |  72.94200134277344 |   0.013664000667631626 |         0.0 |   1.0 | 151.0 |
          13.0 |              6.0 |   72.7020034790039 |     0.7276999950408936 |         0.0 |   1.0 | 156.0 |
          13.0 |              6.0 |  72.36799621582031 |   0.006110500078648329 |         0.0 |   1.0 | 164.0 |
          13.0 |              6.0 |   71.2040023803711 |     0.0228899996727705 |         0.0 |   1.0 | 173.0 |
          13.0 |              6.0 |  71.10800170898438 |   0.009056000038981438 |         0.0 |   1.0 | 176.0 |
          13.0 |              6.0 |  70.26000213623047 |    0.13279999792575836 |         0.0 |   1.0 | 185.0 |
          13.0 |              6.0 |  69.78700256347656 |    0.14948000013828278 |         0.0 |   1.0 | 191.0 |
          13.0 |              6.0 |  69.73699951171875 |    0.18115000426769257 |         0.0 |   1.0 | 194.0 |
          13.0 |              6.0 |   69.6259994506836 |    0.08668500185012817 |         0.0 |   1.0 | 196.0 |
          13.0 |              6.0 |  69.61199951171875 |    0.08446499705314636 |         0.0 |   1.0 | 197.0 |
          13.0 |              6.0 |  69.33100128173828 |  0.0007168499869294465 |         0.0 |   1.0 | 212.0 |
          13.0 |              6.0 |   69.3010025024414 |  0.0035287998616695404 |         0.0 |   1.0 | 213.0 |
          13.0 |              6.0 |   68.7959976196289 |    0.11281999945640564 |         0.0 |   1.0 | 223.0 |
          13.0 |              6.0 |  68.61100006103516 |    0.05779999867081642 |         0.0 |   1.0 | 227.0 |
          13.0 |              6.0 |  68.38899993896484 |     0.2034199982881546 |         0.0 |   1.0 | 232.0 |
          13.0 |              6.0 |  68.21399688720703 |  0.0024176998995244503 |         0.0 |   1.0 | 238.0 |
          13.0 |              6.0 |  68.19400024414062 |    0.05530499666929245 |         0.0 |   1.0 | 239.0 |
          13.0 |              6.0 |  68.14099884033203 |    0.07670000195503235 |         0.0 |   1.0 | 241.0 |
          13.0 |              6.0 |  68.05899810791016 |   0.005780499894171953 |         0.0 |   1.0 | 245.0 |
          13.0 |              6.0 |  67.87999725341797 |      0.080595001578331 |         0.0 |   1.0 | 258.0 |
          13.0 |              6.0 |  67.73699951171875 |   0.013117500580847263 |         0.0 |   1.0 | 266.0 |
          13.0 |              6.0 |  67.48699951171875 |   0.007559499703347683 |         0.0 |   1.0 | 271.0 |
          13.0 |              6.0 |  67.35299682617188 |    0.03007199987769127 |         0.0 |   1.0 | 277.0 |
          13.0 |              6.0 |   67.2969970703125 |    0.10060999542474747 |         0.0 |   1.0 | 281.0 |
          13.0 |              6.0 |  67.26399993896484 |    0.03640950098633766 |         0.0 |   1.0 | 282.0 |
          13.0 |              6.0 |  67.26300048828125 |     0.0933849960565567 |         0.0 |   1.0 | 283.0 |
          13.0 |              6.0 |   67.0009994506836 |  0.0017621500883251429 |         0.0 |   1.0 | 299.0 |
          13.0 |              6.0 |  66.84700012207031 |    0.03863449767231941 |         0.0 |   1.0 | 303.0 |
          13.0 |              6.0 |  66.61299896240234 |   0.001701100030913949 |         0.0 |   1.0 | 307.0 |
          13.0 |              6.0 |   65.9540023803711 |    0.07505500316619873 |         0.0 |   1.0 | 324.0 |
