 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |  E_i(cm^-1) |     i |     j |
          13.0 |              8.0 |  2139.736083984375 |  8.568300149253139e-13 |         0.0 |   1.0 |   4.0 |
          13.0 |              8.0 |  381.1990051269531 |    0.07492999732494354 |         0.0 |   1.0 |   9.0 |
          13.0 |              8.0 |  323.5090026855469 |    0.08512900024652481 |         0.0 |   1.0 |  11.0 |
          13.0 |              8.0 | 247.40199279785156 |    0.10271000117063522 |         0.0 |   1.0 |  14.0 |
          13.0 |              8.0 |  75.73200225830078 |    0.06815999746322632 |         0.0 |   1.0 |  22.0 |
          13.0 |              8.0 |  67.36000061035156 |     0.8124099969863892 |         0.0 |   1.0 |  36.0 |
          13.0 |              8.0 |  67.04399871826172 |     0.2708500027656555 |         0.0 |   1.0 |  40.0 |
          13.0 |              8.0 |  65.30599975585938 |    0.03612999990582466 |         0.0 |   1.0 |  47.0 |
          13.0 |              8.0 |  63.93299865722656 |     0.1451999992132187 |         0.0 |   1.0 |  50.0 |
          13.0 |              8.0 |  63.42599868774414 |    0.08323600143194199 |         0.0 |   1.0 |  54.0 |
          13.0 |              8.0 |  59.89400100708008 |   0.011246999725699425 |         0.0 |   1.0 |  77.0 |
          13.0 |              8.0 | 59.459999084472656 |  0.0011913999915122986 |         0.0 |   1.0 |  79.0 |
          13.0 |              8.0 |  57.53099822998047 |   0.014135999605059624 |         0.0 |   1.0 |  88.0 |
          13.0 |              8.0 |   57.1349983215332 |     0.0378430001437664 |         0.0 |   1.0 |  97.0 |
          13.0 |              8.0 | 56.952999114990234 |    0.03027299977838993 |         0.0 |   1.0 |  99.0 |
          13.0 |              8.0 |  56.68000030517578 |   0.011241000145673752 |         0.0 |   1.0 | 102.0 |
          13.0 |              8.0 | 54.696998596191406 |  0.0005907699814997613 |         0.0 |   1.0 | 119.0 |
          13.0 |              8.0 |  54.18299865722656 |    0.18366999924182892 |         0.0 |   1.0 | 132.0 |
          13.0 |              8.0 | 54.099998474121094 |    0.06151700019836426 |         0.0 |   1.0 | 135.0 |
          13.0 |              8.0 |  53.76900100708008 |   9.34389972826466e-05 |         0.0 |   1.0 | 140.0 |
          13.0 |              8.0 | 51.939998626708984 | 0.00028467000811360776 |         0.0 |   1.0 | 154.0 |
          13.0 |              8.0 |  51.41600036621094 |    0.01601099967956543 |         0.0 |   1.0 | 158.0 |
          13.0 |              8.0 | 51.229000091552734 |   0.010484999977052212 |         0.0 |   1.0 | 159.0 |
          13.0 |              8.0 |   50.9109992980957 |    0.03769100084900856 |         0.0 |   1.0 | 164.0 |
          13.0 |              8.0 |  50.82699966430664 |    0.02268099971115589 |         0.0 |   1.0 | 165.0 |
          13.0 |              8.0 | 50.487998962402344 |   0.008649200201034546 |         0.0 |   1.0 | 168.0 |
          13.0 |              8.0 |  50.07400131225586 |  0.0008759800111874938 |         0.0 |   1.0 | 187.0 |
