 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |    i |    j |
          13.0 |             13.0 |            7.1761 |      0.0 |        0.0 |  1.0 |  2.0 |
          13.0 |             13.0 |            7.1763 |   0.2772 |        0.0 |  1.0 |  3.0 |
          13.0 |             13.0 |            7.1709 |   0.5552 |        0.0 |  1.0 |  4.0 |
          13.0 |             13.0 |           38.6952 |  0.02718 | 13934725.0 |  3.0 |  5.0 |
          13.0 |             13.0 |           38.8532 |  0.05436 | 13945238.0 |  4.0 |  5.0 |
          13.0 |             13.0 |            6.0537 |  0.05268 |        0.0 |  1.0 |  6.0 |
          13.0 |             13.0 |           38.7031 |   0.2896 | 13935134.0 |  2.0 |  6.0 |
          13.0 |             13.0 |            6.0525 |   0.1055 |        0.0 |  1.0 |  7.0 |
          13.0 |             13.0 |           38.6565 |   0.5802 | 13935134.0 |  2.0 |  7.0 |
          13.0 |             13.0 |           38.6505 |    1.392 | 13934725.0 |  3.0 |  8.0 |
          13.0 |             13.0 |           38.8082 |   0.2783 | 13945238.0 |  4.0 |  8.0 |
          13.0 |             13.0 |           38.7926 |    2.505 | 13945238.0 |  4.0 |  9.0 |
          13.0 |             13.0 |           28.6675 |  0.00609 | 13934725.0 |  3.0 | 10.0 |
          13.0 |             13.0 |           28.7542 |  0.01218 | 13945238.0 |  4.0 | 10.0 |
          13.0 |             13.0 |           110.609 |   0.0645 | 16518905.0 |  6.0 | 10.0 |
          13.0 |             13.0 |           110.991 |    0.129 | 16522020.0 |  7.0 | 10.0 |
          13.0 |             13.0 |            5.7396 |  0.01931 |        0.0 |  1.0 | 11.0 |
          13.0 |             13.0 |           28.6713 |  0.06846 | 13935134.0 |  2.0 | 11.0 |
          13.0 |             13.0 |            110.63 |   0.3228 | 16519027.0 |  5.0 | 11.0 |
          13.0 |             13.0 |           110.997 |  0.03663 | 16522015.0 |  8.0 | 11.0 |
          13.0 |             13.0 |            5.7391 |  0.03867 |        0.0 |  1.0 | 12.0 |
          13.0 |             13.0 |           28.6605 |   0.1371 | 13935134.0 |  2.0 | 12.0 |
          13.0 |             13.0 |            110.47 |   0.6466 | 16519027.0 |  5.0 | 12.0 |
          13.0 |             13.0 |           110.835 | 0.007328 | 16522015.0 |  8.0 | 12.0 |
          13.0 |             13.0 |           110.963 |  0.06594 | 16523049.0 |  9.0 | 12.0 |
          13.0 |             13.0 |           28.6572 |   0.2436 | 13934725.0 |  3.0 | 13.0 |
          13.0 |             13.0 |           28.7438 |  0.04872 | 13945238.0 |  4.0 | 13.0 |
          13.0 |             13.0 |           110.455 |    1.237 | 16518905.0 |  6.0 | 13.0 |
          13.0 |             13.0 |           110.836 |   0.2473 | 16522020.0 |  7.0 | 13.0 |
          13.0 |             13.0 |           28.7402 |   0.4385 | 13945238.0 |  4.0 | 14.0 |
          13.0 |             13.0 |           110.783 |    2.226 | 16522020.0 |  7.0 | 14.0 |
          13.0 |             13.0 |           110.782 |    4.072 | 16522015.0 |  8.0 | 15.0 |
          13.0 |             13.0 |           110.909 |   0.2909 | 16523049.0 |  9.0 | 15.0 |
          13.0 |             13.0 |           110.882 |    5.817 | 16523049.0 |  9.0 | 16.0 |
