 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |     j |
          18.0 |              8.0 |           713.801 |     0.392 |        0.0 |  1.0 |   2.0 |
          18.0 |              8.0 |            700.24 |    0.8011 |        0.0 |  1.0 |   3.0 |
          18.0 |              8.0 |           526.867 |    0.2114 |   142808.2 |  3.0 |   4.0 |
          18.0 |              8.0 |           300.653 |       0.0 |        0.0 |  1.0 |   4.0 |
          18.0 |              8.0 |           519.442 |     1.067 |   140095.0 |  2.0 |   4.0 |
          18.0 |              8.0 |           526.465 |     1.904 |   142808.2 |  3.0 |   5.0 |
          18.0 |              8.0 |           300.522 |       0.0 |        0.0 |  1.0 |   5.0 |
          18.0 |              8.0 |           230.867 |    0.3468 |   142808.2 |  3.0 |   6.0 |
          18.0 |              8.0 |            229.43 |    0.1689 |   140095.0 |  2.0 |   6.0 |
          18.0 |              8.0 |           206.002 |       0.0 |   142808.2 |  3.0 |   7.0 |
          18.0 |              8.0 |           338.259 |    0.2599 |   332609.4 |  4.0 |   7.0 |
          18.0 |              8.0 |           159.175 |   0.07685 |        0.0 |  1.0 |   7.0 |
          18.0 |              8.0 |            1912.7 |    0.5714 |   575958.5 |  6.0 |   7.0 |
          18.0 |              8.0 |           337.281 |    0.4627 |   332754.2 |  5.0 |   8.0 |
          18.0 |              8.0 |           205.578 |       0.0 |   142808.2 |  3.0 |   8.0 |
          18.0 |              8.0 |           337.117 |   0.05127 |   332609.4 |  4.0 |   8.0 |
          18.0 |              8.0 |           158.921 |    0.1485 |        0.0 |  1.0 |   8.0 |
          18.0 |              8.0 |           204.437 |       0.0 |   140095.0 |  2.0 |   8.0 |
          18.0 |              8.0 |          1876.736 |     1.163 |   575958.5 |  6.0 |   8.0 |
          18.0 |              8.0 |            180.27 |   0.05175 |   142808.2 |  3.0 |   9.0 |
          18.0 |              8.0 |           274.031 |       0.0 |   332609.4 |  4.0 |   9.0 |
          18.0 |              8.0 |          1464.351 |    0.3222 |   629242.5 |  8.0 |   9.0 |
          18.0 |              8.0 |           143.363 |       0.0 |        0.0 |  1.0 |   9.0 |
          18.0 |              8.0 |           179.392 |    0.2517 |   140095.0 |  2.0 |   9.0 |
          18.0 |              8.0 |          1443.178 |     1.624 |   628240.6 |  7.0 |   9.0 |
          18.0 |              8.0 |           274.073 |       0.0 |   332754.2 |  5.0 |  10.0 |
          18.0 |              8.0 |           180.241 |    0.4634 |   142808.2 |  3.0 |  10.0 |
