 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          18.0 |             12.0 |          1054.685 |       0.0 |        0.0 |  1.0 |  2.0 |
          18.0 |             12.0 |          1018.724 |       0.0 |        0.0 |  1.0 |  3.0 |
          18.0 |             12.0 |         29877.502 |       0.0 |    94815.0 |  2.0 |  3.0 |
          18.0 |             12.0 |           670.354 |       0.0 |        0.0 |  1.0 |  4.0 |
          18.0 |             12.0 |          1839.588 |       0.0 |    94815.0 |  2.0 |  4.0 |
          18.0 |             12.0 |          1960.285 |       0.0 |    98162.0 |  3.0 |  4.0 |
          18.0 |             12.0 |            649.14 |       0.0 |        0.0 |  1.0 |  5.0 |
          18.0 |             12.0 |          1688.191 |       0.0 |    94815.0 |  2.0 |  5.0 |
          18.0 |             12.0 |          1789.293 |       0.0 |    98162.0 |  3.0 |  5.0 |
          18.0 |             12.0 |          20512.82 |       0.0 |   149175.0 |  4.0 |  5.0 |
          18.0 |             12.0 |           224.249 |    0.2933 |        0.0 |  1.0 |  6.0 |
          18.0 |             12.0 |           284.805 | 0.0005247 |    94815.0 |  2.0 |  6.0 |
          18.0 |             12.0 |           287.546 | 0.0009373 |    98162.0 |  3.0 |  6.0 |
          18.0 |             12.0 |           342.604 | 0.0004842 |   154050.0 |  5.0 |  6.0 |
          18.0 |             12.0 |           218.293 |    0.2017 |        0.0 |  1.0 |  7.0 |
          18.0 |             12.0 |           277.826 | 5.035e-05 |    98162.0 |  3.0 |  7.0 |
          18.0 |             12.0 |           328.893 | 0.0007172 |   154050.0 |  5.0 |  7.0 |
          18.0 |             12.0 |           215.497 |     0.103 |        0.0 |  1.0 |  8.0 |
          18.0 |             12.0 |           270.835 | 7.513e-05 |    94815.0 |  2.0 |  8.0 |
          18.0 |             12.0 |           317.593 | 0.0001503 |   149175.0 |  4.0 |  8.0 |
          18.0 |             12.0 |           162.919 | 9.783e-05 |        0.0 |  1.0 |  9.0 |
          18.0 |             12.0 |           192.683 |    0.3478 |    94815.0 |  2.0 |  9.0 |
          18.0 |             12.0 |           193.933 |    0.0193 |    98162.0 |  3.0 |  9.0 |
          18.0 |             12.0 |           215.226 |   0.04906 |   149175.0 |  4.0 |  9.0 |
          18.0 |             12.0 |           217.508 |  0.000539 |   154050.0 |  5.0 |  9.0 |
          18.0 |             12.0 |           162.752 | 1.134e-05 |        0.0 |  1.0 | 10.0 |
          18.0 |             12.0 |            192.45 |  0.007435 |    94815.0 |  2.0 | 10.0 |
          18.0 |             12.0 |           193.697 |    0.4817 |    98162.0 |  3.0 | 10.0 |
          18.0 |             12.0 |           217.211 |    0.1202 |   154050.0 |  5.0 | 10.0 |
          18.0 |             12.0 |           139.806 | 0.0003757 |        0.0 |  1.0 | 11.0 |
          18.0 |             12.0 |            161.17 |   0.06099 |    94815.0 |  2.0 | 11.0 |
          18.0 |             12.0 |           176.647 |      0.14 |   149175.0 |  4.0 | 11.0 |
          18.0 |             12.0 |           178.181 |    0.1111 |   154050.0 |  5.0 | 11.0 |
          18.0 |             12.0 |           134.095 |  0.001887 |        0.0 |  1.0 | 12.0 |
          18.0 |             12.0 |           153.628 |    0.1261 |    94815.0 |  2.0 | 12.0 |
          18.0 |             12.0 |           154.422 |    0.6894 |    98162.0 |  3.0 | 12.0 |
          18.0 |             12.0 |           167.627 |   0.05063 |   149175.0 |  4.0 | 12.0 |
          18.0 |             12.0 |           169.008 |    0.1389 |   154050.0 |  5.0 | 12.0 |
          18.0 |             12.0 |           131.269 | 0.0002074 |        0.0 |  1.0 | 13.0 |
          18.0 |             12.0 |           149.929 |    0.2384 |    94815.0 |  2.0 | 13.0 |
          18.0 |             12.0 |           163.233 |   0.04498 |   149175.0 |  4.0 | 13.0 |
          18.0 |             12.0 |           164.542 |    0.2095 |   154050.0 |  5.0 | 13.0 |
          18.0 |             12.0 |           138.763 |  0.001673 |   445932.0 |  6.0 | 14.0 |
          18.0 |             12.0 |           141.146 | 0.0005661 |   458100.0 |  7.0 | 14.0 |
          18.0 |             12.0 |            142.34 | 0.0001647 |   464043.0 |  8.0 | 14.0 |
          18.0 |             12.0 |           180.903 |   0.07465 |   613803.0 |  9.0 | 14.0 |
          18.0 |             12.0 |           181.109 |    0.4342 |   614431.0 | 10.0 | 14.0 |
          18.0 |             12.0 |           221.578 |   0.07698 |   715277.0 | 11.0 | 14.0 |
          18.0 |             12.0 |           237.616 |    0.5186 |   745738.0 | 12.0 | 14.0 |
          18.0 |             12.0 |           247.043 |   0.07194 |   761797.0 | 13.0 | 14.0 |
          18.0 |             12.0 |           137.345 | 4.276e-05 |   458100.0 |  7.0 | 15.0 |
          18.0 |             12.0 |           138.475 |   0.00028 |   464043.0 |  8.0 | 15.0 |
          18.0 |             12.0 |           174.706 |    0.2252 |   613803.0 |  9.0 | 15.0 |
          18.0 |             12.0 |           212.352 |  0.000659 |   715277.0 | 11.0 | 15.0 |
          18.0 |             12.0 |           227.038 |    0.1321 |   745738.0 | 12.0 | 15.0 |
          18.0 |             12.0 |           235.629 |    0.2357 |   761797.0 | 13.0 | 15.0 |
          18.0 |             12.0 |           34.8797 |     0.075 |        0.0 |  1.0 | 16.0 |
          18.0 |             12.0 |           36.0726 |  0.003002 |    94815.0 |  2.0 | 16.0 |
          18.0 |             12.0 |           36.7941 | 0.0001298 |   149175.0 |  4.0 | 16.0 |
          18.0 |             12.0 |           36.8602 | 0.0003458 |   154050.0 |  5.0 | 16.0 |
          18.0 |             12.0 |           34.7802 |    0.1484 |        0.0 |  1.0 | 17.0 |
          18.0 |             12.0 |           35.9662 |  0.001392 |    94815.0 |  2.0 | 17.0 |
          18.0 |             12.0 |           36.0096 |   0.00359 |    98162.0 |  3.0 | 17.0 |
          18.0 |             12.0 |           36.6834 | 0.0002011 |   149175.0 |  4.0 | 17.0 |
          18.0 |             12.0 |           36.7492 |   0.00089 |   154050.0 |  5.0 | 17.0 |
          18.0 |             12.0 |           34.6705 |    0.2207 |        0.0 |  1.0 | 18.0 |
          18.0 |             12.0 |           35.8489 | 0.0001683 |    94815.0 |  2.0 | 18.0 |
          18.0 |             12.0 |            35.892 |  0.005811 |    98162.0 |  3.0 | 18.0 |
          18.0 |             12.0 |           36.6267 | 4.018e-06 |   154050.0 |  5.0 | 18.0 |
          18.0 |             12.0 |           34.5028 | 0.0002192 |        0.0 |  1.0 | 19.0 |
          18.0 |             12.0 |           35.7329 |    0.1739 |    94815.0 |  2.0 | 19.0 |
          18.0 |             12.0 |           36.4321 |   0.06291 |   149175.0 |  4.0 | 19.0 |
          18.0 |             12.0 |           36.4997 |  0.009544 |   154050.0 |  5.0 | 19.0 |
          18.0 |             12.0 |           34.3418 | 0.0001237 |        0.0 |  1.0 | 20.0 |
          18.0 |             12.0 |           35.4977 |  0.001002 |    94815.0 |  2.0 | 20.0 |
          18.0 |             12.0 |           35.5399 |    0.2741 |    98162.0 |  3.0 | 20.0 |
          18.0 |             12.0 |           36.1961 |    0.0569 |   149175.0 |  4.0 | 20.0 |
          18.0 |             12.0 |           36.2601 |    0.1578 |   154050.0 |  5.0 | 20.0 |
          18.0 |             12.0 |           33.8033 |  0.001013 |        0.0 |  1.0 | 21.0 |
          18.0 |             12.0 |           34.9832 |    0.0548 |    94815.0 |  2.0 | 21.0 |
          18.0 |             12.0 |           35.0272 |    0.2902 |    98162.0 |  3.0 | 21.0 |
          18.0 |             12.0 |           35.7179 |   0.08875 |   154050.0 |  5.0 | 21.0 |
          18.0 |             12.0 |           33.7949 | 0.0001497 |        0.0 |  1.0 | 22.0 |
          18.0 |             12.0 |           34.9741 |    0.1491 |    94815.0 |  2.0 | 22.0 |
          18.0 |             12.0 |           35.0182 |  0.002034 |    98162.0 |  3.0 | 22.0 |
          18.0 |             12.0 |           35.6438 |   0.04732 |   149175.0 |  4.0 | 22.0 |
          18.0 |             12.0 |           35.7084 |    0.1022 |   154050.0 |  5.0 | 22.0 |
          18.0 |             12.0 |           33.4355 |       0.0 |        0.0 |  1.0 | 23.0 |
          18.0 |             12.0 |           34.5894 |       0.0 |    94815.0 |  2.0 | 23.0 |
          18.0 |             12.0 |           34.6325 |       0.0 |    98162.0 |  3.0 | 23.0 |
          18.0 |             12.0 |           35.3075 |       0.0 |   154050.0 |  5.0 | 23.0 |
          18.0 |             12.0 |           39.5709 | 5.224e-05 |   458100.0 |  7.0 | 23.0 |
          18.0 |             12.0 |           39.6672 | 0.0002121 |   464043.0 |  8.0 | 23.0 |
          18.0 |             12.0 |            42.322 |  2.36e-05 |   613803.0 |  9.0 | 23.0 |
          18.0 |             12.0 |           44.2443 | 3.152e-05 |   715277.0 | 11.0 | 23.0 |
          18.0 |             12.0 |           44.9059 | 3.661e-05 |   745738.0 | 12.0 | 23.0 |
          18.0 |             12.0 |           45.2416 | 8.977e-05 |   761797.0 | 13.0 | 23.0 |
          18.0 |             12.0 |           790.243 |    0.1288 |  2867000.0 | 16.0 | 23.0 |
          18.0 |             12.0 |           847.476 |   0.03204 |  2875200.0 | 17.0 | 23.0 |
          18.0 |             12.0 |          1080.927 |  0.009765 |  2898317.0 | 19.0 | 23.0 |
          18.0 |             12.0 |          1260.101 |  0.009079 |  2911900.0 | 20.0 | 23.0 |
          18.0 |             12.0 |          3144.446 | 0.0001252 |  2959028.0 | 22.0 | 23.0 |
          18.0 |             12.0 |           33.5245 |       0.0 |        0.0 |  1.0 | 24.0 |
          18.0 |             12.0 |           34.6847 |       0.0 |    94815.0 |  2.0 | 24.0 |
