 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          18.0 |             15.0 |           437.285 |       0.0 |        0.0 |   1.0 |   2.0 |
          18.0 |             15.0 |            423.98 | 0.0002352 |        0.0 |   1.0 |   3.0 |
          18.0 |             15.0 |           395.758 | 9.283e-11 |        0.0 |   1.0 |   4.0 |
          18.0 |             15.0 |           5945.53 | 1.693e-06 |   235860.2 |   3.0 |   4.0 |
          18.0 |             15.0 |           4167.44 | 1.359e-11 |   228684.0 |   2.0 |   4.0 |
          18.0 |             15.0 |            221.15 |    0.2055 |        0.0 |   1.0 |   5.0 |
          18.0 |             15.0 |           654.729 | 0.0002237 |   452182.0 |   5.0 |   6.0 |
          18.0 |             15.0 |           270.961 |    0.0768 |   235860.2 |   3.0 |   6.0 |
          18.0 |             15.0 |           613.655 | 6.879e-05 |   452182.0 |   5.0 |   7.0 |
          18.0 |             15.0 |           263.658 |   0.05904 |   235860.2 |   3.0 |   7.0 |
          18.0 |             15.0 |           258.762 |    0.0806 |   228684.0 |   2.0 |   7.0 |
          18.0 |             15.0 |           275.892 |    0.0938 |   252679.5 |   4.0 |   7.0 |
          18.0 |             15.0 |           567.775 |   0.00477 |   452182.0 |   5.0 |   8.0 |
          18.0 |             15.0 |           254.811 |    0.1026 |   235860.2 |   3.0 |   8.0 |
          18.0 |             15.0 |           266.221 |     0.282 |   252679.5 |   4.0 |   8.0 |
          18.0 |             15.0 |           418.015 |    0.2315 |   452182.0 |   5.0 |   9.0 |
          18.0 |             15.0 |           216.363 | 0.0008814 |   235860.2 |   3.0 |   9.0 |
          18.0 |             15.0 |           224.907 |   0.01277 |   252679.5 |   4.0 |   9.0 |
          18.0 |             15.0 |           257.441 |    0.1436 |   452182.0 |   5.0 |  10.0 |
          18.0 |             15.0 |           165.355 | 7.986e-05 |   235860.2 |   3.0 |  10.0 |
          18.0 |             15.0 |            28.764 | 0.0002479 |   452182.0 |   5.0 |  11.0 |
          18.0 |             15.0 |            27.031 |   0.08751 |   235860.2 |   3.0 |  11.0 |
          18.0 |             15.0 |            26.974 |   0.02899 |   228684.0 |   2.0 |  11.0 |
          18.0 |             15.0 |             27.16 |    0.1479 |   252679.5 |   4.0 |  11.0 |
          18.0 |             15.0 |             28.34 |   0.03096 |   452182.0 |   5.0 |  12.0 |
          18.0 |             15.0 |            30.474 | 3.365e-06 |   698743.0 |   9.0 |  12.0 |
          18.0 |             15.0 |            26.703 | 2.551e-05 |   235860.2 |   3.0 |  12.0 |
          18.0 |             15.0 |            29.907 |   0.02226 |   698743.0 |   9.0 |  13.0 |
          18.0 |             15.0 |            939.96 |    0.0534 |  3936064.0 |  11.0 |  13.0 |
          18.0 |             15.0 |            27.852 | 5.169e-05 |   452182.0 |   5.0 |  13.0 |
          18.0 |             15.0 |            24.737 |    0.4515 |        0.0 |   1.0 |  13.0 |
          18.0 |             15.0 |            31.231 |  0.001245 |   840620.0 |  10.0 |  13.0 |
          18.0 |             15.0 |            26.269 | 8.355e-06 |   235860.2 |   3.0 |  13.0 |
          18.0 |             15.0 |            29.176 | 0.0003639 |   615140.0 |   7.0 |  13.0 |
          18.0 |             15.0 |            29.089 | 0.0003467 |   604917.0 |   6.0 |  13.0 |
          18.0 |             15.0 |            29.289 |  0.003156 |   628308.0 |   8.0 |  13.0 |
          18.0 |             15.0 |            26.386 |  3.09e-05 |   252679.5 |   4.0 |  13.0 |
          18.0 |             15.0 |          1617.076 |   0.05971 |  3980760.0 |  12.0 |  13.0 |
          18.0 |             15.0 |           923.621 |   0.06261 |  3936064.0 |  11.0 |  14.0 |
