 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |     i |     j |
          18.0 |             16.0 |           389.066 |   0.0524 |        0.0 |   1.0 |   2.0 |
          18.0 |             16.0 |           353.853 |    0.115 |        0.0 |   1.0 |   3.0 |
          18.0 |             16.0 |           25.5167 |    0.039 |        0.0 |   2.0 |   4.0 |
          18.0 |             16.0 |           25.6843 |   0.0775 |        0.0 |   3.0 |   4.0 |
          18.0 |             16.0 |           23.5463 |    0.238 |        0.0 |   1.0 |   5.0 |
          18.0 |             16.0 |          1410.039 |   0.0879 |        0.0 |   4.0 |   5.0 |
          18.0 |             16.0 |           23.5063 |    0.477 |        0.0 |   1.0 |   6.0 |
          18.0 |             16.0 |          1279.591 |    0.198 |        0.0 |   4.0 |   6.0 |
          18.0 |             16.0 |           24.8509 |     1.36 |        0.0 |   2.0 |   7.0 |
          18.0 |             16.0 |           25.0098 |    0.269 |        0.0 |   3.0 |   7.0 |
          18.0 |             16.0 |            24.994 |     2.43 |        0.0 |   3.0 |   8.0 |
          18.0 |             16.0 |           18.6962 |  0.00834 |        0.0 |   2.0 |   9.0 |
          18.0 |             16.0 |           18.7861 |   0.0166 |        0.0 |   3.0 |   9.0 |
          18.0 |             16.0 |            73.597 |   0.0895 |        0.0 |   5.0 |   9.0 |
          18.0 |             16.0 |            73.991 |    0.178 |        0.0 |   6.0 |   9.0 |
          18.0 |             16.0 |           17.7469 |   0.0604 |        0.0 |   1.0 |  10.0 |
          18.0 |             16.0 |            68.551 |    0.259 |        0.0 |   4.0 |  10.0 |
          18.0 |             16.0 |            73.868 |    0.044 |        0.0 |   7.0 |  10.0 |
          18.0 |             16.0 |           17.7371 |    0.121 |        0.0 |   1.0 |  11.0 |
          18.0 |             16.0 |            68.406 |    0.519 |        0.0 |   4.0 |  11.0 |
          18.0 |             16.0 |            73.699 |  0.00882 |        0.0 |   7.0 |  11.0 |
          18.0 |             16.0 |            73.837 |   0.0793 |        0.0 |   8.0 |  11.0 |
          18.0 |             16.0 |           18.5463 |    0.246 |        0.0 |   2.0 |  12.0 |
          18.0 |             16.0 |           18.6347 |   0.0489 |        0.0 |   3.0 |  12.0 |
          18.0 |             16.0 |            71.327 |     1.18 |        0.0 |   5.0 |  12.0 |
          18.0 |             16.0 |            71.697 |    0.234 |        0.0 |   6.0 |  12.0 |
          18.0 |             16.0 |           18.6324 |     0.44 |        0.0 |   3.0 |  13.0 |
          18.0 |             16.0 |            71.662 |      2.1 |        0.0 |   6.0 |  13.0 |
          18.0 |             16.0 |             73.03 |     4.06 |        0.0 |   7.0 |  14.0 |
          18.0 |             16.0 |            73.173 |     0.29 |        0.0 |   8.0 |  14.0 |
          18.0 |             16.0 |            73.143 |     5.79 |        0.0 |   8.0 |  15.0 |
          18.0 |             16.0 |           16.6597 |  0.00331 |        0.0 |   2.0 |  16.0 |
          18.0 |             16.0 |            16.731 |  0.00659 |        0.0 |   3.0 |  16.0 |
          18.0 |             16.0 |           49.6875 |   0.0196 |        0.0 |   5.0 |  16.0 |
          18.0 |             16.0 |           49.8666 |    0.039 |        0.0 |   6.0 |  16.0 |
