 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          18.0 |             17.0 |            3.9941 | 3.188e-08 |        0.0 |   1.0 |   2.0 |
          18.0 |             17.0 |          661.5594 |    0.0139 |        0.0 |   2.0 |   3.0 |
          18.0 |             17.0 |            3.9694 |    0.0117 |        0.0 |   1.0 |   4.0 |
          18.0 |             17.0 |          639.5538 |    0.0425 |        0.0 |   2.0 |   4.0 |
          18.0 |             17.0 |          12570.71 |  3.43e-05 |        0.0 |   4.0 |   5.0 |
          18.0 |             17.0 |            3.9659 |       0.0 |        0.0 |   1.0 |   6.0 |
          18.0 |             17.0 |            559.97 |    0.0821 |        0.0 |   2.0 |   6.0 |
          18.0 |             17.0 |            3.9491 |     0.761 |        0.0 |   1.0 |   7.0 |
          18.0 |             17.0 |           22.4868 |    0.0161 |        0.0 |   3.0 |   8.0 |
          18.0 |             17.0 |           22.5132 |    0.0474 |        0.0 |   4.0 |   8.0 |
          18.0 |             17.0 |           22.6264 |    0.0797 |        0.0 |   6.0 |   8.0 |
          18.0 |             17.0 |           23.1893 |  0.000707 |        0.0 |   7.0 |   8.0 |
          18.0 |             17.0 |           21.5522 |     0.129 |        0.0 |   2.0 |   9.0 |
          18.0 |             17.0 |           22.4149 |      4.37 |        0.0 |   6.0 |   9.0 |
          18.0 |             17.0 |            3.3695 |   0.00251 |        0.0 |   1.0 |  10.0 |
          18.0 |             17.0 |           21.5452 |     0.381 |        0.0 |   2.0 |  10.0 |
          18.0 |             17.0 |           22.3359 |   0.00646 |        0.0 |   5.0 |  10.0 |
          18.0 |             17.0 |           22.4073 |       9.7 |        0.0 |   6.0 |  10.0 |
          18.0 |             17.0 |           22.2955 |  0.000792 |        0.0 |   4.0 |  11.0 |
          18.0 |             17.0 |           22.9585 |    0.0501 |        0.0 |   7.0 |  11.0 |
          18.0 |             17.0 |           21.5147 |     0.647 |        0.0 |   2.0 |  12.0 |
          18.0 |             17.0 |           22.2637 |      9.91 |        0.0 |   4.0 |  12.0 |
          18.0 |             17.0 |           22.3744 |      7.71 |        0.0 |   6.0 |  12.0 |
          18.0 |             17.0 |           21.3947 |      29.8 |        0.0 |   2.0 |  13.0 |
          18.0 |             17.0 |           22.1097 |     0.681 |        0.0 |   3.0 |  13.0 |
          18.0 |             17.0 |           22.1351 |     0.503 |        0.0 |   4.0 |  13.0 |
          18.0 |             17.0 |           22.2445 |    0.0338 |        0.0 |   6.0 |  13.0 |
          18.0 |             17.0 |           22.7885 |   0.00753 |        0.0 |   7.0 |  13.0 |
          18.0 |             17.0 |            3.3657 |      5.51 |        0.0 |   1.0 |  14.0 |
          18.0 |             17.0 |           21.3925 |      38.5 |        0.0 |   2.0 |  14.0 |
          18.0 |             17.0 |           22.1328 |      1.36 |        0.0 |   4.0 |  14.0 |
          18.0 |             17.0 |           22.2422 |     0.393 |        0.0 |   6.0 |  14.0 |
          18.0 |             17.0 |            22.786 |     0.302 |        0.0 |   7.0 |  14.0 |
          18.0 |             17.0 |           21.3808 |      69.8 |        0.0 |   2.0 |  15.0 |
          18.0 |             17.0 |           22.2296 |      2.85 |        0.0 |   6.0 |  15.0 |
          18.0 |             17.0 |            3.3654 |      18.9 |        0.0 |   1.0 |  16.0 |
          18.0 |             17.0 |           22.1194 |      0.18 |        0.0 |   4.0 |  16.0 |
          18.0 |             17.0 |           22.1584 |      37.5 |        0.0 |   5.0 |  16.0 |
          18.0 |             17.0 |           22.2287 |     0.115 |        0.0 |   6.0 |  16.0 |
          18.0 |             17.0 |           22.7718 |      1.78 |        0.0 |   7.0 |  16.0 |
          18.0 |             17.0 |            3.3653 |     0.154 |        0.0 |   1.0 |  17.0 |
          18.0 |             17.0 |           21.3747 |   0.00626 |        0.0 |   2.0 |  17.0 |
          18.0 |             17.0 |           22.1528 |       0.4 |        0.0 |   5.0 |  17.0 |
          18.0 |             17.0 |            16.573 |   0.00329 |        0.0 |   3.0 |  18.0 |
          18.0 |             17.0 |           16.5873 |   0.00972 |        0.0 |   4.0 |  18.0 |
          18.0 |             17.0 |           16.6487 |    0.0164 |        0.0 |   6.0 |  18.0 |
          18.0 |             17.0 |           16.9515 |  0.000146 |        0.0 |   7.0 |  18.0 |
          18.0 |             17.0 |           64.7182 |    0.0382 |        0.0 |   9.0 |  18.0 |
          18.0 |             17.0 |           64.7819 |     0.113 |        0.0 |  10.0 |  18.0 |
          18.0 |             17.0 |           65.0588 |      0.19 |        0.0 |  12.0 |  18.0 |
          18.0 |             17.0 |           66.3733 |   0.00178 |        0.0 |  17.0 |  18.0 |
          18.0 |             17.0 |            16.123 |    0.0312 |        0.0 |   2.0 |  19.0 |
          18.0 |             17.0 |           16.6009 |     0.994 |        0.0 |   6.0 |  19.0 |
          18.0 |             17.0 |           62.3391 |     0.142 |        0.0 |   8.0 |  19.0 |
          18.0 |             17.0 |           65.4335 |    0.0211 |        0.0 |  13.0 |  19.0 |
          18.0 |             17.0 |           16.5391 |  0.000184 |        0.0 |   4.0 |  20.0 |
          18.0 |             17.0 |           16.9012 |    0.0117 |        0.0 |   7.0 |  20.0 |
          18.0 |             17.0 |           64.0525 |   0.00188 |        0.0 |  10.0 |  20.0 |
          18.0 |             17.0 |           65.6078 |     0.113 |        0.0 |  17.0 |  20.0 |
          18.0 |             17.0 |            3.2011 |  0.000991 |        0.0 |   1.0 |  21.0 |
          18.0 |             17.0 |           16.1213 |     0.092 |        0.0 |   2.0 |  21.0 |
          18.0 |             17.0 |             16.56 |    0.0017 |        0.0 |   5.0 |  21.0 |
          18.0 |             17.0 |           16.5992 |       2.2 |        0.0 |   6.0 |  21.0 |
          18.0 |             17.0 |           62.3142 |      0.42 |        0.0 |   8.0 |  21.0 |
          18.0 |             17.0 |           64.0447 |   0.00745 |        0.0 |  11.0 |  21.0 |
          18.0 |             17.0 |           65.4062 |    0.0156 |        0.0 |  13.0 |  21.0 |
          18.0 |             17.0 |           65.4264 |    0.0418 |        0.0 |  14.0 |  21.0 |
          18.0 |             17.0 |           65.5437 |   0.00577 |        0.0 |  16.0 |  21.0 |
          18.0 |             17.0 |           16.1141 |     0.156 |        0.0 |   2.0 |  22.0 |
          18.0 |             17.0 |           16.5306 |      2.23 |        0.0 |   4.0 |  22.0 |
          18.0 |             17.0 |           62.2069 |     0.713 |        0.0 |   8.0 |  22.0 |
          18.0 |             17.0 |           65.2879 |   0.00106 |        0.0 |  13.0 |  22.0 |
          18.0 |             17.0 |            65.308 |    0.0123 |        0.0 |  14.0 |  22.0 |
          18.0 |             17.0 |           65.4172 |    0.0886 |        0.0 |  15.0 |  22.0 |
          18.0 |             17.0 |           65.4249 |   0.00357 |        0.0 |  16.0 |  22.0 |
          18.0 |             17.0 |           16.4906 |     0.122 |        0.0 |   3.0 |  23.0 |
