 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |     E_i(cm^-1) |     i |     j |
          18.0 |              1.0 | 1066.6600341796875 |    0.06089499965310097 |            0.0 |   1.0 |   3.0 |
          18.0 |              1.0 |  1048.219970703125 |    0.25202998518943787 |            0.0 |   1.0 |   5.0 |
          18.0 |              1.0 |  894.3099975585938 |  0.0074130999855697155 |            0.0 |   1.0 |  17.0 |
          18.0 |              1.0 |   879.947021484375 |   0.026815000921487808 |            0.0 |   1.0 |  23.0 |
          18.0 |              1.0 |  876.0579833984375 |    0.09319800138473511 |            0.0 |   1.0 |  25.0 |
          18.0 |              1.0 |  869.7540283203125 |   0.011908000335097313 |            0.0 |   1.0 |  30.0 |
          18.0 |              1.0 |  866.7999877929688 |    0.10576999932527542 |            0.0 |   1.0 |  31.0 |
          18.0 |              1.0 |  842.8049926757812 |   0.006760799791663885 |            0.0 |   1.0 |  42.0 |
          18.0 |              1.0 |  835.0020141601562 |   0.011749000288546085 |            0.0 |   1.0 |  50.0 |
          18.0 |              1.0 |  834.3920288085938 |    0.23987999558448792 |            0.0 |   1.0 |  51.0 |
          18.0 |              1.0 |   826.364990234375 |    0.22386999428272247 |            0.0 |   1.0 |  63.0 |
          18.0 |              1.0 |  825.3460083007812 |   0.007244400214403868 |            0.0 |   1.0 |  66.0 |
          18.0 |              1.0 |     820.1240234375 |  0.0032359000761061907 |            0.0 |   1.0 |  77.0 |
          18.0 |              1.0 |  816.4639892578125 |   0.005888400133699179 |            0.0 |   1.0 |  84.0 |
          18.0 |              1.0 |  816.2319946289062 |    0.10470999777317047 |            0.0 |   1.0 |  85.0 |
          18.0 |              1.0 |   809.927001953125 |  0.0014453999465331435 |            0.0 |   1.0 | 113.0 |
          18.0 |              1.0 |  807.6530151367188 |    0.10965000092983246 |            0.0 |   1.0 | 120.0 |
          18.0 |              1.0 |   807.218017578125 |   0.003162299981340766 |            0.0 |   1.0 | 124.0 |
          18.0 |              1.0 |  806.8690185546875 |  0.0032359000761061907 |            0.0 |   1.0 | 126.0 |
          18.0 |              1.0 |  802.8590087890625 |   0.004466800019145012 |            0.0 |   1.0 | 167.0 |
          18.0 |              1.0 |  801.3939819335938 |  0.0020417000632733107 |            0.0 |   1.0 | 178.0 |
          18.0 |              1.0 |  801.3579711914062 |    0.10000000149011612 |            0.0 |   1.0 | 179.0 |
          18.0 |              1.0 |     9122.966796875 |     0.4247100055217743 |  93750.6015625 |   2.0 |   6.0 |
          18.0 |              1.0 |   8115.31103515625 |     1.3733699321746826 |  93750.6015625 |   2.0 |   7.0 |
          18.0 |              1.0 |      8014.78515625 |     0.2682569921016693 |  93750.6015625 |   2.0 |   8.0 |
          18.0 |              1.0 |     7723.759765625 |    0.08343599736690521 |  93750.6015625 |   2.0 |   9.0 |
          18.0 |              1.0 |   7635.10498046875 |     0.6427199840545654 |  93750.6015625 |   2.0 |  10.0 |
          18.0 |              1.0 |     7147.041015625 |   0.008619900792837143 |  93750.6015625 |   2.0 |  12.0 |
          18.0 |              1.0 |     7067.216796875 |    0.08540700376033783 |  93750.6015625 |   2.0 |  13.0 |
          18.0 |              1.0 |   6965.43017578125 |     0.0837090015411377 |  93750.6015625 |   2.0 |  14.0 |
          18.0 |              1.0 |   4251.18505859375 |   0.000541649991646409 |  93750.6015625 |   2.0 |  32.0 |
          18.0 |              1.0 |    4200.6748046875 |   0.010750200599431992 |  93750.6015625 |   2.0 |  33.0 |
          18.0 |              1.0 |     4190.712890625 |  0.0022128899581730366 |  93750.6015625 |   2.0 |  34.0 |
          18.0 |              1.0 |   4164.17919921875 |   0.001348439953289926 |  93750.6015625 |   2.0 |  35.0 |
          18.0 |              1.0 |    4158.5908203125 |   0.010895399376749992 |  93750.6015625 |   2.0 |  36.0 |
          18.0 |              1.0 |  3957.133056640625 | 1.5071400412125513e-05 |  93750.6015625 |   2.0 |  38.0 |
          18.0 |              1.0 |   3948.97900390625 |  0.0019158299546688795 |  93750.6015625 |   2.0 |  39.0 |
          18.0 |              1.0 |    3947.5048828125 | 0.00039270002162083983 |  93750.6015625 |   2.0 |  40.0 |
          18.0 |              1.0 |     3580.001953125 |  0.0016910401172935963 |  93750.6015625 |   2.0 |  64.0 |
          18.0 |              1.0 |  3567.656005859375 |   0.004990499932318926 |  93750.6015625 |   2.0 |  67.0 |
          18.0 |              1.0 |      3564.29296875 |  0.0009081299649551511 |  93750.6015625 |   2.0 |  68.0 |
          18.0 |              1.0 |  3556.007080078125 |   0.000314880016958341 |  93750.6015625 |   2.0 |  69.0 |
          18.0 |              1.0 |  3554.304931640625 |  0.0015349800232797861 |  93750.6015625 |   2.0 |  70.0 |
          18.0 |              1.0 |  3392.781982421875 |  6.731999746989459e-06 |  93750.6015625 |   2.0 |  87.0 |
