 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |        E_i(cm^-1) |     i |     j |
          18.0 |              3.0 |      89889.3984375 | 1.1198999771977469e-07 |               0.0 |   1.0 |   2.0 |
          18.0 |              3.0 |     63667.62109375 | 1.4410499703243485e-12 |               0.0 |   1.0 |   3.0 |
          18.0 |              3.0 |    7135.7900390625 | 1.1991500237229502e-08 |               0.0 |   1.0 |   4.0 |
          18.0 |              3.0 |  3005.220947265625 |  5.649499965065807e-11 |               0.0 |   1.0 |   5.0 |
          18.0 |              3.0 |  878.7310180664062 |    0.12302500009536743 |               0.0 |   1.0 |   6.0 |
          18.0 |              3.0 |  871.0999755859375 |    0.04102049767971039 |               0.0 |   1.0 |   7.0 |
          18.0 |              3.0 |  694.3369750976562 |   0.004786300007253885 |               0.0 |   1.0 |   9.0 |
          18.0 |              3.0 |  690.2000122070312 |  0.0008128499612212181 |               0.0 |   1.0 |  10.0 |
          18.0 |              3.0 |   690.176025390625 |   0.001584900077432394 |               0.0 |   1.0 |  11.0 |
          18.0 |              3.0 |  690.1430053710938 |  0.0003162299981340766 |               0.0 |   1.0 |  12.0 |
          18.0 |              3.0 |  637.2860107421875 |     1.9054498672485352 |               0.0 |   1.0 |  14.0 |
          18.0 |              3.0 |  637.2570190429688 |    0.34673500061035156 |               0.0 |   1.0 |  15.0 |
          18.0 |              3.0 |   636.822021484375 |   0.024546999484300613 |               0.0 |   1.0 |  16.0 |
          18.0 |              3.0 |   553.469970703125 |     0.6088500022888184 |               0.0 |   1.0 |  27.0 |
          18.0 |              3.0 |   535.739013671875 |    0.02041749842464924 |               0.0 |   1.0 |  29.0 |
          18.0 |              3.0 |  535.0339965820312 |   0.006309499964118004 |               0.0 |   1.0 |  30.0 |
          18.0 |              3.0 |  534.2680053710938 | 0.00023988499015104026 |               0.0 |   1.0 |  31.0 |
          18.0 |              3.0 |  532.4130249023438 |   0.013803999871015549 |               0.0 |   1.0 |  33.0 |
          18.0 |              3.0 |  530.4539794921875 |   0.004073800053447485 |               0.0 |   1.0 |  34.0 |
          18.0 |              3.0 |  529.9000244140625 |     0.5623500347137451 |               0.0 |   1.0 |  35.0 |
          18.0 |              3.0 |  528.0369873046875 |     1.1817500591278076 |               0.0 |   1.0 |  36.0 |
          18.0 |              3.0 |  508.6709899902344 |   0.009398000314831734 |               0.0 |   1.0 |  37.0 |
          18.0 |              3.0 |  508.6080017089844 |     0.1409900039434433 |               0.0 |   1.0 |  38.0 |
          18.0 |              3.0 |    508.43798828125 |     0.7897999882698059 |               0.0 |   1.0 |  39.0 |
          18.0 |              3.0 |  488.4519958496094 |     2.1379499435424805 |               0.0 |   1.0 |  46.0 |
          18.0 |              3.0 | 482.54901123046875 |      3.374300003051758 |               0.0 |   1.0 |  48.0 |
          18.0 |              3.0 |  481.8529968261719 |     1.1263999938964844 |               0.0 |   1.0 |  49.0 |
          18.0 |              3.0 |     475.7080078125 |      6.025500297546387 |               0.0 |   1.0 |  54.0 |
          18.0 |              3.0 |  473.9209899902344 |     0.8709499835968018 |               0.0 |   1.0 |  55.0 |
          18.0 |              3.0 |  472.6679992675781 |     0.1047150045633316 |               0.0 |   1.0 |  57.0 |
          18.0 |              3.0 |  467.3949890136719 |      3.235949993133545 |               0.0 |   1.0 |  58.0 |
          18.0 |              3.0 |  466.5320129394531 |    0.31622999906539917 |               0.0 |   1.0 |  59.0 |
          18.0 |              3.0 |   406.447998046875 | 1.1481500195031913e-07 |               0.0 |   1.0 |  85.0 |
          18.0 |              3.0 |  406.4440002441406 |   2.04175005791285e-08 |               0.0 |   1.0 |  86.0 |
          18.0 |              3.0 |    406.43798828125 | 3.1622998903912958e-06 |               0.0 |   1.0 |  87.0 |
          18.0 |              3.0 | 396.42498779296875 |   0.023988500237464905 |               0.0 |   1.0 |  91.0 |
          18.0 |              3.0 |  396.3940124511719 |   0.001621800009161234 |               0.0 |   1.0 |  92.0 |
          18.0 |              3.0 |  396.3689880371094 |    0.13804000616073608 |               0.0 |   1.0 |  93.0 |
          18.0 |              3.0 |  395.9200134277344 |    0.11900000274181366 |               0.0 |   1.0 |  94.0 |
          18.0 |              3.0 |  374.9200134277344 | 2.1877498511457816e-05 |               0.0 |   1.0 | 101.0 |
          18.0 |              3.0 |  374.7019958496094 | 0.00010232999920845032 |               0.0 |   1.0 | 102.0 |
          18.0 |              3.0 |    373.43701171875 | 5.0120001482412135e-09 |               0.0 |   1.0 | 104.0 |
          18.0 |              3.0 |  371.7749938964844 | 2.1877498511457816e-05 |               0.0 |   1.0 | 109.0 |
          18.0 |              3.0 |  371.7439880371094 |   0.023442499339580536 |               0.0 |   1.0 | 110.0 |
          18.0 |              3.0 |  371.7279968261719 |  0.0026302500627934933 |               0.0 |   1.0 | 111.0 |
          18.0 |              3.0 |    368.31201171875 |    0.04466849938035011 |               0.0 |   1.0 | 114.0 |
          18.0 |              3.0 |  368.0899963378906 |   0.014790999703109264 |               0.0 |   1.0 | 115.0 |
