 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |      E_i(cm^-1) |     i |     j |
          18.0 |              4.0 |      4740.16796875 |  3.127799963476008e-10 |             0.0 |   1.0 |   2.0 |
          18.0 |              4.0 |     4711.373046875 |   3.53608010927875e-11 |             0.0 |   1.0 |   3.0 |
          18.0 |              4.0 |   2868.14599609375 |  2.127400033913318e-09 |             0.0 |   1.0 |   4.0 |
          18.0 |              4.0 |   2853.64599609375 | 1.0309999964874805e-08 |             0.0 |   1.0 |   5.0 |
          18.0 |              4.0 |  850.5960083007812 |     0.1698240041732788 |             0.0 |   1.0 |   6.0 |
          18.0 |              4.0 |  843.7650146484375 |    0.11481600254774094 |             0.0 |   1.0 |   7.0 |
          18.0 |              4.0 |  840.0280151367188 |    0.05794399976730347 |             0.0 |   1.0 |   8.0 |
          18.0 |              4.0 |  685.3049926757812 |  1.584880010341294e-05 |             0.0 |   1.0 |   9.0 |
          18.0 |              4.0 |  684.9320068359375 |  4.265600068720232e-07 |             0.0 |   1.0 |  10.0 |
          18.0 |              4.0 |  601.1329956054688 |  0.0010964799439534545 |             0.0 |   1.0 |  11.0 |
          18.0 |              4.0 |  597.2160034179688 |  0.0001096479973057285 |             0.0 |   1.0 |  12.0 |
          18.0 |              4.0 |   562.322021484375 | 0.00023988400062080473 |             0.0 |   1.0 |  13.0 |
          18.0 |              4.0 |   452.927001953125 |      6.234399795532227 |             0.0 |   1.0 |  25.0 |
          18.0 |              4.0 |  451.8739929199219 |      4.165999889373779 |             0.0 |   1.0 |  26.0 |
          18.0 |              4.0 |  451.2090148925781 |     2.0860400199890137 |             0.0 |   1.0 |  27.0 |
          18.0 |              4.0 |  399.6570129394531 |    0.15848800539970398 |             0.0 |   1.0 |  37.0 |
          18.0 |              4.0 |    398.56298828125 |     0.3090279996395111 |             0.0 |   1.0 |  38.0 |
          18.0 |              4.0 | 396.87799072265625 |     0.4466800093650818 |             0.0 |   1.0 |  40.0 |
          18.0 |              4.0 |  390.4930114746094 | 0.00010471200221218169 |             0.0 |   1.0 |  42.0 |
          18.0 |              4.0 |  388.5870056152344 | 0.00023442400561179966 |             0.0 |   1.0 |  43.0 |
          18.0 |              4.0 | 292.62298583984375 |   0.022616000846028328 |             0.0 |   1.0 |  82.0 |
          18.0 |              4.0 |  278.9700012207031 |     0.1566160023212433 |             0.0 |   1.0 |  94.0 |
          18.0 |              4.0 |  260.4939880371094 |   0.028278399258852005 |             0.0 |   1.0 | 123.0 |
          18.0 |              4.0 |  252.1479949951172 |   0.020800000056624413 |             0.0 |   1.0 | 134.0 |
          18.0 |              4.0 | 247.23199462890625 |    0.06733199954032898 |             0.0 |   1.0 | 142.0 |
