 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |        E_i(cm^-1) |     i |     j |
          18.0 |              5.0 |   6133.68603515625 |  9.875999757574805e-13 |               0.0 |   1.0 |   4.0 |
          18.0 |              5.0 |  822.1640014648438 |    0.04345100000500679 |               0.0 |   1.0 |   7.0 |
          18.0 |              5.0 |   705.364013671875 |    0.05861400067806244 |               0.0 |   1.0 |  11.0 |
          18.0 |              5.0 |   522.094970703125 |     0.2951200008392334 |               0.0 |   1.0 |  15.0 |
          18.0 |              5.0 |  511.8819885253906 |     0.5248100161552429 |               0.0 |   1.0 |  16.0 |
          18.0 |              5.0 |  458.1189880371094 |      0.954990029335022 |               0.0 |   1.0 |  18.0 |
          18.0 |              5.0 |   445.989013671875 |     1.3980000019073486 |               0.0 |   1.0 |  21.0 |
          18.0 |              5.0 |  337.5790100097656 |     0.1445399969816208 |               0.0 |   1.0 |  34.0 |
          18.0 |              5.0 | 251.54400634765625 |   0.014139000326395035 |               0.0 |   1.0 |  64.0 |
          18.0 |              5.0 | 248.01800537109375 |  0.0036744000390172005 |               0.0 |   1.0 |  70.0 |
          18.0 |              5.0 | 232.37899780273438 |   0.029236000031232834 |               0.0 |   1.0 |  82.0 |
          18.0 |              5.0 | 230.86399841308594 |   0.005384000018239021 |               0.0 |   1.0 |  87.0 |
          18.0 |              5.0 | 226.88699340820312 |  0.0005507500027306378 |               0.0 |   1.0 |  94.0 |
          18.0 |              5.0 |  224.6999969482422 |    0.01880599930882454 |               0.0 |   1.0 |  97.0 |
          18.0 |              5.0 |  221.8800048828125 |   0.014468000270426273 |               0.0 |   1.0 | 101.0 |
          18.0 |              5.0 | 211.26699829101562 |  4.788400110555813e-05 |               0.0 |   1.0 | 116.0 |
          18.0 |              5.0 |    209.22900390625 |    0.02216299995779991 |               0.0 |   1.0 | 120.0 |
          18.0 |              5.0 | 208.91799926757812 |    0.00539050018414855 |               0.0 |   1.0 | 121.0 |
          18.0 |              5.0 |  207.8090057373047 |  0.0013365000486373901 |               0.0 |   1.0 | 123.0 |
          18.0 |              5.0 | 205.55099487304688 |  3.765200017369352e-05 |               0.0 |   1.0 | 129.0 |
          18.0 |              5.0 |  204.8459930419922 | 0.00027292000595480204 |               0.0 |   1.0 | 130.0 |
          18.0 |              5.0 |              204.5 |  0.0011362000368535519 |               0.0 |   1.0 | 132.0 |
          18.0 |              5.0 |    202.35400390625 |  1.270099983230466e-05 |               0.0 |   1.0 | 142.0 |
          18.0 |              5.0 | 201.58099365234375 |   0.013705000281333923 |               0.0 |   1.0 | 148.0 |
          18.0 |              5.0 |  194.5679931640625 |  0.0012817999813705683 |               0.0 |   1.0 | 166.0 |
          18.0 |              5.0 | 194.13099670410156 | 0.00020620999566745013 |               0.0 |   1.0 | 168.0 |
          18.0 |              5.0 | 193.01800537109375 |   0.020509999245405197 |               0.0 |   1.0 | 171.0 |
          18.0 |              5.0 | 192.01199340820312 |   6.26499968348071e-05 |               0.0 |   1.0 | 178.0 |
          18.0 |              5.0 | 191.95599365234375 |   0.004537099972367287 |               0.0 |   1.0 | 179.0 |
          18.0 |              5.0 | 189.01499938964844 |   0.006076499819755554 |               0.0 |   1.0 | 199.0 |
