 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |   i |    j |
          18.0 |              7.0 |           877.917 | 5.82e-05 |        0.0 | 1.0 |  3.0 |
          18.0 |              7.0 |           865.149 |      0.0 |        0.0 | 1.0 |  4.0 |
          18.0 |              7.0 |           59488.4 |      0.0 |   113906.0 | 3.0 |  4.0 |
          18.0 |              7.0 |           585.754 |     1.27 |        0.0 | 1.0 |  5.0 |
          18.0 |              7.0 |            662.98 |  0.00778 |   113906.0 | 3.0 |  6.0 |
          18.0 |              7.0 |           670.452 |   0.0202 |   115587.0 | 4.0 |  6.0 |
          18.0 |              7.0 |          1063.603 |    0.338 |   170720.0 | 5.0 |  6.0 |
          18.0 |              7.0 |           641.318 |    0.428 |   113906.0 | 3.0 |  7.0 |
          18.0 |              7.0 |          1008.929 | 0.000159 |   170720.0 | 5.0 |  7.0 |
          18.0 |              7.0 |           634.216 |    0.425 |   113101.0 | 2.0 |  8.0 |
          18.0 |              7.0 |           637.471 |    0.318 |   113906.0 | 3.0 |  8.0 |
          18.0 |              7.0 |           644.376 |    0.531 |   115587.0 | 4.0 |  8.0 |
          18.0 |              7.0 |            999.44 | 1.67e-05 |   170720.0 | 5.0 |  8.0 |
          18.0 |              7.0 |           630.302 |    0.527 |   113906.0 | 3.0 |  9.0 |
          18.0 |              7.0 |           637.052 |     1.59 |   115587.0 | 4.0 |  9.0 |
          18.0 |              7.0 |           981.932 |  0.00524 |   170720.0 | 5.0 |  9.0 |
          18.0 |              7.0 |           473.929 |    0.598 |   113101.0 | 2.0 | 10.0 |
          18.0 |              7.0 |           475.744 |    0.448 |   113906.0 | 3.0 | 10.0 |
          18.0 |              7.0 |            479.58 |   0.0298 |   115587.0 | 4.0 | 10.0 |
          18.0 |              7.0 |           651.963 | 2.95e-05 |   170720.0 | 5.0 | 10.0 |
          18.0 |              7.0 |           475.656 |     1.34 |   113906.0 | 3.0 | 11.0 |
          18.0 |              7.0 |            479.49 |    0.448 |   115587.0 | 4.0 | 11.0 |
          18.0 |              7.0 |           651.797 | 3.71e-05 |   170720.0 | 5.0 | 11.0 |
          18.0 |              7.0 |           479.379 |     2.51 |   115587.0 | 4.0 | 12.0 |
          18.0 |              7.0 |           493.087 | 0.000203 |   113906.0 | 3.0 | 13.0 |
          18.0 |              7.0 |           684.978 |    0.484 |   170720.0 | 5.0 | 13.0 |
          18.0 |              7.0 |           390.055 | 0.000159 |   113906.0 | 3.0 | 14.0 |
          18.0 |              7.0 |            392.63 | 5.13e-05 |   115587.0 | 4.0 | 14.0 |
          18.0 |              7.0 |           501.102 |     3.54 |   170720.0 | 5.0 | 14.0 |
          18.0 |              7.0 |           249.384 |   0.0896 |   113101.0 | 2.0 | 15.0 |
          18.0 |              7.0 |           249.886 |    0.271 |   113906.0 | 3.0 | 15.0 |
          18.0 |              7.0 |            250.94 |    0.453 |   115587.0 | 4.0 | 15.0 |
          18.0 |              7.0 |           291.232 | 3.54e-05 |   170720.0 | 5.0 | 15.0 |
          18.0 |              7.0 |           240.967 | 1.08e-05 |   113906.0 | 3.0 | 16.0 |
          18.0 |              7.0 |           279.189 |    0.222 |   170720.0 | 5.0 | 16.0 |
%CHIANTI
