 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          18.0 |             10.0 |          5535.549 | 1.025e-06 |        0.0 |   1.0 |   2.0 |
          18.0 |             10.0 |           166.365 |    0.2995 |        0.0 |   1.0 |   3.0 |
          18.0 |             10.0 |            171.52 |    0.1445 |  18065.055 |   2.0 |   3.0 |
          18.0 |             10.0 |             44.63 |  0.003535 |        0.0 |   1.0 |   4.0 |
          18.0 |             10.0 |            44.449 |   0.04197 |        0.0 |   1.0 |   5.0 |
          18.0 |             10.0 |           44.8088 |  0.002713 |  18065.055 |   2.0 |   5.0 |
          18.0 |             10.0 |           44.2731 | 4.803e-06 |        0.0 |   1.0 |   6.0 |
          18.0 |             10.0 |            44.077 |    0.3676 |        0.0 |   1.0 |   7.0 |
          18.0 |             10.0 |           44.4307 |   0.04617 |  18065.055 |   2.0 |   7.0 |
          18.0 |             10.0 |            43.917 |   0.08662 |        0.0 |   1.0 |   8.0 |
          18.0 |             10.0 |           44.2682 |    0.1421 |  18065.055 |   2.0 |   8.0 |
          18.0 |             10.0 |            43.272 |    0.2523 |        0.0 |   1.0 |   9.0 |
          18.0 |             10.0 |           43.1503 |  0.005968 |        0.0 |   1.0 |  10.0 |
          18.0 |             10.0 |           43.4893 |     0.172 |  18065.055 |   2.0 |  10.0 |
          18.0 |             10.0 |            763.91 |    0.6782 |  2240645.2 |   4.0 |  11.0 |
          18.0 |             10.0 |           821.144 |   0.06707 |  2249769.5 |   5.0 |  11.0 |
          18.0 |             10.0 |           972.842 |  0.003465 |  2268759.2 |   7.0 |  11.0 |
          18.0 |             10.0 |          1650.504 |  0.000122 |  2310963.2 |   9.0 |  11.0 |
          18.0 |             10.0 |           42.1296 | 1.961e-06 |        0.0 |   1.0 |  12.0 |
          18.0 |             10.0 |           42.4527 | 6.054e-07 |  18065.055 |   2.0 |  12.0 |
          18.0 |             10.0 |            56.416 | 0.0002078 |  601087.25 |   3.0 |  12.0 |
          18.0 |             10.0 |            751.98 |    0.3492 |  2240645.2 |   4.0 |  12.0 |
          18.0 |             10.0 |           807.375 |     0.074 |  2249769.5 |   5.0 |  12.0 |
          18.0 |             10.0 |           870.192 |   0.07485 |  2258710.2 |   6.0 |  12.0 |
          18.0 |             10.0 |           953.576 | 5.307e-05 |  2268759.2 |   7.0 |  12.0 |
          18.0 |             10.0 |          1035.153 | 1.181e-05 |  2277023.5 |   8.0 |  12.0 |
          18.0 |             10.0 |          1595.803 | 0.0004827 |  2310963.2 |   9.0 |  12.0 |
          18.0 |             10.0 |           1781.08 | 0.0001895 |  2317481.8 |  10.0 |  12.0 |
          18.0 |             10.0 |           42.0442 |  1.14e-06 |        0.0 |   1.0 |  13.0 |
          18.0 |             10.0 |            56.263 | 8.574e-05 |  601087.25 |   3.0 |  13.0 |
          18.0 |             10.0 |            777.13 |    0.2213 |  2249769.5 |   5.0 |  13.0 |
          18.0 |             10.0 |           835.159 |   0.01945 |  2258710.2 |   6.0 |  13.0 |
          18.0 |             10.0 |            911.67 |  0.002887 |  2268759.2 |   7.0 |  13.0 |
