 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          18.0 |             11.0 |          6918.021 |       0.0 |        0.0 |  1.0 |  2.0 |
          18.0 |             11.0 |          5462.391 |       0.0 |        0.0 |  1.0 |  3.0 |
          18.0 |             11.0 |          25960.54 |       0.0 |    14455.0 |  2.0 |  3.0 |
          18.0 |             11.0 |          1392.098 |       0.0 |        0.0 |  1.0 |  4.0 |
          18.0 |             11.0 |          1742.798 |       0.0 |    14455.0 |  2.0 |  4.0 |
          18.0 |             11.0 |           673.342 |       0.0 |        0.0 |  1.0 |  5.0 |
          18.0 |             11.0 |           745.946 |       0.0 |    14455.0 |  2.0 |  5.0 |
          18.0 |             11.0 |          1304.138 |       0.0 |    71834.0 |  4.0 |  5.0 |
          18.0 |             11.0 |           188.806 |    0.4476 |        0.0 |  1.0 |  6.0 |
          18.0 |             11.0 |           194.104 |    0.1469 |    14455.0 |  2.0 |  6.0 |
          18.0 |             11.0 |           218.432 |  0.005832 |    71834.0 |  4.0 |  6.0 |
          18.0 |             11.0 |           184.524 |    0.1563 |        0.0 |  1.0 |  7.0 |
          18.0 |             11.0 |            189.58 |   0.09025 |    14455.0 |  2.0 |  7.0 |
          18.0 |             11.0 |           190.975 |    0.1182 |    18307.0 |  3.0 |  7.0 |
          18.0 |             11.0 |            212.72 | 0.0001221 |    71834.0 |  4.0 |  7.0 |
          18.0 |             11.0 |           254.179 |  0.001023 |   148513.0 |  5.0 |  7.0 |
          18.0 |             11.0 |            187.09 |    0.1224 |    14455.0 |  2.0 |  8.0 |
          18.0 |             11.0 |           136.918 |  0.008678 |        0.0 |  1.0 |  9.0 |
          18.0 |             11.0 |           139.683 | 0.0002767 |    14455.0 |  2.0 |  9.0 |
          18.0 |             11.0 |           140.439 |  0.000601 |    18307.0 |  3.0 |  9.0 |
          18.0 |             11.0 |           151.854 |    0.7637 |    71834.0 |  4.0 |  9.0 |
          18.0 |             11.0 |           171.866 |   0.06864 |   148513.0 |  5.0 |  9.0 |
          18.0 |             11.0 |           144.178 |  0.001157 |   541936.0 |  7.0 | 10.0 |
          18.0 |             11.0 |           197.957 |    0.3916 |   730362.0 |  9.0 | 10.0 |
          18.0 |             11.0 |            40.269 |  0.001487 |        0.0 |  1.0 | 11.0 |
          18.0 |             11.0 |           40.5048 | 0.0002915 |    14455.0 |  2.0 | 11.0 |
          18.0 |             11.0 |           41.4686 | 1.002e-07 |    71834.0 |  4.0 | 11.0 |
          18.0 |             11.0 |           39.6666 |    0.2425 |        0.0 |  1.0 | 12.0 |
          18.0 |             11.0 |           39.8953 |    0.1271 |    14455.0 |  2.0 | 12.0 |
          18.0 |             11.0 |           39.9567 |   0.04453 |    18307.0 |  3.0 | 12.0 |
          18.0 |             11.0 |             40.83 | 0.0008812 |    71834.0 |  4.0 | 12.0 |
          18.0 |             11.0 |           42.1496 | 6.458e-06 |   148513.0 |  5.0 | 12.0 |
          18.0 |             11.0 |           38.6528 |  0.006516 |        0.0 |  1.0 | 13.0 |
          18.0 |             11.0 |             38.87 |   0.07171 |    14455.0 |  2.0 | 13.0 |
          18.0 |             11.0 |           38.9283 |   0.04975 |    18307.0 |  3.0 | 13.0 |
          18.0 |             11.0 |           39.7567 |  0.003872 |    71834.0 |  4.0 | 13.0 |
          18.0 |             11.0 |           41.0068 |   0.00135 |   148513.0 |  5.0 | 13.0 |
          18.0 |             11.0 |           38.6339 |    0.1033 |        0.0 |  1.0 | 14.0 |
          18.0 |             11.0 |           38.8509 |    0.1087 |    14455.0 |  2.0 | 14.0 |
          18.0 |             11.0 |           39.7367 |  0.001941 |    71834.0 |  4.0 | 14.0 |
          18.0 |             11.0 |            38.615 |    0.2878 |        0.0 |  1.0 | 15.0 |
          18.0 |             11.0 |           39.7167 |  0.004761 |    71834.0 |  4.0 | 15.0 |
          18.0 |             11.0 |           38.4007 |   0.01736 |        0.0 |  1.0 | 16.0 |
          18.0 |             11.0 |             39.49 |    0.5006 |    71834.0 |  4.0 | 16.0 |
          18.0 |             11.0 |           38.1812 |       0.0 |        0.0 |  1.0 | 17.0 |
          18.0 |             11.0 |           38.3931 |       0.0 |    14455.0 |  2.0 | 17.0 |
          18.0 |             11.0 |           47.8595 | 3.524e-05 |   529643.0 |  6.0 | 17.0 |
