 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          18.0 |             14.0 |          4413.803 |       0.0 |        0.0 |   1.0 |   2.0 |
          18.0 |             14.0 |           434.224 | 0.0001593 |        0.0 |   1.0 |   3.0 |
          18.0 |             14.0 |           481.603 | 0.0002222 |    22656.2 |   2.0 |   3.0 |
          18.0 |             14.0 |           418.491 | 1.372e-05 |        0.0 |   1.0 |   4.0 |
          18.0 |             14.0 |         11550.012 |       0.0 |   230296.0 |   3.0 |   4.0 |
          18.0 |             14.0 |           462.326 | 0.0001317 |    22656.2 |   2.0 |   4.0 |
          18.0 |             14.0 |          8719.156 |       0.0 |   238954.0 |   4.0 |   5.0 |
          18.0 |             14.0 |           439.046 | 0.0007406 |    22656.2 |   2.0 |   5.0 |
          18.0 |             14.0 |           243.751 |    0.2468 |        0.0 |   1.0 |   6.0 |
          18.0 |             14.0 |           257.999 |   0.02336 |    22656.2 |   2.0 |   6.0 |
          18.0 |             14.0 |           257.368 |    0.3756 |    22656.2 |   2.0 |   7.0 |
          18.0 |             14.0 |           194.401 |    0.1491 |        0.0 |   1.0 |   8.0 |
          18.0 |             14.0 |           203.358 |   0.06294 |    22656.2 |   2.0 |   8.0 |
          18.0 |             14.0 |           183.404 |   0.08419 |        0.0 |   1.0 |   9.0 |
          18.0 |             14.0 |           191.355 |    0.3328 |    22656.2 |   2.0 |   9.0 |
          18.0 |             14.0 |           180.285 |     0.157 |        0.0 |   1.0 |  10.0 |
          18.0 |             14.0 |           187.962 |    0.9268 |    22656.2 |   2.0 |  10.0 |
          18.0 |             14.0 |           208.346 |    0.4216 |   238954.0 |   4.0 |  11.0 |
          18.0 |             14.0 |            323.97 | 6.098e-05 |   410254.0 |   6.0 |  11.0 |
          18.0 |             14.0 |           608.839 | 0.0009016 |   554678.0 |  10.0 |  11.0 |
          18.0 |             14.0 |           204.654 |    0.2154 |   230296.0 |   3.0 |  11.0 |
          18.0 |             14.0 |           213.446 |    0.6152 |   250423.0 |   5.0 |  11.0 |
          18.0 |             14.0 |           575.768 | 0.0002636 |   545244.0 |   9.0 |  11.0 |
          18.0 |             14.0 |            488.94 | 0.0001411 |   514401.0 |   8.0 |  11.0 |
          18.0 |             14.0 |           324.971 | 2.346e-05 |   411205.0 |   7.0 |  11.0 |
          18.0 |             14.0 |           174.999 |   0.00152 |   238954.0 |   4.0 |  12.0 |
          18.0 |             14.0 |           249.917 |     0.394 |   410254.0 |   6.0 |  12.0 |
          18.0 |             14.0 |            391.07 |   0.02516 |   554678.0 |  10.0 |  12.0 |
          18.0 |             14.0 |           172.387 |  1.85e-05 |   230296.0 |   3.0 |  12.0 |
          18.0 |             14.0 |           178.583 | 1.855e-05 |   250423.0 |   5.0 |  12.0 |
          18.0 |             14.0 |           377.155 |    0.2436 |   545244.0 |   9.0 |  12.0 |
          18.0 |             14.0 |           337.854 |   0.09066 |   514401.0 |   8.0 |  12.0 |
          18.0 |             14.0 |           250.512 |    0.1057 |   411205.0 |   7.0 |  12.0 |
          18.0 |             14.0 |           174.215 | 0.0001332 |   238954.0 |   4.0 |  13.0 |
          18.0 |             14.0 |           248.323 |   0.08266 |   410254.0 |   6.0 |  13.0 |
          18.0 |             14.0 |            387.18 |     0.465 |   554678.0 |  10.0 |  13.0 |
          18.0 |             14.0 |           177.767 |  0.004372 |   250423.0 |   5.0 |  13.0 |
          18.0 |             14.0 |            248.91 |    0.7242 |   411205.0 |   7.0 |  13.0 |
          18.0 |             14.0 |            149.29 | 4.182e-05 |   238954.0 |   4.0 |  14.0 |
          18.0 |             14.0 |           200.586 |    0.2968 |   410254.0 |   6.0 |  14.0 |
          18.0 |             14.0 |           282.394 |   0.09192 |   554678.0 |  10.0 |  14.0 |
          18.0 |             14.0 |           147.385 | 0.0001087 |   230296.0 |   3.0 |  14.0 |
          18.0 |             14.0 |           275.066 |    0.1521 |   545244.0 |   9.0 |  14.0 |
          18.0 |             14.0 |           253.555 |  0.001682 |   514401.0 |   8.0 |  14.0 |
          18.0 |             14.0 |           148.346 |  0.000817 |   238954.0 |   4.0 |  15.0 |
          18.0 |             14.0 |           198.885 |    0.0845 |   410254.0 |   6.0 |  15.0 |
          18.0 |             14.0 |           279.035 |     0.645 |   554678.0 |  10.0 |  15.0 |
          18.0 |             14.0 |           146.464 | 7.954e-06 |   230296.0 |   3.0 |  15.0 |
          18.0 |             14.0 |           150.913 | 0.0004198 |   250423.0 |   5.0 |  15.0 |
          18.0 |             14.0 |           271.878 |  0.002556 |   545244.0 |   9.0 |  15.0 |
          18.0 |             14.0 |           250.843 |    0.2262 |   514401.0 |   8.0 |  15.0 |
          18.0 |             14.0 |           199.262 |    0.4238 |   411205.0 |   7.0 |  15.0 |
          18.0 |             14.0 |           33.2917 |       0.0 |   410254.0 |   6.0 |  16.0 |
          18.0 |             14.0 |           29.2624 |   0.04212 |        0.0 |   1.0 |  16.0 |
          18.0 |             14.0 |           40.0173 | 2.818e-06 |   908793.0 |  14.0 |  16.0 |
          18.0 |             14.0 |           29.4555 |   0.08895 |    22656.2 |   2.0 |  16.0 |
          18.0 |             14.0 |           33.3061 |       0.0 |   411205.0 |   7.0 |  16.0 |
          18.0 |             14.0 |           40.0917 | 8.467e-06 |   913056.0 |  15.0 |  16.0 |
          18.0 |             14.0 |           30.3496 | 2.832e-05 |   238954.0 |   4.0 |  17.0 |
          18.0 |             14.0 |            32.014 |   0.01442 |   410254.0 |   6.0 |  17.0 |
          18.0 |             14.0 |           33.5659 | 0.0001873 |   554678.0 |  10.0 |  17.0 |
          18.0 |             14.0 |           881.931 |    0.1346 |  3417357.5 |  16.0 |  17.0 |
          18.0 |             14.0 |           30.2701 | 6.116e-06 |   230296.0 |   3.0 |  17.0 |
          18.0 |             14.0 |             28.48 |       0.0 |    22656.2 |   2.0 |  17.0 |
          18.0 |             14.0 |             33.46 |  0.001894 |   545244.0 |   9.0 |  17.0 |
          18.0 |             14.0 |           33.1182 | 0.0006929 |   514401.0 |   8.0 |  17.0 |
          18.0 |             14.0 |           30.3409 | 7.978e-07 |   238954.0 |   4.0 |  18.0 |
          18.0 |             14.0 |           32.0042 |  0.002498 |   410254.0 |   6.0 |  18.0 |
          18.0 |             14.0 |           33.5552 |  0.002406 |   554678.0 |  10.0 |  18.0 |
          18.0 |             14.0 |           28.2898 |       0.0 |        0.0 |   1.0 |  18.0 |
          18.0 |             14.0 |           835.823 |    0.2835 |  3417357.5 |  16.0 |  18.0 |
          18.0 |             14.0 |           30.2614 | 1.366e-06 |   230296.0 |   3.0 |  18.0 |
          18.0 |             14.0 |           28.4723 |       0.0 |    22656.2 |   2.0 |  18.0 |
          18.0 |             14.0 |           30.4468 | 0.0002219 |   250423.0 |   5.0 |  18.0 |
          18.0 |             14.0 |           33.4493 | 6.672e-06 |   545244.0 |   9.0 |  18.0 |
          18.0 |             14.0 |           33.1078 |  0.004022 |   514401.0 |   8.0 |  18.0 |
          18.0 |             14.0 |            27.469 |     1.287 |        0.0 |   1.0 |  19.0 |
          18.0 |             14.0 |           35.3347 | 0.0001571 |   810387.0 |  12.0 |  19.0 |
          18.0 |             14.0 |            27.641 |    0.2574 |    22656.2 |   2.0 |  19.0 |
          18.0 |             14.0 |           938.262 |    0.1875 |  3533890.0 |  17.0 |  19.0 |
          18.0 |             14.0 |           946.701 |   0.03563 |  3534840.0 |  18.0 |  19.0 |
          18.0 |             14.0 |           35.3504 | 0.0002279 |   812956.0 |  13.0 |  20.0 |
          18.0 |             14.0 |            27.631 |     2.311 |    22656.2 |   2.0 |  20.0 |
          18.0 |             14.0 |           935.104 |    0.3254 |  3534840.0 |  18.0 |  20.0 |
          18.0 |             14.0 |           29.2744 |    0.1261 |   238954.0 |   4.0 |  21.0 |
          18.0 |             14.0 |           30.9047 | 0.0002617 |   410254.0 |   6.0 |  21.0 |
          18.0 |             14.0 |             32.39 | 1.983e-05 |   554678.0 |  10.0 |  21.0 |
          18.0 |             14.0 |            29.201 |   0.02551 |   230296.0 |   3.0 |  21.0 |
          18.0 |             14.0 |           32.2807 | 3.105e-05 |   545244.0 |   9.0 |  21.0 |
          18.0 |             14.0 |           31.9482 | 5.298e-06 |   514401.0 |   8.0 |  21.0 |
          18.0 |             14.0 |           29.2134 |   0.03915 |   238954.0 |   4.0 |  22.0 |
