 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik |     E_i(cm^-1) |     i |     j |
           5.0 |              3.0 |  350.2799987792969 | 0.009999999776482582 |            0.0 | 333.0 | 666.0 |
           5.0 |              3.0 | 359.67999267578125 | 0.015848932787775993 |            0.0 | 333.0 | 666.0 |
           5.0 |              3.0 | 376.37298583984375 |  0.03162277489900589 |            0.0 | 333.0 | 666.0 |
           5.0 |              3.0 | 411.80999755859375 |  0.06309572607278824 |            0.0 | 333.0 | 666.0 |
           5.0 |              3.0 | 434.62701416015625 |  0.08128304779529572 | 48392.43359375 | 333.0 | 666.0 |
           5.0 |              3.0 |  458.6520080566406 |  0.09225714951753616 |  48358.3359375 | 333.0 | 666.0 |
           5.0 |              3.0 |  458.7289733886719 |   0.1659587025642395 | 48392.43359375 | 333.0 | 666.0 |
           5.0 |              3.0 | 465.57000732421875 | 0.009999999776482582 |  48358.3359375 | 333.0 | 666.0 |
           5.0 |              3.0 |  510.7699890136719 |  0.24547088146209717 |  48358.3359375 | 333.0 | 666.0 |
           5.0 |              3.0 |  510.8599853515625 |   0.4415704607963562 | 48392.43359375 | 333.0 | 666.0 |
           5.0 |              3.0 |  518.2410278320312 |  0.20464445650577545 |            0.0 | 333.0 | 666.0 |
           5.0 |              3.0 |   518.261962890625 |  0.10209394991397858 |            0.0 | 333.0 | 666.0 |
           5.0 |              3.0 |  528.1510009765625 |  0.01659587025642395 |  48358.3359375 | 333.0 | 666.0 |
           5.0 |              3.0 |  528.2559814453125 | 0.033113110810518265 | 48392.43359375 | 333.0 | 666.0 |
           5.0 |              3.0 |  676.9949951171875 |   1.2761449813842773 |  48358.3359375 | 333.0 | 666.0 |
           5.0 |              3.0 |  677.1420288085938 |    2.297206401824951 | 48392.43359375 | 333.0 | 666.0 |
           5.0 |              3.0 |  758.4760131835938 |  0.09268298745155334 |  48358.3359375 | 333.0 | 666.0 |
           5.0 |              3.0 |       758.66796875 |  0.18535315990447998 | 48392.43359375 | 333.0 | 666.0 |
           5.0 |              3.0 |   1059.10009765625 |  0.05767665058374405 |      196068.75 | 333.0 | 666.0 |
           5.0 |              3.0 |             1115.0 |  0.10327614098787308 |      196068.75 | 333.0 | 666.0 |
           5.0 |              3.0 |  1169.199951171875 |  0.10964782536029816 |  192951.234375 | 333.0 | 666.0 |
           5.0 |              3.0 |  1213.199951171875 |  0.21627184748649597 |      196068.75 | 333.0 | 666.0 |
           5.0 |              3.0 | 1421.4100341796875 |   0.6271912455558777 |      196068.75 | 333.0 | 666.0 |
           5.0 |              3.0 | 1424.3299560546875 |  0.03630780056118965 |  192951.234375 | 333.0 | 666.0 |
           5.0 |              3.0 |  1424.531982421875 |  0.07244359701871872 |  192961.234375 | 333.0 | 666.0 |
           5.0 |              3.0 | 1435.7000732421875 | 0.009999999776482582 |      196068.75 | 333.0 | 666.0 |
           5.0 |              3.0 | 1596.6600341796875 |  0.19498446583747864 |  180201.921875 | 333.0 | 666.0 |
           5.0 |              3.0 | 1953.4949951171875 |   1.0592536926269531 |  192951.234375 | 333.0 | 666.0 |
           5.0 |              3.0 | 1953.8270263671875 |    1.914255976676941 |  192961.234375 | 333.0 | 666.0 |
           5.0 |              3.0 |  2066.438720703125 |   0.4843061566352844 |            0.0 | 333.0 | 666.0 |
           5.0 |              3.0 |   2067.89599609375 |  0.24197471141815186 |            0.0 | 333.0 | 666.0 |
           5.0 |              3.0 |    2077.7490234375 |    4.058354377746582 |      196068.75 | 333.0 | 666.0 |
           5.0 |              3.0 |             2138.5 |  0.10471285134553909 |  196071.671875 | 333.0 | 666.0 |
           5.0 |              3.0 |  2234.781982421875 |  0.19792471826076508 |  192951.234375 | 333.0 | 666.0 |
           5.0 |              3.0 |     2235.287109375 |  0.39582204818725586 |  192961.234375 | 333.0 | 666.0 |
           5.0 |              3.0 |  2805.610107421875 |  0.26853445172309875 |  242829.734375 | 333.0 | 666.0 |
           5.0 |              3.0 |   3568.18994140625 |  0.19815269112586975 |  237698.265625 | 333.0 | 666.0 |
           5.0 |              3.0 |  3568.449951171875 |  0.09772372245788574 |  237698.265625 | 333.0 | 666.0 |
           5.0 |              3.0 |     4244.169921875 |   1.0020744800567627 |  242829.734375 | 333.0 | 666.0 |
           5.0 |              3.0 |   4244.80029296875 |   1.8034329414367676 |   242833.65625 | 333.0 | 666.0 |
           5.0 |              3.0 |    4633.7900390625 |   0.2552701234817505 |  244142.859375 | 333.0 | 666.0 |
           5.0 |              3.0 |    4918.7998046875 |  0.30974191427230835 |  242829.734375 | 333.0 | 666.0 |
           5.0 |              3.0 |   4919.80029296875 |   0.6180163621902466 |   242833.65625 | 333.0 | 666.0 |
           5.0 |              3.0 |      7837.41015625 |   0.8135045766830444 |  180201.921875 | 333.0 | 666.0 |
           5.0 |              3.0 |   7843.56982421875 |  0.40625619888305664 |  180201.921875 | 333.0 | 666.0 |
%NIST
