 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |     E_i(cm^-1) |     i |     j |
           5.0 |              2.0 |  536.2999877929688 |  0.0020370420534163713 |            0.0 | 333.0 | 666.0 |
           5.0 |              2.0 |  550.1549682617188 |    0.02409905195236206 |            0.0 | 333.0 | 666.0 |
           5.0 |              2.0 |   586.197998046875 |    0.05140436068177223 |            0.0 | 333.0 | 666.0 |
           5.0 |              2.0 |            631.875 |   0.006025595590472221 |  37341.6484375 | 333.0 | 666.0 |
           5.0 |              2.0 |  641.5799560546875 |   0.003999447450041771 |  37335.5390625 | 333.0 | 666.0 |
           5.0 |              2.0 |  650.6400146484375 |   0.023442288860678673 | 37357.80078125 | 333.0 | 666.0 |
           5.0 |              2.0 |  678.9849853515625 |     0.0537031814455986 |  37335.5390625 | 333.0 | 666.0 |
           5.0 |              2.0 |  693.9440307617188 |     0.1086425632238388 |            0.0 | 333.0 | 666.0 |
           5.0 |              2.0 |  696.6600341796875 |   0.004677352029830217 |  37335.5390625 | 333.0 | 666.0 |
           5.0 |              2.0 |  731.3929443359375 |    0.12618274986743927 |  37335.5390625 | 333.0 | 666.0 |
           5.0 |              2.0 |  731.4669799804688 |     0.5370317697525024 | 37357.80078125 | 333.0 | 666.0 |
           5.0 |              2.0 |  775.2100219726562 |    0.03451437130570412 |  37341.6484375 | 333.0 | 666.0 |
           5.0 |              2.0 |  775.2899780273438 |    0.05754399299621582 | 37357.80078125 | 333.0 | 666.0 |
           5.0 |              2.0 |  809.1500244140625 |    0.10471285134553909 |  73396.5078125 | 333.0 | 666.0 |
           5.0 |              2.0 |  864.0799560546875 |    0.13243414461612701 |  73396.5078125 | 333.0 | 666.0 |
           5.0 |              2.0 |  882.5369873046875 |     0.4753352105617523 |  37335.5390625 | 333.0 | 666.0 |
           5.0 |              2.0 |   882.678955078125 |     1.9998618364334106 | 37357.80078125 | 333.0 | 666.0 |
           5.0 |              2.0 |  893.4449462890625 |    0.21677042543888092 |  73396.5078125 | 333.0 | 666.0 |
           5.0 |              2.0 |  978.9429931640625 |    0.46881338953971863 |  73396.5078125 | 333.0 | 666.0 |
           5.0 |              2.0 |    984.64501953125 |     0.6353309154510498 |  98911.3828125 | 333.0 | 666.0 |
           5.0 |              2.0 |  984.6949462890625 |      2.666858673095703 |  98933.2578125 | 333.0 | 666.0 |
           5.0 |              2.0 |  1048.679931640625 |     1.1534532308578491 | 102362.7734375 | 333.0 | 666.0 |
           5.0 |              2.0 | 1057.7879638671875 |   0.010715192183852196 |  73396.5078125 | 333.0 | 666.0 |
           5.0 |              2.0 |     1081.794921875 |    0.06397348642349243 |  37335.5390625 | 333.0 | 666.0 |
           5.0 |              2.0 |     1081.873046875 |    0.19186687469482422 |  37341.6484375 | 333.0 | 666.0 |
           5.0 |              2.0 |   1082.06494140625 |     0.3235936462879181 | 37357.80078125 | 333.0 | 666.0 |
           5.0 |              2.0 | 1186.7030029296875 |    0.14689262211322784 | 102362.7734375 | 333.0 | 666.0 |
           5.0 |              2.0 |  1208.363037109375 |    0.19952623546123505 |  98919.8671875 | 333.0 | 666.0 |
           5.0 |              2.0 | 1208.5579833984375 |    0.16218100488185883 |  98911.3828125 | 333.0 | 666.0 |
           5.0 |              2.0 | 1208.6729736328125 |    0.12078139185905457 |  98919.8671875 | 333.0 | 666.0 |
           5.0 |              2.0 |   1208.85595703125 |    0.16218100488185883 |  98919.8671875 | 333.0 | 666.0 |
           5.0 |              2.0 |     1210.705078125 |    0.16106456518173218 | 102362.7734375 | 333.0 | 666.0 |
           5.0 |              2.0 | 1230.1600341796875 |     1.5488165616989136 |  73396.5078125 | 333.0 | 666.0 |
           5.0 |              2.0 | 1259.3800048828125 |     0.1361444741487503 | 102362.7734375 | 333.0 | 666.0 |
           5.0 |              2.0 |  1362.463134765625 |      0.997700035572052 |            0.0 | 333.0 | 666.0 |
           5.0 |              2.0 | 1378.1849365234375 |     0.2137961983680725 | 102362.7734375 | 333.0 | 666.0 |
           5.0 |              2.0 |     1557.001953125 |  0.0005754399462603033 |  73396.5078125 | 333.0 | 666.0 |
           5.0 |              2.0 |  1623.596923828125 |    0.42854851484298706 |  37341.6484375 | 333.0 | 666.0 |
