 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |      E_i(cm^-1) |     i |     j |
           4.0 |              1.0 |             1356.5 | 0.00030902953585609794 |             0.0 | 333.0 | 666.0 |
           4.0 |              1.0 | 1364.2999267578125 |  0.0003580963530112058 |             0.0 | 333.0 | 666.0 |
           4.0 |              1.0 | 1375.5999755859375 |  0.0005370317958295345 |             0.0 | 333.0 | 666.0 |
           4.0 |              1.0 | 1393.9000244140625 |  0.0006776416557841003 |             0.0 | 333.0 | 666.0 |
           4.0 |              1.0 |  1426.116943359375 |  0.0006918308208696544 |             0.0 | 333.0 | 666.0 |
           4.0 |              1.0 |  1491.761962890625 | 0.00012302685354370624 |             0.0 | 333.0 | 666.0 |
           4.0 |              1.0 |   1661.47802734375 |   0.008974289521574974 |             0.0 | 333.0 | 666.0 |
           4.0 |              1.0 |     1929.669921875 |   0.006338697858154774 | 21978.279296875 | 333.0 | 666.0 |
           4.0 |              1.0 |  1943.679931640625 |   0.009225712157785892 | 21978.279296875 | 333.0 | 666.0 |
           4.0 |              1.0 |    1956.6298828125 |  0.0006839117268100381 | 21978.279296875 | 333.0 | 666.0 |
           4.0 |              1.0 | 1964.5899658203125 |    0.01415793877094984 | 21978.279296875 | 333.0 | 666.0 |
           4.0 |              1.0 | 1985.1300048828125 |  0.0010964780813083053 | 21978.279296875 | 333.0 | 666.0 |
           4.0 |              1.0 |  1998.010009765625 |   0.023388370871543884 | 21978.279296875 | 333.0 | 666.0 |
           4.0 |              1.0 |  2033.300048828125 |   0.001949844416230917 | 21978.279296875 | 333.0 | 666.0 |
           4.0 |              1.0 |   2056.56005859375 |    0.04345102235674858 | 21978.279296875 | 333.0 | 666.0 |
           4.0 |              1.0 |  2056.670166015625 |   0.032658789306879044 |  21981.26953125 | 333.0 | 666.0 |
           4.0 |              1.0 |  2126.239990234375 |    0.00411149812862277 | 21978.279296875 | 333.0 | 666.0 |
           4.0 |              1.0 |   2126.35693359375 |   0.020558904856443405 |  21981.26953125 | 333.0 | 666.0 |
           4.0 |              1.0 |      2175.66796875 |    0.09616123884916306 | 21978.279296875 | 333.0 | 666.0 |
           4.0 |              1.0 |      2175.78515625 |      0.403645396232605 |  21981.26953125 | 333.0 | 666.0 |
           4.0 |              1.0 |    2349.3291015625 |     1.3803843259811401 |             0.0 | 333.0 | 666.0 |
           4.0 |              1.0 |  2351.381103515625 |    0.01174897700548172 | 21978.279296875 | 333.0 | 666.0 |
           4.0 |              1.0 |  2351.423095703125 |   0.034994520246982574 |  21978.92578125 | 333.0 | 666.0 |
           4.0 |              1.0 |  2351.549072265625 |   0.058344513177871704 |  21981.26953125 | 333.0 | 666.0 |
           4.0 |              1.0 |     2495.294921875 |    0.29922646284103394 | 21978.279296875 | 333.0 | 666.0 |
           4.0 |              1.0 |    2495.3349609375 |     0.6745280027389526 |  21978.92578125 | 333.0 | 666.0 |
           4.0 |              1.0 |   2495.47998046875 |   0.015135610476136208 |  21981.26953125 | 333.0 | 666.0 |
           4.0 |              1.0 |  2651.242919921875 |      0.557185709476471 |  21978.92578125 | 333.0 | 666.0 |
           4.0 |              1.0 |  2651.339111328125 |     0.4456562399864197 | 21978.279296875 | 333.0 | 666.0 |
           4.0 |              1.0 |   2651.40185546875 |    0.33419501781463623 |  21978.92578125 | 333.0 | 666.0 |
           4.0 |              1.0 |     2651.408203125 |     1.6710906028747559 |  21981.26953125 | 333.0 | 666.0 |
           4.0 |              1.0 |   2651.48291015625 |     0.4456562399864197 |  21978.92578125 | 333.0 | 666.0 |
           4.0 |              1.0 |  2651.549072265625 |      0.557185709476471 |  21981.26953125 | 333.0 | 666.0 |
           4.0 |              1.0 |  3194.753173828125 |    0.03890451788902283 |   42565.3515625 | 333.0 | 666.0 |
           4.0 |              1.0 |   3221.31982421875 |  0.0017741897609084845 |   42565.3515625 | 333.0 | 666.0 |
           4.0 |              1.0 |  3230.552001953125 |   0.055975764989852905 |   42565.3515625 | 333.0 | 666.0 |
           4.0 |              1.0 |   3269.97998046875 |   0.002432203618809581 |   42565.3515625 | 333.0 | 666.0 |
           4.0 |              1.0 |   3283.85107421875 |    0.08531001210212708 |   42565.3515625 | 333.0 | 666.0 |
           4.0 |              1.0 |     3321.966796875 |    0.08433347195386887 | 21978.279296875 | 333.0 | 666.0 |
           4.0 |              1.0 |  3322.034912109375 |     0.2535128593444824 |  21978.92578125 | 333.0 | 666.0 |
           4.0 |              1.0 |  3322.296142578125 |    0.42266860604286194 |  21981.26953125 | 333.0 | 666.0 |
           4.0 |              1.0 |  3346.391845703125 |   0.003531832480803132 |   42565.3515625 | 333.0 | 666.0 |
           4.0 |              1.0 |  3368.599853515625 |       0.13963682949543 |   42565.3515625 | 333.0 | 666.0 |
           4.0 |              1.0 |  3477.558837890625 |   0.005636375397443771 |   42565.3515625 | 333.0 | 666.0 |
           4.0 |              1.0 |    3516.5439453125 |    0.25409725308418274 |   42565.3515625 | 333.0 | 666.0 |
           4.0 |              1.0 |   3737.35986328125 |   0.010715192183852196 |   42565.3515625 | 333.0 | 666.0 |
           4.0 |              1.0 |    3814.5361328125 |     0.5308844447135925 |   42565.3515625 | 333.0 | 666.0 |
           4.0 |              1.0 |    4409.1728515625 |   0.029444215819239616 |   42565.3515625 | 333.0 | 666.0 |
           4.0 |              1.0 |   4549.81298828125 |  3.981075025194514e-09 |             0.0 | 333.0 | 666.0 |
           4.0 |              1.0 |   4573.94580078125 |     1.1967405080795288 |   42565.3515625 | 333.0 | 666.0 |
           4.0 |              1.0 |    5858.6298828125 |    0.01078946702182293 |  54677.26171875 | 333.0 | 666.0 |
           4.0 |              1.0 |    6230.8330078125 |    0.09204495698213577 |   56882.4296875 | 333.0 | 666.0 |
           4.0 |              1.0 |   6475.32763671875 |   0.014487719163298607 |  54677.26171875 | 333.0 | 666.0 |
           4.0 |              1.0 |     6566.333984375 |     0.1577611267566681 |   56882.4296875 | 333.0 | 666.0 |
           4.0 |              1.0 |   6727.89990234375 |   0.006309572607278824 |   56882.4296875 | 333.0 | 666.0 |
           4.0 |              1.0 |   6788.43212890625 |   0.006309572607278824 |  52080.94140625 | 333.0 | 666.0 |
           4.0 |              1.0 |    6886.1201171875 |    0.01081434078514576 |  58907.44921875 | 333.0 | 666.0 |
           4.0 |              1.0 |      6886.33984375 |    0.04570881649851799 |    58907.828125 | 333.0 | 666.0 |
           4.0 |              1.0 |    7156.3701171875 |   0.017021583393216133 |  58907.44921875 | 333.0 | 666.0 |
           4.0 |              1.0 |    7156.6201171875 |    0.07177942246198654 |    58907.828125 | 333.0 | 666.0 |
           4.0 |              1.0 |      7211.12109375 |    0.31117162108421326 |   56882.4296875 | 333.0 | 666.0 |
           4.0 |              1.0 |   7310.18017578125 |   0.013365956954658031 |  60187.33984375 | 333.0 | 666.0 |
           4.0 |              1.0 |   7500.39990234375 |   0.018793169409036636 |  60187.33984375 | 333.0 | 666.0 |
           4.0 |              1.0 |   7553.97705078125 |   0.010964781045913696 |   56882.4296875 | 333.0 | 666.0 |
           4.0 |              1.0 |   7620.77685546875 |   0.029241520911455154 |  58907.44921875 | 333.0 | 666.0 |
           4.0 |              1.0 |    7620.9775390625 |   0.021978599950671196 |    58907.828125 | 333.0 | 666.0 |
           4.0 |              1.0 |   7794.14013671875 |   0.027415739372372627 |  60187.33984375 | 333.0 | 666.0 |
           4.0 |              1.0 |   8092.28564453125 |   0.009682780131697655 |  54677.26171875 | 333.0 | 666.0 |
           4.0 |              1.0 |   8161.23583984375 |   0.007925012148916721 |  58907.44921875 | 333.0 | 666.0 |
           4.0 |              1.0 |     8161.486328125 |    0.03981072083115578 |    58907.828125 | 333.0 | 666.0 |
           4.0 |              1.0 |    8256.3388671875 |    0.34514373540878296 |   42565.3515625 | 333.0 | 666.0 |
           4.0 |              1.0 |     8289.349609375 |    0.04168693721294403 |  60187.33984375 | 333.0 | 666.0 |
           4.0 |              1.0 |    8549.7138671875 |   0.057147860527038574 |  58907.44921875 | 333.0 | 666.0 |
           4.0 |              1.0 |    8550.0068359375 |    0.04265795275568962 |    58907.828125 | 333.0 | 666.0 |
           4.0 |              1.0 |     8803.787109375 |     0.7798300981521606 |   56882.4296875 | 333.0 | 666.0 |
           4.0 |              1.0 |    8884.6201171875 |  0.0012502586469054222 |     62053.71875 | 333.0 | 666.0 |
           4.0 |              1.0 |    9192.9697265625 |   0.015812480822205544 |     62053.71875 | 333.0 | 666.0 |
           4.0 |              1.0 |        9246.453125 |   0.060813505202531815 |  60187.33984375 | 333.0 | 666.0 |
           4.0 |              1.0 |       9395.3203125 |  0.0032359363976866007 |     62053.71875 | 333.0 | 666.0 |
           4.0 |              1.0 |    9850.0205078125 |    0.02238721214234829 |   56882.4296875 | 333.0 | 666.0 |
           4.0 |              1.0 |      9898.33984375 |   0.023334581404924393 |  58907.44921875 | 333.0 | 666.0 |
           4.0 |              1.0 |     9898.669921875 |    0.11668095737695694 |    58907.828125 | 333.0 | 666.0 |
           4.0 |              1.0 |     9942.509765625 |     0.1757923662662506 |     62053.71875 | 333.0 | 666.0 |
           4.0 |              1.0 |       10333.859375 |   0.005023425444960594 |     62053.71875 | 333.0 | 666.0 |
           4.0 |              1.0 |   11069.0908203125 |    0.13273945450782776 |  58907.44921875 | 333.0 | 666.0 |
           4.0 |              1.0 |    11069.490234375 |    0.10023052245378494 |    58907.828125 | 333.0 | 666.0 |
           4.0 |              1.0 |   11499.5400390625 |    0.08953648060560226 |     62053.71875 | 333.0 | 666.0 |
           4.0 |              1.0 |    14647.919921875 |     1.8749945163726807 |  52080.94140625 | 333.0 | 666.0 |
           4.0 |              1.0 |           14648.75 |    0.37497299909591675 |  52080.94140625 | 333.0 | 666.0 |
           4.0 |              1.0 |   16162.1298828125 |    0.48528850078582764 |     62053.71875 | 333.0 | 666.0 |
           4.0 |              1.0 |    17860.259765625 |     0.2187761515378952 |  58907.44921875 | 333.0 | 666.0 |
           4.0 |              1.0 |    17861.509765625 |     1.0889301300048828 |    58907.828125 | 333.0 | 666.0 |
           4.0 |              1.0 |    18148.490234375 |     0.9571940898895264 |  54677.26171875 | 333.0 | 666.0 |
           4.0 |              1.0 |    19770.689453125 |     0.6338697075843811 |  60187.33984375 | 333.0 | 666.0 |
%NIST
