 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik |      E_i(cm^-1) |     i |     j |
           4.0 |              2.0 |  707.2000122070312 | 0.002624217886477709 |             0.0 | 333.0 | 666.0 |
           4.0 |              2.0 |  714.5999755859375 | 0.004466836806386709 |             0.0 | 333.0 | 666.0 |
           4.0 |              2.0 |     725.7099609375 | 0.006397348362952471 |             0.0 | 333.0 | 666.0 |
           4.0 |              2.0 |  743.5790405273438 | 0.010939564555883408 |             0.0 | 333.0 | 666.0 |
           4.0 |              2.0 |            775.375 | 0.019815271720290184 |             0.0 | 333.0 | 666.0 |
           4.0 |              2.0 |  842.0570068359375 |  0.04168693721294403 |             0.0 | 333.0 | 666.0 |
           4.0 |              2.0 |  925.2459716796875 | 0.030130058526992798 |   31935.3203125 | 333.0 | 666.0 |
           4.0 |              2.0 |  943.5590209960938 | 0.005284453276544809 |   31935.3203125 | 333.0 | 666.0 |
           4.0 |              2.0 |  949.7460327148438 | 0.004168692510575056 |   31935.3203125 | 333.0 | 666.0 |
           4.0 |              2.0 |  973.2659912109375 |  0.08279421180486679 |   31935.3203125 | 333.0 | 666.0 |
           4.0 |              2.0 |  984.0249633789062 | 0.007194491568952799 |   31935.3203125 | 333.0 | 666.0 |
           4.0 |              2.0 |  1026.926025390625 |  0.09268298745155334 | 31928.744140625 | 333.0 | 666.0 |
           4.0 |              2.0 |   1036.27099609375 |  0.11078985780477524 |             0.0 | 333.0 | 666.0 |
           4.0 |              2.0 | 1048.2340087890625 | 0.014893610030412674 |   31935.3203125 | 333.0 | 666.0 |
           4.0 |              2.0 |    1142.9560546875 |  0.24603673815727234 | 31928.744140625 | 333.0 | 666.0 |
           4.0 |              2.0 |  1143.030029296875 |   0.4415704607963562 |   31935.3203125 | 333.0 | 666.0 |
           4.0 |              2.0 | 1197.1900634765625 |  0.04156234487891197 |   31935.3203125 | 333.0 | 666.0 |
           4.0 |              2.0 |  1512.258056640625 |    1.264154076576233 | 31928.744140625 | 333.0 | 666.0 |
           4.0 |              2.0 | 1512.4119873046875 |    2.275097370147705 |   31935.3203125 | 333.0 | 666.0 |
           4.0 |              2.0 | 1776.0999755859375 |  0.12876564264297485 | 31928.744140625 | 333.0 | 666.0 |
           4.0 |              2.0 |   1776.30712890625 |  0.25751349329948425 |   31935.3203125 | 333.0 | 666.0 |
           4.0 |              2.0 |   2297.68017578125 |  0.03435579687356949 |    96495.359375 | 333.0 | 666.0 |
           4.0 |              2.0 |            2382.75 |  0.05794287100434303 |   98054.5703125 | 333.0 | 666.0 |
           4.0 |              2.0 |  2414.073974609375 |  0.05741163715720177 |    96495.359375 | 333.0 | 666.0 |
           4.0 |              2.0 |   2414.18896484375 |  0.01148153468966484 |   96497.2890625 | 333.0 | 666.0 |
           4.0 |              2.0 |    2454.5869140625 |  0.03828246891498566 |   88231.9140625 | 333.0 | 666.0 |
           4.0 |              2.0 |   2508.18408203125 |  0.10280163586139679 |   98054.5703125 | 333.0 | 666.0 |
