 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |        E_i(cm^-1) |     i |     j |
           6.0 |              2.0 |   2324.68896484375 |   9.72000009369367e-08 |               0.0 |   1.0 |   3.0 |
           6.0 |              2.0 |             2323.5 | 4.5399999315520745e-09 |               0.0 |   1.0 |   4.0 |
           6.0 |              2.0 |  1334.531982421875 |      0.257999986410141 |               0.0 |   1.0 |   7.0 |
           6.0 |              2.0 | 1036.3370361328125 |    0.23800000548362732 |               0.0 |   1.0 |   8.0 |
           6.0 |              2.0 |  903.9619750976562 |     0.6620000004768372 |               0.0 |   1.0 |   9.0 |
           6.0 |              2.0 |  903.6229858398438 |     0.3319999873638153 |               0.0 |   1.0 |  10.0 |
           6.0 |              2.0 |  858.0919799804688 |    0.03280000016093254 |               0.0 |   1.0 |  11.0 |
           6.0 |              2.0 |   687.052978515625 |     0.6660000085830688 |               0.0 |   1.0 |  15.0 |
           6.0 |              2.0 |  635.9940185546875 |   0.012240000069141388 |               0.0 |   1.0 |  19.0 |
           6.0 |              2.0 |  594.7999877929688 |    0.23600000143051147 |               0.0 |   1.0 |  25.0 |
           6.0 |              2.0 |            576.875 |   0.004679999779909849 |               0.0 |   1.0 |  31.0 |
           6.0 |              2.0 |   560.239013671875 |    0.11400000005960464 |               0.0 |   1.0 |  36.0 |
           6.0 |              2.0 |  551.6810302734375 |   0.002240000059828162 |               0.0 |   1.0 |  42.0 |
           6.0 |              2.0 |  549.3790283203125 |    0.02419999986886978 |               0.0 |   1.0 |  47.0 |
           6.0 |              2.0 |  549.3200073242188 |   0.012140000239014626 |               0.0 |   1.0 |  48.0 |
           6.0 |              2.0 |  543.2579956054688 |    0.07000000029802322 |               0.0 |   1.0 |  51.0 |
           6.0 |              2.0 |   538.406982421875 |  0.0012098000152036548 |               0.0 |   1.0 |  59.0 |
           6.0 |              2.0 |  533.7520141601562 |    0.05981000140309334 |               0.0 |   1.0 |  65.0 |
           6.0 |              2.0 |  530.4730224609375 |  0.0006916599813848734 |               0.0 |   1.0 |  72.0 |
           6.0 |              2.0 |  530.2750244140625 |     0.0722000002861023 |               0.0 |   1.0 |  73.0 |
           6.0 |              2.0 |  527.5089721679688 | 0.00011544799781404436 |               0.0 |   1.0 |  76.0 |
           6.0 |              2.0 |  525.3489990234375 |  0.0003976199950557202 |               0.0 |   1.0 |  81.0 |
