 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |     E_i(cm^-1) |     i |     j |
           6.0 |              3.0 |   1907.68994140625 |  1.570000023320972e-07 |            0.0 |   1.0 |   2.0 |
           6.0 |              3.0 |    977.02001953125 |     0.7709000110626221 |            0.0 |   1.0 |   3.0 |
           6.0 |              3.0 |  685.5130004882812 |  8.347000175490393e-07 |            0.0 |   1.0 |   5.0 |
           6.0 |              3.0 |  386.2030029296875 |    0.23649999499320984 |            0.0 |   1.0 |   9.0 |
           6.0 |              3.0 |  322.5740051269531 |    0.04171000048518181 |            0.0 |   1.0 |  15.0 |
           6.0 |              3.0 |  310.1700134277344 |     0.0321200005710125 |            0.0 |   1.0 |  21.0 |
           6.0 |              3.0 | 291.32598876953125 |   0.046879999339580536 |            0.0 |   1.0 |  35.0 |
           6.0 |              3.0 |  288.4230041503906 |  0.0009448999771848321 |            0.0 |   1.0 |  42.0 |
           6.0 |              3.0 |  280.0260009765625 |    0.01686999946832657 |            0.0 |   1.0 |  48.0 |
           6.0 |              3.0 |  274.0509948730469 |   0.011479999870061874 |            0.0 |   1.0 |  59.0 |
           6.0 |              3.0 |  270.3240051269531 |   0.007845000363886356 |            0.0 |   1.0 |  73.0 |
           6.0 |              3.0 |  267.8529968261719 |   0.005495000164955854 |            0.0 |   1.0 |  89.0 |
           6.0 |              3.0 | 266.15399169921875 |  0.0037189999129623175 |            0.0 |   1.0 | 105.0 |
           6.0 |              3.0 | 264.83099365234375 |  0.0027465999592095613 |            0.0 |   1.0 | 121.0 |
           6.0 |              3.0 |  263.8420104980469 |  0.0020882999524474144 |            0.0 |   1.0 | 137.0 |
           6.0 |              3.0 |     263.0830078125 |   0.001626000041142106 |            0.0 |   1.0 | 153.0 |
           6.0 |              3.0 | 262.48699951171875 |  0.0012919999426230788 |            0.0 |   1.0 | 169.0 |
           6.0 |              3.0 |  261.8819885253906 |  0.0010438000317662954 |            0.0 |   1.0 | 185.0 |
           6.0 |              3.0 | 261.51800537109375 |    0.00085552001837641 |            0.0 |   1.0 | 187.0 |
           6.0 |              3.0 |  261.2170104980469 |  0.0007100999937392771 |            0.0 |   1.0 | 189.0 |
           6.0 |              3.0 |  260.9649963378906 |  0.0005959999980404973 |            0.0 |   1.0 | 191.0 |
           6.0 |              3.0 | 260.75299072265625 |  0.0005051700281910598 |            0.0 |   1.0 | 193.0 |
