 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik | E_i(cm^-1) |    i |    j |
           6.0 |              6.0 | 33.736000061035156 |     0.8324000239372253 |        0.0 |  1.0 |  3.0 |
           6.0 |              6.0 | 28.465999603271484 |    0.15807199478149414 |        0.0 |  1.0 |  5.0 |
           6.0 |              6.0 | 26.989999771118164 |    0.05802600085735321 |        0.0 |  1.0 |  8.0 |
           6.0 |              6.0 |  26.35700035095215 |   0.027912000194191933 |        0.0 |  1.0 | 12.0 |
           6.0 |              6.0 | 26.025999069213867 |   0.015606800094246864 |        0.0 |  1.0 | 17.0 |
           6.0 |              6.0 | 25.829999923706055 |   0.009634199552237988 |        0.0 |  1.0 | 23.0 |
           6.0 |              6.0 | 25.704999923706055 |   0.006372800096869469 |        0.0 |  1.0 | 30.0 |
           6.0 |              6.0 | 25.618999481201172 |    0.00443200021982193 |        0.0 |  1.0 | 38.0 |
           6.0 |              6.0 |  25.55900001525879 |   0.003211400005966425 |        0.0 |  1.0 | 52.0 |
           6.0 |              6.0 | 25.513999938964844 |  0.0024019998963922262 |        0.0 |  1.0 | 56.0 |
           6.0 |              6.0 | 25.479999542236328 |  0.0018436600221320987 |        0.0 |  1.0 | 57.0 |
           6.0 |              6.0 |  25.45400047302246 |  0.0014460999518632889 |        0.0 |  1.0 | 58.0 |
           6.0 |              6.0 | 25.433000564575195 |  0.0011552999494597316 |        0.0 |  1.0 | 59.0 |
           6.0 |              6.0 | 25.416000366210938 |  0.0009376599919050932 |        0.0 |  1.0 | 60.0 |
           6.0 |              6.0 | 25.402000427246094 |  0.0007714799721725285 |        0.0 |  1.0 | 61.0 |
           6.0 |              6.0 | 25.391000747680664 |  0.0006424200255423784 |        0.0 |  1.0 | 62.0 |
           6.0 |              6.0 | 25.381999969482422 |  0.0005406599957495928 |        0.0 |  1.0 | 63.0 |
           6.0 |              6.0 | 25.374000549316406 | 0.00045931999920867383 |        0.0 |  1.0 | 64.0 |
           6.0 |              6.0 | 25.367000579833984 | 0.00039351999294012785 |        0.0 |  1.0 | 65.0 |
           6.0 |              6.0 | 25.361000061035156 | 0.00033971999073401093 |        0.0 |  1.0 | 66.0 |
           6.0 |              6.0 | 25.356000900268555 |  0.0002953200018964708 |        0.0 |  1.0 | 67.0 |
           6.0 |              6.0 |  25.35099983215332 | 0.00025832001119852066 |        0.0 |  1.0 | 68.0 |
           6.0 |              6.0 | 25.347000122070312 | 0.00022725999588146806 |        0.0 |  1.0 | 69.0 |
           6.0 |              6.0 |   25.3439998626709 |  0.0002010000025620684 |        0.0 |  1.0 | 70.0 |
           6.0 |              6.0 | 25.340999603271484 | 0.00017862999811768532 |        0.0 |  1.0 | 71.0 |
           6.0 |              6.0 |  25.33799934387207 | 0.00015946199710015208 |        0.0 |  1.0 | 72.0 |
           6.0 |              6.0 | 25.336000442504883 | 0.00014294199354480952 |        0.0 |  1.0 | 73.0 |
           6.0 |              6.0 |  25.33300018310547 | 0.00012862999574281275 |        0.0 |  1.0 | 74.0 |
           6.0 |              6.0 |  25.33099937438965 | 0.00011616599658736959 |        0.0 |  1.0 | 75.0 |
           6.0 |              6.0 | 182.11199951171875 |     0.8707200288772583 | 2963904.25 |  2.0 |  5.0 |
           6.0 |              6.0 | 134.91600036621094 |    0.20613999664783478 | 2963904.25 |  2.0 |  8.0 |
           6.0 |              6.0 | 120.46600341796875 |    0.08395399898290634 | 2963904.25 |  2.0 | 12.0 |
           6.0 |              6.0 | 113.84300231933594 |     0.0433260016143322 | 2963904.25 |  2.0 | 17.0 |
           6.0 |              6.0 | 110.19000244140625 |   0.025515999644994736 | 2963904.25 |  2.0 | 23.0 |
           6.0 |              6.0 | 107.94200134277344 |   0.016409799456596375 | 2963904.25 |  2.0 | 30.0 |
           6.0 |              6.0 |  106.4530029296875 |    0.01120659988373518 | 2963904.25 |  2.0 | 38.0 |
           6.0 |              6.0 | 105.41300201416016 |   0.007984800264239311 | 2963904.25 |  2.0 | 52.0 |
           6.0 |              6.0 | 104.65599822998047 |  0.0059102000668644905 | 2963904.25 |  2.0 | 56.0 |
           6.0 |              6.0 | 104.08799743652344 |  0.0045011998154222965 | 2963904.25 |  2.0 | 57.0 |
           6.0 |              6.0 |  103.6500015258789 |  0.0035095999483019114 | 2963904.25 |  2.0 | 58.0 |
           6.0 |              6.0 | 103.30599975585938 |   0.002790600061416626 | 2963904.25 |  2.0 | 59.0 |
           6.0 |              6.0 | 103.02899932861328 |   0.002256199950352311 | 2963904.25 |  2.0 | 60.0 |
           6.0 |              6.0 | 102.80400085449219 |  0.0018506200285628438 | 2963904.25 |  2.0 | 61.0 |
           6.0 |              6.0 | 102.61799621582031 |  0.0015370800392702222 | 2963904.25 |  2.0 | 62.0 |
           6.0 |              6.0 | 102.46299743652344 |  0.0012908000499010086 | 2963904.25 |  2.0 | 63.0 |
           6.0 |              6.0 | 102.33200073242188 |  0.0010945999529212713 | 2963904.25 |  2.0 | 64.0 |
           6.0 |              6.0 | 102.22000122070312 |  0.0009363599820062518 | 2963904.25 |  2.0 | 65.0 |
           6.0 |              6.0 |  102.1240005493164 |  0.0008072800119407475 | 2963904.25 |  2.0 | 66.0 |
           6.0 |              6.0 | 102.04100036621094 |  0.0007009400287643075 | 2963904.25 |  2.0 | 67.0 |
           6.0 |              6.0 | 101.96900177001953 |  0.0006125199724920094 | 2963904.25 |  2.0 | 68.0 |
           6.0 |              6.0 | 101.90599822998047 |  0.0005384199903346598 | 2963904.25 |  2.0 | 69.0 |
           6.0 |              6.0 |  101.8499984741211 | 0.00047580001410096884 | 2963904.25 |  2.0 | 70.0 |
           6.0 |              6.0 |  101.8010025024414 | 0.00042255999869666994 | 2963904.25 |  2.0 | 71.0 |
           6.0 |              6.0 | 101.75599670410156 |  0.0003769999893847853 | 2963904.25 |  2.0 | 72.0 |
           6.0 |              6.0 | 101.71700286865234 |  0.0003377599932719022 | 2963904.25 |  2.0 | 73.0 |
           6.0 |              6.0 | 101.68199920654297 |  0.0003037799906451255 | 2963904.25 |  2.0 | 74.0 |
           6.0 |              6.0 |  101.6500015258789 | 0.00027421998674981296 | 2963904.25 |  2.0 | 75.0 |
           6.0 |              6.0 | 182.23699951171875 |    0.08150999993085861 | 2964194.75 |  3.0 |  4.0 |
           6.0 |              6.0 |  182.1840057373047 |      4.181819915771484 | 2964194.75 |  3.0 |  6.0 |
           6.0 |              6.0 | 134.97500610351562 |   0.018304798752069473 | 2964194.75 |  3.0 |  7.0 |
           6.0 |              6.0 | 134.96299743652344 |      0.731220006942749 | 2964194.75 |  3.0 |  9.0 |
           6.0 |              6.0 | 120.51100158691406 |   0.007281600497663021 | 2964194.75 |  3.0 | 11.0 |
           6.0 |              6.0 | 120.50599670410156 |     0.2660819888114929 | 2964194.75 |  3.0 | 13.0 |
           6.0 |              6.0 | 113.88200378417969 |   0.003711000084877014 | 2964194.75 |  3.0 | 16.0 |
           6.0 |              6.0 | 113.87899780273438 |    0.13004399836063385 | 2964194.75 |  3.0 | 18.0 |
           6.0 |              6.0 | 110.22599792480469 |   0.002170620020478964 | 2964194.75 |  3.0 | 22.0 |
           6.0 |              6.0 |  110.2239990234375 |    0.07402200251817703 | 2964194.75 |  3.0 | 24.0 |
           6.0 |              6.0 | 107.97599792480469 |  0.0013803599867969751 | 2964194.75 |  3.0 | 29.0 |
           6.0 |              6.0 |  107.9749984741211 |    0.04651319980621338 | 2964194.75 |  3.0 | 31.0 |
           6.0 |              6.0 | 106.48600006103516 |  0.0009422400034964085 | 2964194.75 |  3.0 | 37.0 |
           6.0 |              6.0 | 105.44499969482422 |   0.000671159999910742 | 2964194.75 |  3.0 | 50.0 |
           6.0 |              6.0 | 104.68800354003906 |    0.01678379997611046 | 2964194.75 |  3.0 | 56.0 |
           6.0 |              6.0 | 104.12000274658203 |   0.012714600190520287 | 2964194.75 |  3.0 | 57.0 |
           6.0 |              6.0 | 103.68199920654297 |   0.009872399270534515 | 2964194.75 |  3.0 | 58.0 |
           6.0 |              6.0 | 103.33699798583984 |   0.007824599742889404 | 2964194.75 |  3.0 | 59.0 |
           6.0 |              6.0 | 103.05999755859375 |   0.006309599615633488 | 2964194.75 |  3.0 | 60.0 |
           6.0 |              6.0 | 102.83499908447266 |  0.0051643201150000095 | 2964194.75 |  3.0 | 61.0 |
           6.0 |              6.0 | 102.64900207519531 |  0.0042817797511816025 | 2964194.75 |  3.0 | 62.0 |
           6.0 |              6.0 | 102.49299621582031 |  0.0035904000978916883 | 2964194.75 |  3.0 | 63.0 |
           6.0 |              6.0 | 102.36199951171875 |  0.0030408601742237806 | 2964194.75 |  3.0 | 64.0 |
           6.0 |              6.0 |             102.25 |  0.0025984798558056355 | 2964194.75 |  3.0 | 65.0 |
           6.0 |              6.0 | 102.15499877929688 |  0.0022382400929927826 | 2964194.75 |  3.0 | 66.0 |
           6.0 |              6.0 |  102.0719985961914 |  0.0019418400479480624 | 2964194.75 |  3.0 | 67.0 |
           6.0 |              6.0 |  101.9990005493164 |   0.001695720013231039 | 2964194.75 |  3.0 | 68.0 |
           6.0 |              6.0 | 101.93599700927734 |  0.0014896199572831392 | 2964194.75 |  3.0 | 69.0 |
           6.0 |              6.0 | 101.87999725341797 |  0.0013157399371266365 | 2964194.75 |  3.0 | 70.0 |
           6.0 |              6.0 | 101.83100128173828 |   0.001167959999293089 | 2964194.75 |  3.0 | 71.0 |
           6.0 |              6.0 | 101.78700256347656 |  0.0010415399447083473 | 2964194.75 |  3.0 | 72.0 |
           6.0 |              6.0 | 101.74700164794922 |  0.0009327600128017366 | 2964194.75 |  3.0 | 73.0 |
           6.0 |              6.0 | 101.71199798583984 |  0.0008386799599975348 | 2964194.75 |  3.0 | 74.0 |
           6.0 |              6.0 | 101.68000030517578 |  0.0007568399887531996 | 2964194.75 |  3.0 | 75.0 |
           6.0 |              6.0 |  520.3519897460938 |     0.9697399735450745 |  3512929.5 |  4.0 |  8.0 |
           6.0 |              6.0 | 355.76300048828125 |      0.242139995098114 |  3512929.5 |  4.0 | 12.0 |
           6.0 |              6.0 |  303.6000061035156 |    0.10305599868297577 |  3512929.5 |  4.0 | 17.0 |
           6.0 |              6.0 | 278.94000244140625 |    0.05473000183701515 |  3512929.5 |  4.0 | 23.0 |
           6.0 |              6.0 | 264.97100830078125 |    0.03311600163578987 |  3512929.5 |  4.0 | 30.0 |
           6.0 |              6.0 |  256.1759948730469 |   0.021709999069571495 |  3512929.5 |  4.0 | 38.0 |
           6.0 |              6.0 | 250.23399353027344 |    0.01510739978402853 |  3512929.5 |  4.0 | 52.0 |
           6.0 |              6.0 | 246.01199340820312 |   0.010967999696731567 |  3512929.5 |  4.0 | 56.0 |
           6.0 |              6.0 |    242.89599609375 |   0.008233600296080112 |  3512929.5 |  4.0 | 57.0 |
           6.0 |              6.0 | 240.52499389648438 |   0.006348799914121628 |  3512929.5 |  4.0 | 58.0 |
           6.0 |              6.0 |   238.677001953125 |   0.005004600156098604 |  3512929.5 |  4.0 | 59.0 |
           6.0 |              6.0 | 237.20599365234375 |   0.004018399864435196 |  3512929.5 |  4.0 | 60.0 |
           6.0 |              6.0 | 236.01600646972656 |     0.0032774000428617 |  3512929.5 |  4.0 | 61.0 |
           6.0 |              6.0 | 235.03799438476562 |  0.0027095999103039503 |  3512929.5 |  4.0 | 62.0 |
           6.0 |              6.0 | 234.22500610351562 |   0.002266600029543042 |  3512929.5 |  4.0 | 63.0 |
           6.0 |              6.0 | 233.54200744628906 |  0.0019158399663865566 |  3512929.5 |  4.0 | 64.0 |
           6.0 |              6.0 | 232.96099853515625 |  0.0016343200113624334 |  3512929.5 |  4.0 | 65.0 |
           6.0 |              6.0 | 232.46400451660156 |   0.001405679970048368 |  3512929.5 |  4.0 | 66.0 |
           6.0 |              6.0 | 232.03500366210938 |  0.0012179999612271786 |  3512929.5 |  4.0 | 67.0 |
           6.0 |              6.0 | 231.66200256347656 |  0.0010624600108712912 |  3512929.5 |  4.0 | 68.0 |
           6.0 |              6.0 |  231.3350067138672 |  0.0009324399870820343 |  3512929.5 |  4.0 | 69.0 |
           6.0 |              6.0 | 231.04800415039062 |  0.0008228800143115222 |  3512929.5 |  4.0 | 70.0 |
           6.0 |              6.0 | 230.79299926757812 |   0.000729900028090924 |  3512929.5 |  4.0 | 71.0 |
           6.0 |              6.0 | 230.56700134277344 |  0.0006504799821414053 |  3512929.5 |  4.0 | 72.0 |
           6.0 |              6.0 | 230.36500549316406 |  0.0005822000093758106 |  3512929.5 |  4.0 | 73.0 |
           6.0 |              6.0 |  230.1840057373047 |  0.0005232000257819891 |  3512929.5 |  4.0 | 74.0 |
           6.0 |              6.0 |    230.02099609375 | 0.00047192000783979893 |  3512929.5 |  4.0 | 75.0 |
           6.0 |              6.0 |  520.6829833984375 |    0.19302600622177124 |  3513015.5 |  5.0 |  7.0 |
           6.0 |              6.0 |     520.4990234375 |      3.711780071258545 |  3513015.5 |  5.0 |  9.0 |
           6.0 |              6.0 |  355.8949890136719 |   0.044609397649765015 |  3513015.5 |  5.0 | 11.0 |
           6.0 |              6.0 | 355.85101318359375 |      0.835319995880127 |  3513015.5 |  5.0 | 13.0 |
           6.0 |              6.0 |  303.6889953613281 |   0.018204599618911743 |  3513015.5 |  5.0 | 16.0 |
           6.0 |              6.0 |  303.6709899902344 |     0.3371099829673767 |  3513015.5 |  5.0 | 18.0 |
           6.0 |              6.0 |  279.0119934082031 |   0.009472200646996498 |  3513015.5 |  5.0 | 22.0 |
           6.0 |              6.0 | 279.00201416015625 |    0.17405399680137634 |  3513015.5 |  5.0 | 24.0 |
           6.0 |              6.0 |  265.0350036621094 |   0.005651519633829594 |  3513015.5 |  5.0 | 29.0 |
           6.0 |              6.0 | 265.02899169921875 |    0.10303199291229248 |  3513015.5 |  5.0 | 31.0 |
           6.0 |              6.0 |  256.2349853515625 |   0.003671039827167988 |  3513015.5 |  5.0 | 37.0 |
           6.0 |              6.0 |  256.2309875488281 |    0.06691800057888031 |  3513015.5 |  5.0 | 39.0 |
           6.0 |              6.0 | 250.28799438476562 |    0.00254069990478456 |  3513015.5 |  5.0 | 50.0 |
           6.0 |              6.0 | 246.06399536132812 |    0.03509099781513214 |  3513015.5 |  5.0 | 56.0 |
           6.0 |              6.0 | 242.94700622558594 |   0.026211600750684738 |  3513015.5 |  5.0 | 57.0 |
           6.0 |              6.0 |  240.5749969482422 |   0.020134199410676956 |  3513015.5 |  5.0 | 58.0 |
           6.0 |              6.0 |  238.7259979248047 |   0.015822600573301315 |  3513015.5 |  5.0 | 59.0 |
           6.0 |              6.0 | 237.25399780273438 |   0.012673200108110905 |  3513015.5 |  5.0 | 60.0 |
           6.0 |              6.0 | 236.06399536132812 |   0.010315800085663795 |  3513015.5 |  5.0 | 61.0 |
           6.0 |              6.0 | 235.08599853515625 |    0.00851459987461567 |  3513015.5 |  5.0 | 62.0 |
           6.0 |              6.0 | 234.27200317382812 |    0.00711239967495203 |  3513015.5 |  5.0 | 63.0 |
           6.0 |              6.0 | 233.58900451660156 |   0.006004800088703632 |  3513015.5 |  5.0 | 64.0 |
           6.0 |              6.0 | 233.00799560546875 |   0.005117399618029594 |  3513015.5 |  5.0 | 65.0 |
           6.0 |              6.0 | 232.50999450683594 |   0.004397700075060129 |  3513015.5 |  5.0 | 66.0 |
           6.0 |              6.0 | 232.08099365234375 |   0.003807720262557268 |  3513015.5 |  5.0 | 67.0 |
           6.0 |              6.0 | 231.70799255371094 |  0.0033193198032677174 |  3513015.5 |  5.0 | 68.0 |
           6.0 |              6.0 | 231.38099670410156 |  0.0029114398639649153 |  3513015.5 |  5.0 | 69.0 |
           6.0 |              6.0 |   231.093994140625 |    0.00256806006655097 |  3513015.5 |  5.0 | 70.0 |
           6.0 |              6.0 | 230.83900451660156 |  0.0022768802009522915 |  3513015.5 |  5.0 | 71.0 |
           6.0 |              6.0 | 230.61300659179688 |  0.0020282999612390995 |  3513015.5 |  5.0 | 72.0 |
           6.0 |              6.0 | 230.41099548339844 |  0.0018148199887946248 |  3513015.5 |  5.0 | 73.0 |
           6.0 |              6.0 | 230.22999572753906 |    0.00163031998090446 |  3513015.5 |  5.0 | 74.0 |
           6.0 |              6.0 | 230.06700134277344 |  0.0014701199252158403 |  3513015.5 |  5.0 | 75.0 |
           6.0 |              6.0 |  520.7869873046875 |    0.10999000072479248 | 3513090.25 |  6.0 |  8.0 |
           6.0 |              6.0 |  520.6649780273438 |      10.20199966430664 | 3513090.25 |  6.0 | 10.0 |
           6.0 |              6.0 | 355.96600341796875 |   0.022100001573562622 | 3513090.25 |  6.0 | 12.0 |
           6.0 |              6.0 |    355.93701171875 |      1.570199966430664 | 3513090.25 |  6.0 | 14.0 |
           6.0 |              6.0 | 303.74798583984375 |   0.008420499972999096 | 3513090.25 |  6.0 | 17.0 |
           6.0 |              6.0 |  303.7359924316406 |     0.5390499830245972 | 3513090.25 |  6.0 | 19.0 |
           6.0 |              6.0 | 279.06500244140625 |   0.004210300277918577 | 3513090.25 |  6.0 | 23.0 |
           6.0 |              6.0 |  279.0589904785156 |    0.25602999329566956 | 3513090.25 |  6.0 | 25.0 |
           6.0 |              6.0 |  265.0840148925781 |   0.002450200030580163 | 3513090.25 |  6.0 | 30.0 |
           6.0 |              6.0 |  265.0799865722656 |     0.1440100073814392 | 3513090.25 |  6.0 | 32.0 |
           6.0 |              6.0 |  256.2820129394531 |   0.001560100121423602 | 3513090.25 |  6.0 | 38.0 |
           6.0 |              6.0 | 256.27899169921875 |    0.09030900150537491 | 3513090.25 |  6.0 | 40.0 |
           6.0 |              6.0 |  250.3350067138672 |   0.060805000364780426 | 3513090.25 |  6.0 | 51.0 |
           6.0 |              6.0 | 246.10899353027344 |    0.04388299584388733 | 3513090.25 |  6.0 | 56.0 |
           6.0 |              6.0 | 242.99099731445312 |    0.03236600011587143 | 3513090.25 |  6.0 | 57.0 |
           6.0 |              6.0 |  240.6179962158203 |   0.024619000032544136 | 3513090.25 |  6.0 | 58.0 |
           6.0 |              6.0 | 238.76800537109375 |    0.01919899880886078 | 3513090.25 |  6.0 | 59.0 |
           6.0 |              6.0 | 237.29600524902344 |   0.015283999964594841 | 3513090.25 |  6.0 | 60.0 |
           6.0 |              6.0 | 236.10499572753906 |   0.012378999963402748 | 3513090.25 |  6.0 | 61.0 |
