 Atomic Number | Ionization State |  Wavelength (Ang.) |              g_i*f_ik |    E_i(cm^-1) |     i |     j |
          20.0 |              3.0 |  248.3000030517578 | 0.0019054606091231108 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 |              250.0 | 0.0022908670362085104 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 | 250.20001220703125 | 0.0017782794311642647 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 |              252.0 |  0.002630268456414342 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 | 252.60000610351562 | 0.0023988336324691772 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 |              254.5 | 0.0028840317390859127 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 | 256.29998779296875 |  0.025118863210082054 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 |              262.5 |   0.03981072083115578 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 |  262.6000061035156 |   0.02290867641568184 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 |  264.6999816894531 |   0.02290867641568184 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 |              265.5 | 0.0008128306944854558 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 | 273.69500732421875 |   0.08912510424852371 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 | 274.46099853515625 |   0.03630780056118965 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 |     296.9580078125 |    0.4466835856437683 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 |  301.7409973144531 |   0.08317636698484421 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 | 304.33001708984375 |  0.052480749785900116 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 |  304.9100036621094 |   0.03630780056118965 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 |  357.9800109863281 |     3.890451192855835 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 |  403.7239990234375 |    0.5495408773422241 |           0.0 | 333.0 | 666.0 |
          20.0 |              3.0 |  409.9539794921875 |   0.09332543611526489 |           0.0 | 333.0 | 666.0 |
