 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |   i |   j |
          20.0 |              6.0 |          3726.463 |      0.0 |        0.0 | 1.0 | 2.0 |
          20.0 |              6.0 |          3670.183 |      0.0 |        0.0 | 1.0 | 3.0 |
          20.0 |              6.0 |         243013.38 |      0.0 |    26835.1 | 2.0 | 3.0 |
          20.0 |              6.0 |          2242.821 |      0.0 |        0.0 | 1.0 | 4.0 |
          20.0 |              6.0 |          5633.295 |      0.0 |    26835.1 | 2.0 | 4.0 |
          20.0 |              6.0 |          5766.979 |      0.0 |    27246.6 | 3.0 | 4.0 |
          20.0 |              6.0 |          2215.198 |      0.0 |        0.0 | 1.0 | 5.0 |
          20.0 |              6.0 |          5462.212 |      0.0 |    26835.1 | 2.0 | 5.0 |
          20.0 |              6.0 |           5587.81 |      0.0 |    27246.6 | 3.0 | 5.0 |
          20.0 |              6.0 |         179856.12 |      0.0 |    44586.7 | 4.0 | 5.0 |
%CHIANTI
