 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          20.0 |              8.0 |         23218.018 | 2.323e-07 |        0.0 |  1.0 |  2.0 |
          20.0 |              8.0 |            770.28 | 0.0002389 |        0.0 |  1.0 |  3.0 |
          20.0 |              8.0 |           796.711 | 0.0001442 |     4307.0 |  2.0 |  3.0 |
          20.0 |              8.0 |           761.018 | 8.559e-06 |        0.0 |  1.0 |  4.0 |
          20.0 |              8.0 |           786.807 | 0.0001578 |     4307.0 |  2.0 |  4.0 |
          20.0 |              8.0 |           772.457 | 0.0006417 |     4307.0 |  2.0 |  5.0 |
          20.0 |              8.0 |           582.832 |    0.1472 |        0.0 |  1.0 |  6.0 |
          20.0 |              8.0 |           597.839 |    0.0171 |     4307.0 |  2.0 |  6.0 |
          20.0 |              8.0 |           596.926 |    0.2389 |     4307.0 |  2.0 |  7.0 |
          20.0 |              8.0 |           461.708 |    0.2579 |        0.0 |  1.0 |  8.0 |
          20.0 |              8.0 |           471.076 |     0.189 |     4307.0 |  2.0 |  8.0 |
          20.0 |              8.0 |            432.87 |    0.6611 |        0.0 |  1.0 |  9.0 |
          20.0 |              8.0 |           441.094 |    0.4833 |     4307.0 |  2.0 |  9.0 |
          20.0 |              8.0 |           428.097 |    0.3979 |        0.0 |  1.0 | 10.0 |
          20.0 |              8.0 |           436.138 |     1.931 |     4307.0 |  2.0 | 10.0 |
          20.0 |              8.0 |           354.167 |     1.529 |        0.0 |  1.0 | 11.0 |
          20.0 |              8.0 |           359.653 |    0.3266 |     4307.0 |  2.0 | 11.0 |
          20.0 |              8.0 |           359.367 |     2.741 |     4307.0 |  2.0 | 12.0 |
          20.0 |              8.0 |           485.369 | 0.0002696 |   129823.0 |  3.0 | 13.0 |
          20.0 |              8.0 |            489.12 | 1.109e-05 |   131403.0 |  4.0 | 13.0 |
          20.0 |              8.0 |           494.834 | 0.0008434 |   133764.0 |  5.0 | 13.0 |
          20.0 |              8.0 |           608.732 |    0.2437 |   171576.0 |  6.0 | 13.0 |
          20.0 |              8.0 |           609.682 |   0.05005 |   171832.0 |  7.0 | 13.0 |
          20.0 |              8.0 |           838.469 |   0.00634 |   216587.0 |  8.0 | 13.0 |
          20.0 |              8.0 |           953.871 |    0.1168 |   231016.0 |  9.0 | 13.0 |
          20.0 |              8.0 |           977.899 |   0.01587 |   233592.0 | 10.0 | 13.0 |
          20.0 |              8.0 |          1869.194 |  0.005893 |   282353.0 | 11.0 | 13.0 |
          20.0 |              8.0 |          1876.947 | 0.0006663 |   282574.0 | 12.0 | 13.0 |
          20.0 |              8.0 |           488.038 | 3.863e-05 |   131403.0 |  4.0 | 14.0 |
          20.0 |              8.0 |           493.727 | 0.0009699 |   133764.0 |  5.0 | 14.0 |
          20.0 |              8.0 |           607.058 |   0.03301 |   171576.0 |  6.0 | 14.0 |
          20.0 |              8.0 |           608.003 |    0.4182 |   171832.0 |  7.0 | 14.0 |
          20.0 |              8.0 |           973.587 |    0.1989 |   233592.0 | 10.0 | 14.0 |
          20.0 |              8.0 |          1853.499 | 0.0005902 |   282353.0 | 11.0 | 14.0 |
          20.0 |              8.0 |          1861.123 |  0.009118 |   282574.0 | 12.0 | 14.0 |
          20.0 |              8.0 |           462.595 |    0.4066 |   129823.0 |  3.0 | 15.0 |
