 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |     j |
          20.0 |             10.0 |           574.008 |    0.3435 |        0.0 |  1.0 |   2.0 |
          20.0 |             10.0 |           557.766 |    0.7089 |        0.0 |  1.0 |   3.0 |
          20.0 |             10.0 |           420.477 |     0.174 |   179286.6 |  3.0 |   4.0 |
          20.0 |             10.0 |           239.744 |       0.0 |        0.0 |  1.0 |   4.0 |
          20.0 |             10.0 |           411.695 |    0.8872 |   174213.5 |  2.0 |   4.0 |
          20.0 |             10.0 |           419.753 |      1.57 |   179286.6 |  3.0 |   5.0 |
          20.0 |             10.0 |           239.508 |       0.0 |        0.0 |  1.0 |   5.0 |
          20.0 |             10.0 |           240.811 |       0.0 |   417521.9 |  5.0 |   6.0 |
          20.0 |             10.0 |           153.022 |    0.3133 |   179286.6 |  3.0 |   6.0 |
          20.0 |             10.0 |           151.844 |    0.1526 |   174213.5 |  2.0 |   6.0 |
          20.0 |             10.0 |           138.889 |       0.0 |   179286.6 |  3.0 |   7.0 |
          20.0 |             10.0 |           207.394 |    0.2076 |   417111.5 |  4.0 |   7.0 |
          20.0 |             10.0 |           111.199 |   0.09974 |        0.0 |  1.0 |   7.0 |
          20.0 |             10.0 |          1503.741 |    0.4999 |   832785.5 |  6.0 |   7.0 |
          20.0 |             10.0 |           206.751 |    0.3669 |   417521.9 |  5.0 |   8.0 |
          20.0 |             10.0 |           138.522 |       0.0 |   179286.6 |  3.0 |   8.0 |
          20.0 |             10.0 |           206.576 |   0.04057 |   417111.5 |  4.0 |   8.0 |
          20.0 |             10.0 |           110.964 |    0.1921 |        0.0 |  1.0 |   8.0 |
          20.0 |             10.0 |           137.555 |       0.0 |   174213.5 |  2.0 |   8.0 |
          20.0 |             10.0 |          1461.768 |     1.028 |   832785.5 |  6.0 |   8.0 |
          20.0 |             10.0 |           123.761 |   0.07604 |   179286.6 |  3.0 |   9.0 |
          20.0 |             10.0 |           175.382 |       0.0 |   417111.5 |  4.0 |   9.0 |
          20.0 |             10.0 |          1161.443 |     0.269 |   901195.8 |  8.0 |   9.0 |
          20.0 |             10.0 |           101.287 |       0.0 |        0.0 |  1.0 |   9.0 |
          20.0 |             10.0 |           122.989 |    0.3695 |   174213.5 |  2.0 |   9.0 |
          20.0 |             10.0 |          1136.243 |     1.371 |   899286.3 |  7.0 |   9.0 |
          20.0 |             10.0 |           175.447 |       0.0 |   417521.9 |  5.0 |  10.0 |
          20.0 |             10.0 |           123.731 |    0.6816 |   179286.6 |  3.0 |  10.0 |
          20.0 |             10.0 |          1158.785 |     2.422 |   901195.8 |  8.0 |  10.0 |
          20.0 |             10.0 |           101.267 |       0.0 |        0.0 |  1.0 |  10.0 |
          20.0 |             10.0 |           167.063 |     0.259 |   417521.9 |  5.0 |  11.0 |
          20.0 |             10.0 |          3495.724 |   0.03858 |   987493.1 | 10.0 |  11.0 |
          20.0 |             10.0 |           119.501 |       0.0 |   179286.6 |  3.0 |  11.0 |
          20.0 |             10.0 |           166.948 |     3.624 |   417111.5 |  4.0 |  11.0 |
          20.0 |             10.0 |          3471.755 |    0.5451 |   987295.6 |  9.0 |  11.0 |
          20.0 |             10.0 |           118.781 |       0.0 |   174213.5 |  2.0 |  11.0 |
          20.0 |             10.0 |           167.049 |      5.18 |   417521.9 |  5.0 |  12.0 |
          20.0 |             10.0 |          3489.564 |    0.7724 |   987493.1 | 10.0 |  12.0 |
          20.0 |             10.0 |           119.494 |       0.0 |   179286.6 |  3.0 |  12.0 |
          20.0 |             10.0 |           132.068 |       0.0 |   417521.9 |  5.0 |  13.0 |
