 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          20.0 |             13.0 |          4087.472 |       0.0 |        0.0 |  1.0 |  2.0 |
          20.0 |             13.0 |          3462.604 |       0.0 |        0.0 |  1.0 |  3.0 |
          20.0 |             13.0 |         22650.057 |       0.0 |    24465.0 |  2.0 |  3.0 |
          20.0 |             13.0 |          1133.756 |       0.0 |        0.0 |  1.0 |  4.0 |
          20.0 |             13.0 |          1568.938 |       0.0 |    24465.0 |  2.0 |  4.0 |
          20.0 |             13.0 |           559.849 |       0.0 |        0.0 |  1.0 |  5.0 |
          20.0 |             13.0 |             648.7 |       0.0 |    24465.0 |  2.0 |  5.0 |
          20.0 |             13.0 |          1105.986 |       0.0 |    88202.4 |  4.0 |  5.0 |
          20.0 |             13.0 |           161.739 |    0.4023 |        0.0 |  1.0 |  6.0 |
          20.0 |             13.0 |           168.403 |    0.1319 |    24465.0 |  2.0 |  6.0 |
          20.0 |             13.0 |           188.652 |  0.009714 |    88202.4 |  4.0 |  6.0 |
          20.0 |             13.0 |           156.674 |    0.1448 |        0.0 |  1.0 |  7.0 |
          20.0 |             13.0 |           162.919 |   0.08167 |    24465.0 |  2.0 |  7.0 |
          20.0 |             13.0 |             164.1 |    0.1058 |    28880.0 |  3.0 |  7.0 |
          20.0 |             13.0 |           181.797 | 0.0001178 |    88202.4 |  4.0 |  7.0 |
          20.0 |             13.0 |           217.558 |  0.001922 |  178619.47 |  5.0 |  7.0 |
          20.0 |             13.0 |           159.825 |    0.1118 |    24465.0 |  2.0 |  8.0 |
          20.0 |             13.0 |           117.606 |   0.01389 |        0.0 |  1.0 |  9.0 |
          20.0 |             13.0 |            121.09 |  0.000537 |    24465.0 |  2.0 |  9.0 |
          20.0 |             13.0 |           121.741 |  0.001147 |    28880.0 |  3.0 |  9.0 |
          20.0 |             13.0 |           131.217 |    0.6808 |    88202.4 |  4.0 |  9.0 |
          20.0 |             13.0 |           148.881 |     0.063 |  178619.47 |  5.0 |  9.0 |
          20.0 |             13.0 |           124.681 |  0.002263 |   638266.0 |  7.0 | 10.0 |
          20.0 |             13.0 |           169.488 |    0.3569 |   850299.0 |  9.0 | 10.0 |
          20.0 |             13.0 |             29.99 |  0.003004 |        0.0 |  1.0 | 11.0 |
          20.0 |             13.0 |           30.2117 | 0.0004537 |    24465.0 |  2.0 | 11.0 |
          20.0 |             13.0 |           30.8048 | 5.782e-07 |    88202.4 |  4.0 | 11.0 |
          20.0 |             13.0 |           29.6329 |    0.2367 |        0.0 |  1.0 | 12.0 |
          20.0 |             13.0 |           29.8493 |    0.1137 |    24465.0 |  2.0 | 12.0 |
          20.0 |             13.0 |           29.8887 |   0.04336 |    28880.0 |  3.0 | 12.0 |
          20.0 |             13.0 |           30.4282 |  0.001417 |    88202.4 |  4.0 | 12.0 |
          20.0 |             13.0 |           31.2891 | 9.377e-06 |  178619.47 |  5.0 | 12.0 |
          20.0 |             13.0 |            28.962 |  0.005461 |        0.0 |  1.0 | 13.0 |
          20.0 |             13.0 |           29.1687 |   0.07865 |    24465.0 |  2.0 | 13.0 |
          20.0 |             13.0 |           29.2063 |   0.04139 |    28880.0 |  3.0 | 13.0 |
          20.0 |             13.0 |           29.7212 |  0.006046 |    88202.4 |  4.0 | 13.0 |
          20.0 |             13.0 |            30.542 |  0.001918 |  178619.47 |  5.0 | 13.0 |
          20.0 |             13.0 |           28.9482 |    0.1197 |        0.0 |  1.0 | 14.0 |
          20.0 |             13.0 |           29.1546 |   0.08614 |    24465.0 |  2.0 | 14.0 |
          20.0 |             13.0 |           29.7067 |  0.005957 |    88202.4 |  4.0 | 14.0 |
          20.0 |             13.0 |            28.916 |    0.2745 |        0.0 |  1.0 | 15.0 |
          20.0 |             13.0 |           29.6728 |  0.008358 |    88202.4 |  4.0 | 15.0 |
          20.0 |             13.0 |           28.7804 |   0.01909 |        0.0 |  1.0 | 16.0 |
          20.0 |             13.0 |           28.9845 |   0.02382 |    24465.0 |  2.0 | 16.0 |
          20.0 |             13.0 |             29.53 |    0.4516 |    88202.4 |  4.0 | 16.0 |
          20.0 |             13.0 |           28.6291 |       0.0 |        0.0 |  1.0 | 17.0 |
          20.0 |             13.0 |           28.8357 |       0.0 |    24465.0 |  2.0 | 17.0 |
          20.0 |             13.0 |           34.9112 | 6.274e-05 |   618280.0 |  6.0 | 17.0 |
          20.0 |             13.0 |           35.1618 | 5.154e-05 |   638266.0 |  7.0 | 17.0 |
          20.0 |             13.0 |           35.3122 | 2.877e-05 |   650149.0 |  8.0 | 17.0 |
          20.0 |             13.0 |           38.1221 | 3.342e-07 |   850299.0 |  9.0 | 17.0 |
          20.0 |             13.0 |           622.934 |    0.3038 |  3334445.0 | 11.0 | 17.0 |
          20.0 |             13.0 |            837.74 |  0.002031 |  3374623.0 | 12.0 | 17.0 |
          20.0 |             13.0 |           28.6137 |       0.0 |        0.0 |  1.0 | 18.0 |
          20.0 |             13.0 |             28.82 |       0.0 |    24465.0 |  2.0 | 18.0 |
          20.0 |             13.0 |           28.8572 |       0.0 |    28880.0 |  3.0 | 18.0 |
          20.0 |             13.0 |           29.3869 |       0.0 |    88202.4 |  4.0 | 18.0 |
          20.0 |             13.0 |           34.8883 | 1.937e-05 |   618280.0 |  6.0 | 18.0 |
          20.0 |             13.0 |           35.1386 | 4.503e-05 |   638266.0 |  7.0 | 18.0 |
          20.0 |             13.0 |           38.0948 | 2.122e-06 |   850299.0 |  9.0 | 18.0 |
