 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          20.0 |             16.0 |          2738.226 |       0.0 |        0.0 |   1.0 |   2.0 |
          20.0 |             16.0 |           373.148 | 0.0003023 |        0.0 |   1.0 |   3.0 |
          20.0 |             16.0 |           432.021 | 0.0003686 |    36520.0 |   2.0 |   3.0 |
          20.0 |             16.0 |           353.982 |   2.5e-05 |        0.0 |   1.0 |   4.0 |
          20.0 |             16.0 |          6891.799 |       0.0 |   267990.0 |   3.0 |   4.0 |
          20.0 |             16.0 |           406.537 | 0.0002338 |    36520.0 |   2.0 |   4.0 |
          20.0 |             16.0 |          5464.481 |       0.0 |   282500.0 |   4.0 |   5.0 |
          20.0 |             16.0 |           378.387 |   0.00146 |    36520.0 |   2.0 |   5.0 |
          20.0 |             16.0 |           208.585 |    0.2374 |        0.0 |   1.0 |   6.0 |
          20.0 |             16.0 |           225.785 |   0.01539 |    36520.0 |   2.0 |   6.0 |
          20.0 |             16.0 |           224.548 |    0.3398 |    36520.0 |   2.0 |   7.0 |
          20.0 |             16.0 |           168.868 |    0.1645 |        0.0 |   1.0 |   8.0 |
          20.0 |             16.0 |           179.966 |   0.02192 |    36520.0 |   2.0 |   8.0 |
          20.0 |             16.0 |           157.788 |    0.0463 |        0.0 |   1.0 |   9.0 |
          20.0 |             16.0 |           167.437 |    0.3324 |    36520.0 |   2.0 |   9.0 |
          20.0 |             16.0 |            154.88 |    0.1326 |        0.0 |   1.0 |  10.0 |
          20.0 |             16.0 |           164.166 |    0.8452 |    36520.0 |   2.0 |  10.0 |
          20.0 |             16.0 |           181.041 |    0.3778 |   282500.0 |   4.0 |  11.0 |
          20.0 |             16.0 |           281.341 | 0.0002448 |   479420.0 |   6.0 |  11.0 |
          20.0 |             16.0 |           528.541 |  0.001586 |   645660.0 |  10.0 |  11.0 |
          20.0 |             16.0 |           176.407 |    0.1967 |   267990.0 |   3.0 |  11.0 |
          20.0 |             16.0 |           497.265 | 0.0004592 |   633760.0 |   9.0 |  11.0 |
          20.0 |             16.0 |           187.245 |    0.5506 |   300800.0 |   5.0 |  11.0 |
          20.0 |             16.0 |           412.065 | 0.0005008 |   592180.0 |   8.0 |  11.0 |
          20.0 |             16.0 |           283.286 |  5.19e-05 |   481860.0 |   7.0 |  11.0 |
          20.0 |             16.0 |           152.091 |  0.003472 |   282500.0 |   4.0 |  12.0 |
          20.0 |             16.0 |           217.118 |    0.3314 |   479420.0 |   6.0 |  12.0 |
          20.0 |             16.0 |           339.743 |   0.01577 |   645660.0 |  10.0 |  12.0 |
          20.0 |             16.0 |           148.807 |  9.15e-06 |   267990.0 |   3.0 |  12.0 |
          20.0 |             16.0 |           326.541 |     0.176 |   633760.0 |   9.0 |  12.0 |
          20.0 |             16.0 |           156.446 | 8.814e-07 |   300800.0 |   5.0 |  12.0 |
          20.0 |             16.0 |           287.505 |    0.1506 |   592180.0 |   8.0 |  12.0 |
          20.0 |             16.0 |           218.274 |    0.1162 |   481860.0 |   7.0 |  12.0 |
          20.0 |             16.0 |           151.012 | 0.0002334 |   282500.0 |   4.0 |  13.0 |
          20.0 |             16.0 |           214.924 |   0.08854 |   479420.0 |   6.0 |  13.0 |
          20.0 |             16.0 |           334.403 |    0.4174 |   645660.0 |  10.0 |  13.0 |
          20.0 |             16.0 |           155.304 |  0.008238 |   300800.0 |   5.0 |  13.0 |
          20.0 |             16.0 |           216.057 |    0.6546 |   481860.0 |   7.0 |  13.0 |
          20.0 |             16.0 |           129.836 | 7.148e-05 |   282500.0 |   4.0 |  14.0 |
          20.0 |             16.0 |           174.435 |    0.2744 |   479420.0 |   6.0 |  14.0 |
          20.0 |             16.0 |           245.676 |   0.07568 |   645660.0 |  10.0 |  14.0 |
          20.0 |             16.0 |           127.436 | 0.0001771 |   267990.0 |   3.0 |  14.0 |
          20.0 |             16.0 |           238.698 |    0.1386 |   633760.0 |   9.0 |  14.0 |
          20.0 |             16.0 |           217.146 | 0.0004732 |   592180.0 |   8.0 |  14.0 |
          20.0 |             16.0 |           128.282 |  0.001274 |   282500.0 |   4.0 |  15.0 |
          20.0 |             16.0 |           171.641 |   0.08452 |   479420.0 |   6.0 |  15.0 |
          20.0 |             16.0 |           240.171 |    0.6108 |   645660.0 |  10.0 |  15.0 |
          20.0 |             16.0 |           125.938 | 1.665e-05 |   267990.0 |   3.0 |  15.0 |
          20.0 |             16.0 |           233.498 |  0.002934 |   633760.0 |   9.0 |  15.0 |
          20.0 |             16.0 |           131.366 |  0.000699 |   300800.0 |   5.0 |  15.0 |
          20.0 |             16.0 |           212.834 |    0.1887 |   592180.0 |   8.0 |  15.0 |
          20.0 |             16.0 |           172.363 |     0.355 |   481860.0 |   7.0 |  15.0 |
          20.0 |             16.0 |           25.5016 |       0.0 |   479420.0 |   6.0 |  16.0 |
          20.0 |             16.0 |            22.708 |   0.04033 |        0.0 |   1.0 |  16.0 |
          20.0 |             16.0 |             29.92 | 2.947e-06 |  1052700.0 |  14.0 |  16.0 |
          20.0 |             16.0 |           22.8961 |   0.08687 |    36520.0 |   2.0 |  16.0 |
          20.0 |             16.0 |            25.521 |       0.0 |   481860.0 |   7.0 |  16.0 |
          20.0 |             16.0 |           30.0083 | 9.338e-06 |  1062030.0 |  15.0 |  16.0 |
          20.0 |             16.0 |           23.4941 |  5.11e-05 |   282500.0 |   4.0 |  17.0 |
