 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          20.0 |             17.0 |           371.046 | 0.0004197 |        0.0 |   1.0 |   3.0 |
          20.0 |             17.0 |           336.781 | 1.181e-10 |        0.0 |   1.0 |   4.0 |
          20.0 |             17.0 |           3646.84 | 2.751e-06 |   269508.0 |   3.0 |   4.0 |
          20.0 |             17.0 |          2588.796 | 3.487e-11 |   258301.0 |   2.0 |   4.0 |
          20.0 |             17.0 |           192.853 |    0.1869 |        0.0 |   1.0 |   5.0 |
          20.0 |             17.0 |           586.266 | 0.0003585 |   518530.0 |   5.0 |   6.0 |
          20.0 |             17.0 |           238.326 |   0.06912 |   269508.0 |   3.0 |   6.0 |
          20.0 |             17.0 |           531.446 | 0.0001232 |   518530.0 |   5.0 |   7.0 |
          20.0 |             17.0 |           228.735 |   0.05364 |   269508.0 |   3.0 |   7.0 |
          20.0 |             17.0 |           223.018 |   0.07394 |   258301.0 |   2.0 |   7.0 |
          20.0 |             17.0 |           244.041 |   0.08365 |   296929.0 |   4.0 |   7.0 |
          20.0 |             17.0 |           480.917 |  0.008802 |   518530.0 |   5.0 |   8.0 |
          20.0 |             17.0 |           218.838 |   0.09456 |   269508.0 |   3.0 |   8.0 |
          20.0 |             17.0 |           232.809 |    0.2453 |   296929.0 |   4.0 |   8.0 |
          20.0 |             17.0 |           357.788 |    0.2101 |   518530.0 |   5.0 |   9.0 |
          20.0 |             17.0 |           189.209 |  0.001669 |   269508.0 |   3.0 |   9.0 |
          20.0 |             17.0 |           199.563 |   0.02263 |   296929.0 |   4.0 |   9.0 |
          20.0 |             17.0 |           222.869 |    0.1296 |   518530.0 |   5.0 |  10.0 |
          20.0 |             17.0 |           143.325 | 0.0001238 |   269508.0 |   3.0 |  10.0 |
          20.0 |             17.0 |            22.386 | 0.0004587 |   518530.0 |   5.0 |  11.0 |
          20.0 |             17.0 |            21.204 |   0.08457 |   269508.0 |   3.0 |  11.0 |
          20.0 |             17.0 |            21.154 |   0.02803 |   258301.0 |   2.0 |  11.0 |
          20.0 |             17.0 |            21.328 |    0.1436 |   296929.0 |   4.0 |  11.0 |
          20.0 |             17.0 |             22.16 |   0.03012 |   518530.0 |   5.0 |  12.0 |
          20.0 |             17.0 |            23.635 | 3.837e-06 |   798025.0 |   9.0 |  12.0 |
          20.0 |             17.0 |             20.97 | 5.088e-05 |   269508.0 |   3.0 |  12.0 |
          20.0 |             17.0 |            23.221 | 3.538e-07 |   726466.0 |   8.0 |  12.0 |
          20.0 |             17.0 |            23.175 |   0.01471 |   798025.0 |   9.0 |  13.0 |
          20.0 |             17.0 |           784.942 |   0.07083 |  4985599.0 |  11.0 |  13.0 |
          20.0 |             17.0 |            21.765 |  5.64e-05 |   518530.0 |   5.0 |  13.0 |
          20.0 |             17.0 |            19.558 |    0.3775 |        0.0 |   1.0 |  13.0 |
          20.0 |             17.0 |            24.121 |  0.001052 |   967224.0 |  10.0 |  13.0 |
          20.0 |             17.0 |            20.646 | 1.542e-05 |   269508.0 |   3.0 |  13.0 |
          20.0 |             17.0 |            22.695 | 0.0005022 |   706696.0 |   7.0 |  13.0 |
          20.0 |             17.0 |            22.605 | 0.0005083 |   689101.0 |   6.0 |  13.0 |
