 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          20.0 |              2.0 |          7325.905 |       0.0 |        0.0 |  1.0 |  2.0 |
          20.0 |              2.0 |          7293.478 |       0.0 |        0.0 |  1.0 |  3.0 |
          20.0 |              2.0 |          3969.591 |    0.6393 |        0.0 |  1.0 |  4.0 |
          20.0 |              2.0 |           8664.52 |    0.2115 |   13650.19 |  2.0 |  4.0 |
          20.0 |              2.0 |          3934.777 |     1.291 |        0.0 |  1.0 |  5.0 |
          20.0 |              2.0 |          8500.358 |    0.0431 |   13650.19 |  2.0 |  5.0 |
          20.0 |              2.0 |          8544.438 |    0.3873 |   13710.88 |  3.0 |  5.0 |
          20.0 |              2.0 |          3707.079 |    0.3484 |   25191.51 |  4.0 |  6.0 |
          20.0 |              2.0 |          3737.964 |    0.7068 |    25414.4 |  5.0 |  6.0 |
          20.0 |              2.0 |          3159.783 |     1.707 |   25191.51 |  4.0 |  7.0 |
          20.0 |              2.0 |          3182.195 |    0.3437 |    25414.4 |  5.0 |  7.0 |
          20.0 |              2.0 |          3180.251 |      3.09 |    25414.4 |  5.0 |  8.0 |
          20.0 |              2.0 |          1651.991 | 0.0008429 |        0.0 |  1.0 |  9.0 |
          20.0 |              2.0 |          2132.977 |  0.001591 |   13650.19 |  2.0 |  9.0 |
          20.0 |              2.0 |          2847.492 |       0.0 |    25414.4 |  5.0 |  9.0 |
          20.0 |              2.0 |         11953.015 |    0.9939 |   52166.93 |  6.0 |  9.0 |
          20.0 |              2.0 |         27072.611 |    0.6545 |   56839.25 |  7.0 |  9.0 |
          20.0 |              2.0 |          1649.858 |  0.001184 |        0.0 |  1.0 | 10.0 |
          20.0 |              2.0 |          2129.422 | 0.0003742 |   13650.19 |  2.0 | 10.0 |
          20.0 |              2.0 |          2132.178 |   0.00322 |   13710.88 |  3.0 | 10.0 |
          20.0 |              2.0 |         11842.238 |     2.002 |   52166.93 |  6.0 | 10.0 |
          20.0 |              2.0 |         26510.924 |    0.1331 |   56839.25 |  7.0 | 10.0 |
          20.0 |              2.0 |         26646.629 |     1.194 |   56858.46 |  8.0 | 10.0 |
          20.0 |              2.0 |          1838.008 |    0.6239 |   13650.19 |  2.0 | 11.0 |
          20.0 |              2.0 |          1840.061 |   0.04477 |   13710.88 |  3.0 | 11.0 |
          20.0 |              2.0 |          8914.515 |     4.523 |   56839.25 |  7.0 | 11.0 |
          20.0 |              2.0 |          8929.807 |    0.3227 |   56858.46 |  8.0 | 11.0 |
          20.0 |              2.0 |          1840.027 |    0.8954 |   13710.88 |  3.0 | 12.0 |
          20.0 |              2.0 |           8929.01 |     6.454 |   56858.46 |  8.0 | 12.0 |
          20.0 |              2.0 |          2198.473 |   0.04691 |   25191.51 |  4.0 | 13.0 |
          20.0 |              2.0 |          2209.299 |   0.09425 |    25414.4 |  5.0 | 13.0 |
          20.0 |              2.0 |          9857.461 |    0.5819 |   60533.02 |  9.0 | 13.0 |
          20.0 |              2.0 |          9934.097 |     1.176 |   60611.28 | 10.0 | 13.0 |
          20.0 |              2.0 |          2103.902 |     0.227 |   25191.51 |  4.0 | 14.0 |
          20.0 |              2.0 |          2113.815 |   0.04507 |    25414.4 |  5.0 | 14.0 |
          20.0 |              2.0 |          8203.977 |     1.956 |   60533.02 |  9.0 | 14.0 |
          20.0 |              2.0 |          8256.991 |    0.3947 |   60611.28 | 10.0 | 14.0 |
          20.0 |              2.0 |         21434.758 |    0.9757 |   68056.91 | 11.0 | 14.0 |
          20.0 |              2.0 |          2113.426 |    0.4066 |    25414.4 |  5.0 | 15.0 |
          20.0 |              2.0 |          8251.063 |     3.548 |   60611.28 | 10.0 | 15.0 |
          20.0 |              2.0 |          21394.86 |   0.06967 |   68056.91 | 11.0 | 15.0 |
          20.0 |              2.0 |         21399.438 |     1.394 |   68057.91 | 12.0 | 15.0 |
          20.0 |              2.0 |          1342.554 |  0.001121 |        0.0 |  1.0 | 16.0 |
          20.0 |              2.0 |          1643.798 |  0.001289 |   13650.19 |  2.0 | 16.0 |
          20.0 |              2.0 |          2037.883 |       0.0 |    25414.4 |  5.0 | 16.0 |
          20.0 |              2.0 |           4480.69 | 0.0006423 |   52166.93 |  6.0 | 16.0 |
          20.0 |              2.0 |          5667.113 |       0.0 |   56839.25 |  7.0 | 16.0 |
          20.0 |              2.0 |         26265.332 |     1.283 |   70677.62 | 13.0 | 16.0 |
          20.0 |              2.0 |          56731.47 |     1.075 |   72722.23 | 14.0 | 16.0 |
          20.0 |              2.0 |           1341.89 |  0.001936 |        0.0 |  1.0 | 17.0 |
          20.0 |              2.0 |          1642.803 | 0.0002889 |   13650.19 |  2.0 | 17.0 |
          20.0 |              2.0 |          1644.443 |  0.002488 |   13710.88 |  3.0 | 17.0 |
          20.0 |              2.0 |          4473.308 |  0.001843 |   52166.93 |  6.0 | 17.0 |
          20.0 |              2.0 |          5661.459 |       0.0 |   56858.46 |  8.0 | 17.0 |
          20.0 |              2.0 |         26013.688 |     2.582 |   70677.62 | 13.0 | 17.0 |
          20.0 |              2.0 |          55570.37 |    0.2185 |   72722.23 | 14.0 | 17.0 |
          20.0 |              2.0 |          55840.34 |      1.96 |   72730.93 | 15.0 | 17.0 |
          20.0 |              2.0 |          1553.176 |     0.278 |   13650.19 |  2.0 | 18.0 |
          20.0 |              2.0 |          1554.642 |   0.01994 |   13710.88 |  3.0 | 18.0 |
          20.0 |              2.0 |          4718.063 |       0.0 |   56839.25 |  7.0 | 18.0 |
          20.0 |              2.0 |          4722.343 |       0.0 |   56858.46 |  8.0 | 18.0 |
          20.0 |              2.0 |         18824.734 |      6.21 |   72722.23 | 14.0 | 18.0 |
          20.0 |              2.0 |         18855.615 |    0.4433 |   72730.93 | 15.0 | 18.0 |
          20.0 |              2.0 |          1554.617 |    0.3989 |   13710.88 |  3.0 | 19.0 |
          20.0 |              2.0 |           4722.12 |       0.0 |   56858.46 |  8.0 | 19.0 |
          20.0 |              2.0 |          18852.06 |     8.862 |   72730.93 | 15.0 | 19.0 |
          20.0 |              2.0 |           9893.34 |      7.86 |   68056.91 | 11.0 | 20.0 |
          20.0 |              2.0 |          9894.319 |    0.2912 |   68057.91 | 12.0 | 20.0 |
          20.0 |              2.0 |          1843.088 |    0.0289 |   25191.51 |  4.0 | 22.0 |
          20.0 |              2.0 |          1850.691 |   0.05264 |    25414.4 |  5.0 | 22.0 |
          20.0 |              2.0 |          5286.737 |   0.08708 |   60533.02 |  9.0 | 22.0 |
          20.0 |              2.0 |          5308.701 |    0.1661 |   60611.28 | 10.0 | 22.0 |
          20.0 |              2.0 |         20147.643 |    0.8622 |   74484.92 | 16.0 | 22.0 |
          20.0 |              2.0 |         20298.264 |     1.714 |   74521.75 | 17.0 | 22.0 |
          20.0 |              2.0 |          1807.337 |     0.108 |   25191.51 |  4.0 | 23.0 |
          20.0 |              2.0 |          1814.647 |   0.01998 |    25414.4 |  5.0 | 23.0 |
          20.0 |              2.0 |          5002.874 |    0.3538 |   60533.02 |  9.0 | 23.0 |
          20.0 |              2.0 |          5022.539 |   0.06826 |   60611.28 | 10.0 | 23.0 |
          20.0 |              2.0 |          8022.707 |   0.04489 |   68056.91 | 11.0 | 23.0 |
          20.0 |              2.0 |          16565.59 |     2.311 |   74484.92 | 16.0 | 23.0 |
          20.0 |              2.0 |         16667.277 |    0.4603 |   74521.75 | 17.0 | 23.0 |
          20.0 |              2.0 |         40206.824 |     1.995 |   78034.39 | 18.0 | 23.0 |
          20.0 |              2.0 |          1814.495 |    0.1804 |    25414.4 |  5.0 | 24.0 |
          20.0 |              2.0 |          5021.371 |    0.6151 |   60611.28 | 10.0 | 24.0 |
          20.0 |              2.0 |          8019.729 |       0.0 |   68056.91 | 11.0 | 24.0 |
          20.0 |              2.0 |          8020.372 |    0.0644 |   68057.91 | 12.0 | 24.0 |
          20.0 |              2.0 |         16654.426 |     4.137 |   74521.75 | 17.0 | 24.0 |
          20.0 |              2.0 |         40132.113 |       0.0 |   78034.39 | 18.0 | 24.0 |
          20.0 |              2.0 |         40148.227 |     2.854 |   78035.39 | 19.0 | 24.0 |
          20.0 |              2.0 |          1433.749 |    0.1515 |   13710.88 |  3.0 | 25.0 |
          20.0 |              2.0 |          3759.452 |    0.0118 |   56858.46 |  8.0 | 25.0 |
          20.0 |              2.0 |          9322.141 |   0.09764 |   72730.93 | 15.0 | 25.0 |
          20.0 |              2.0 |         18891.592 |       0.0 |   78164.72 | 20.0 | 25.0 |
          20.0 |              2.0 |         18895.162 |     0.073 |   78165.72 | 21.0 | 25.0 |
          20.0 |              2.0 |         34107.344 |     8.047 |   80526.16 | 24.0 | 25.0 |
          20.0 |              2.0 |          1432.482 |    0.1875 |   13650.19 |  2.0 | 26.0 |
          20.0 |              2.0 |          1433.729 |   0.01346 |   13710.88 |  3.0 | 26.0 |
          20.0 |              2.0 |          3756.598 |   0.01429 |   56839.25 |  7.0 | 26.0 |
          20.0 |              2.0 |          3759.311 |       0.0 |   56858.46 |  8.0 | 26.0 |
          20.0 |              2.0 |          9313.719 |    0.1231 |   72722.23 | 14.0 | 26.0 |
          20.0 |              2.0 |          9321.272 |       0.0 |   72730.93 | 15.0 | 26.0 |
          20.0 |              2.0 |         18888.023 |       0.1 |   78164.72 | 20.0 | 26.0 |
          20.0 |              2.0 |         34041.973 |     10.01 |   80521.53 | 23.0 | 26.0 |
          20.0 |              2.0 |         34095.715 |    0.7149 |   80526.16 | 24.0 | 26.0 |
          20.0 |              2.0 |          6458.659 |     1.113 |   68056.91 | 11.0 | 27.0 |
          20.0 |              2.0 |          6459.076 |   0.04122 |   68057.91 | 12.0 | 27.0 |
          20.0 |              2.0 |         18163.293 |     6.762 |   78034.39 | 18.0 | 27.0 |
          20.0 |              2.0 |         18166.592 |    0.2506 |   78035.39 | 19.0 | 27.0 |
          20.0 |              2.0 |          1691.779 |   0.01037 |   25191.51 |  4.0 | 29.0 |
          20.0 |              2.0 |          1698.182 |   0.01974 |    25414.4 |  5.0 | 29.0 |
          20.0 |              2.0 |          4207.361 |   0.02608 |   60533.02 |  9.0 | 29.0 |
          20.0 |              2.0 |           4221.26 |   0.05104 |   60611.28 | 10.0 | 29.0 |
          20.0 |              2.0 |          10187.48 |   0.09193 |   74484.92 | 16.0 | 29.0 |
          20.0 |              2.0 |         10225.848 |    0.1837 |   74521.75 | 17.0 | 29.0 |
          20.0 |              2.0 |           1673.86 |   0.04033 |   25191.51 |  4.0 | 30.0 |
          20.0 |              2.0 |          1680.129 |  0.007677 |    25414.4 |  5.0 | 30.0 |
          20.0 |              2.0 |          4098.255 |    0.1126 |   60533.02 |  9.0 | 30.0 |
          20.0 |              2.0 |          4111.441 |   0.02206 |   60611.28 | 10.0 | 30.0 |
          20.0 |              2.0 |          5925.315 |    0.0127 |   68056.91 | 11.0 | 30.0 |
          20.0 |              2.0 |          9570.541 |    0.3586 |   74484.92 | 16.0 | 30.0 |
          20.0 |              2.0 |          9604.395 |   0.07169 |   74521.75 | 17.0 | 30.0 |
          20.0 |              2.0 |         14494.308 |   0.09463 |   78034.39 | 18.0 | 30.0 |
          20.0 |              2.0 |          67816.38 |     3.012 |   83459.08 | 26.0 | 30.0 |
          20.0 |              2.0 |          1680.051 |   0.06944 |    25414.4 |  5.0 | 31.0 |
          20.0 |              2.0 |          4110.975 |    0.1992 |   60611.28 | 10.0 | 31.0 |
          20.0 |              2.0 |          5924.346 |       0.0 |   68056.91 | 11.0 | 31.0 |
          20.0 |              2.0 |          5924.697 |   0.01824 |   68057.91 | 12.0 | 31.0 |
          20.0 |              2.0 |           9601.85 |    0.6461 |   74521.75 | 17.0 | 31.0 |
          20.0 |              2.0 |         14488.512 |       0.0 |   78034.39 | 18.0 | 31.0 |
          20.0 |              2.0 |         14490.612 |    0.1358 |   78035.39 | 19.0 | 31.0 |
          20.0 |              2.0 |           67643.9 |     4.301 |   83458.08 | 25.0 | 31.0 |
          20.0 |              2.0 |          67689.68 |       0.0 |   83459.08 | 26.0 | 31.0 |
          20.0 |              2.0 |          1368.422 |   0.07274 |   13650.19 |  2.0 | 32.0 |
          20.0 |              2.0 |          1369.559 |  0.005242 |   13710.88 |  3.0 | 32.0 |
          20.0 |              2.0 |          3345.846 |   0.01056 |   56839.25 |  7.0 | 32.0 |
          20.0 |              2.0 |          3347.998 |       0.0 |   56858.46 |  8.0 | 32.0 |
          20.0 |              2.0 |          7140.394 |  0.005073 |   72722.23 | 14.0 | 32.0 |
          20.0 |              2.0 |          7144.832 |       0.0 |   72730.93 | 15.0 | 32.0 |
          20.0 |              2.0 |          11679.05 |       0.0 |   78164.72 | 20.0 | 32.0 |
          20.0 |              2.0 |         16114.659 |    0.2166 |   80521.53 | 23.0 | 32.0 |
          20.0 |              2.0 |         16126.691 |       0.0 |   80526.16 | 24.0 | 32.0 |
          20.0 |              2.0 |          31376.88 |    0.1994 |    83540.0 | 27.0 | 32.0 |
          20.0 |              2.0 |           55759.7 |     8.684 |   84933.65 | 30.0 | 32.0 |
          20.0 |              2.0 |          55845.64 |      0.62 |   84936.41 | 31.0 | 32.0 |
          20.0 |              2.0 |          1369.541 |    0.1049 |   13710.88 |  3.0 | 33.0 |
          20.0 |              2.0 |          3347.885 |   0.01549 |   56858.46 |  8.0 | 33.0 |
          20.0 |              2.0 |          7144.322 |  0.006924 |   72730.93 | 15.0 | 33.0 |
          20.0 |              2.0 |         11677.687 |       0.0 |   78164.72 | 20.0 | 33.0 |
          20.0 |              2.0 |         16124.091 |    0.3067 |   80526.16 | 24.0 | 33.0 |
          20.0 |              2.0 |         31367.037 |       0.0 |    83540.0 | 27.0 | 33.0 |
          20.0 |              2.0 |          55814.47 |     12.39 |   84936.41 | 31.0 | 33.0 |
          20.0 |              2.0 |           1367.41 |       0.0 |   13650.19 |  2.0 | 34.0 |
          20.0 |              2.0 |          5340.674 |    0.3619 |   68056.91 | 11.0 | 34.0 |
          20.0 |              2.0 |          5340.959 |    0.0134 |   68057.91 | 12.0 | 34.0 |
          20.0 |              2.0 |         11432.818 |     1.374 |   78034.39 | 18.0 | 34.0 |
          20.0 |              2.0 |         11434.125 |   0.05092 |   78035.39 | 19.0 | 34.0 |
          20.0 |              2.0 |         30092.746 |    0.2297 |   83458.08 | 25.0 | 34.0 |
          20.0 |              2.0 |         30101.805 |     6.207 |   83459.08 | 26.0 | 34.0 |
          20.0 |              2.0 |          1368.527 |       0.0 |   13710.88 |  3.0 | 35.0 |
          20.0 |              2.0 |         30083.693 |     8.037 |   83458.08 | 25.0 | 35.0 |
          20.0 |              2.0 |          1140.616 |       0.0 |        0.0 |  1.0 | 36.0 |
          20.0 |              2.0 |          1350.954 |       0.0 |   13650.19 |  2.0 | 36.0 |
          20.0 |              2.0 |          1352.063 |       0.0 |   13710.88 |  3.0 | 36.0 |
          20.0 |              2.0 |          1600.501 |   0.02069 |   25191.51 |  4.0 | 36.0 |
          20.0 |              2.0 |          1606.231 |  0.003972 |    25414.4 |  5.0 | 36.0 |
          20.0 |              2.0 |          3684.746 |   0.05202 |   60533.02 |  9.0 | 36.0 |
          20.0 |              2.0 |          3695.403 |   0.01024 |   60611.28 | 10.0 | 36.0 |
          20.0 |              2.0 |          5098.134 |  0.005627 |   68056.91 | 11.0 | 36.0 |
          20.0 |              2.0 |           7583.22 |    0.1268 |   74484.92 | 16.0 | 36.0 |
          20.0 |              2.0 |          7604.459 |   0.02538 |   74521.75 | 17.0 | 36.0 |
          20.0 |              2.0 |         10376.092 |   0.02718 |   78034.39 | 18.0 | 36.0 |
          20.0 |              2.0 |           23736.9 |    0.1418 |   83459.08 | 26.0 | 36.0 |
          20.0 |              2.0 |         105834.67 |       4.0 |   86727.06 | 32.0 | 36.0 |
          20.0 |              2.0 |          1140.593 |       0.0 |        0.0 |  1.0 | 37.0 |
          20.0 |              2.0 |          1350.922 |       0.0 |   13650.19 |  2.0 | 37.0 |
          20.0 |              2.0 |           1352.03 |       0.0 |   13710.88 |  3.0 | 37.0 |
          20.0 |              2.0 |          1606.185 |   0.03599 |    25414.4 |  5.0 | 37.0 |
          20.0 |              2.0 |          3695.158 |   0.09257 |   60611.28 | 10.0 | 37.0 |
          20.0 |              2.0 |          5097.669 |       0.0 |   68056.91 | 11.0 | 37.0 |
          20.0 |              2.0 |          5097.929 |  0.008087 |   68057.91 | 12.0 | 37.0 |
          20.0 |              2.0 |          7603.424 |    0.2292 |   74521.75 | 17.0 | 37.0 |
          20.0 |              2.0 |         10374.165 |       0.0 |   78034.39 | 18.0 | 37.0 |
          20.0 |              2.0 |         10375.241 |   0.03904 |   78035.39 | 19.0 | 37.0 |
          20.0 |              2.0 |         23721.191 |    0.2035 |   83458.08 | 25.0 | 37.0 |
          20.0 |              2.0 |         23726.818 |       0.0 |   83459.08 | 26.0 | 37.0 |
          20.0 |              2.0 |         105634.55 |       0.0 |   86727.06 | 32.0 | 37.0 |
          20.0 |              2.0 |         105746.25 |     5.731 |   86728.06 | 33.0 | 37.0 |
          20.0 |              2.0 |          1329.838 |  0.004811 |   13650.19 |  2.0 | 38.0 |
          20.0 |              2.0 |          1330.912 | 0.0003878 |   13710.88 |  3.0 | 38.0 |
          20.0 |              2.0 |          1570.949 |       0.0 |   25191.51 |  4.0 | 38.0 |
          20.0 |              2.0 |          3124.213 |       0.0 |   56839.25 |  7.0 | 38.0 |
          20.0 |              2.0 |          3126.089 |       0.0 |   56858.46 |  8.0 | 38.0 |
          20.0 |              2.0 |           6201.52 |  0.004089 |   72722.23 | 14.0 | 38.0 |
          20.0 |              2.0 |          6204.867 |       0.0 |   72730.93 | 15.0 | 38.0 |
          20.0 |              2.0 |          9361.026 |       0.0 |   78164.72 | 20.0 | 38.0 |
          20.0 |              2.0 |         12010.887 |   0.04713 |   80521.53 | 23.0 | 38.0 |
          20.0 |              2.0 |          12017.57 |       0.0 |   80526.16 | 24.0 | 38.0 |
          20.0 |              2.0 |         18841.938 |   0.03408 |    83540.0 | 27.0 | 38.0 |
          20.0 |              2.0 |          25551.53 |    0.3735 |   84933.65 | 30.0 | 38.0 |
          20.0 |              2.0 |         25569.562 |       0.0 |   84936.41 | 31.0 | 38.0 |
          20.0 |              2.0 |         48398.727 |    0.3574 |   86781.14 | 34.0 | 38.0 |
          20.0 |              2.0 |          85078.87 |     9.962 |   87671.93 | 36.0 | 38.0 |
          20.0 |              2.0 |          85208.63 |    0.7106 |   87673.72 | 37.0 | 38.0 |
          20.0 |              2.0 |          1330.895 |  0.007759 |   13710.88 |  3.0 | 39.0 |
          20.0 |              2.0 |          1576.444 |       0.0 |    25414.4 |  5.0 | 39.0 |
          20.0 |              2.0 |          3125.992 |       0.0 |   56858.46 |  8.0 | 39.0 |
          20.0 |              2.0 |          6204.482 |  0.005291 |   72730.93 | 15.0 | 39.0 |
          20.0 |              2.0 |           9360.15 |       0.0 |   78164.72 | 20.0 | 39.0 |
          20.0 |              2.0 |         12016.126 |   0.06529 |   80526.16 | 24.0 | 39.0 |
          20.0 |              2.0 |         18838.387 |       0.0 |    83540.0 | 27.0 | 39.0 |
          20.0 |              2.0 |         25563.025 |    0.5266 |   84936.41 | 31.0 | 39.0 |
          20.0 |              2.0 |         48375.316 |       0.0 |   86781.14 | 34.0 | 39.0 |
          20.0 |              2.0 |          85136.09 |     14.19 |   87673.72 | 37.0 | 39.0 |
          20.0 |              2.0 |           1329.18 |       0.0 |   13650.19 |  2.0 | 40.0 |
          20.0 |              2.0 |          1330.253 |       0.0 |   13710.88 |  3.0 | 40.0 |
          20.0 |              2.0 |          4801.314 |    0.1654 |   68056.91 | 11.0 | 40.0 |
          20.0 |              2.0 |          4801.545 |  0.006125 |   68057.91 | 12.0 | 40.0 |
          20.0 |              2.0 |          9216.462 |    0.5177 |   78034.39 | 18.0 | 40.0 |
          20.0 |              2.0 |          9217.312 |   0.01918 |   78035.39 | 19.0 | 40.0 |
          20.0 |              2.0 |          18428.22 |    0.0536 |   83458.08 | 25.0 | 40.0 |
          20.0 |              2.0 |         18431.617 |     1.447 |   83459.08 | 26.0 | 40.0 |
          20.0 |              2.0 |          46350.37 |     5.908 |   86727.06 | 32.0 | 40.0 |
          20.0 |              2.0 |         46371.863 |       0.0 |   86728.06 | 33.0 | 40.0 |
          20.0 |              2.0 |          1330.235 |       0.0 |   13710.88 |  3.0 | 41.0 |
          20.0 |              2.0 |         18424.824 |     1.875 |   83458.08 | 25.0 | 41.0 |
%CHIANTI
