 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |   i |   j |
          20.0 |              5.0 |          41585.23 |      0.0 |        0.0 | 1.0 | 2.0 |
          20.0 |              5.0 |         30528.758 |      0.0 |        0.0 | 1.0 | 3.0 |
          20.0 |              5.0 |         114823.75 |      0.0 |     2404.7 | 2.0 | 3.0 |
          20.0 |              5.0 |           5310.59 |      0.0 |        0.0 | 1.0 | 4.0 |
          20.0 |              5.0 |          6088.058 |      0.0 |     2404.7 | 2.0 | 4.0 |
          20.0 |              5.0 |          6428.925 |      0.0 |     3275.6 | 3.0 | 4.0 |
          20.0 |              5.0 |          2281.204 |      0.0 |        0.0 | 1.0 | 5.0 |
          20.0 |              5.0 |          2413.605 |      0.0 |     2404.7 | 2.0 | 5.0 |
          20.0 |              5.0 |          3999.008 |      0.0 |    18830.3 | 4.0 | 5.0 |
%CHIANTI
