 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          20.0 |              7.0 |          61542.25 |       0.0 |        0.0 |  1.0 |  2.0 |
          20.0 |              7.0 |         24561.576 |       0.0 |        0.0 |  1.0 |  3.0 |
          20.0 |              7.0 |          40874.72 |       0.0 |     1624.9 |  2.0 |  3.0 |
          20.0 |              7.0 |          4573.729 |       0.0 |        0.0 |  1.0 |  4.0 |
          20.0 |              7.0 |          4940.931 |       0.0 |     1624.9 |  2.0 |  4.0 |
          20.0 |              7.0 |          5620.314 |       0.0 |     4071.4 |  3.0 |  4.0 |
          20.0 |              7.0 |          2111.643 |       0.0 |     1624.9 |  2.0 |  5.0 |
          20.0 |              7.0 |          2226.676 |       0.0 |     4071.4 |  3.0 |  5.0 |
          20.0 |              7.0 |          3687.669 |       0.0 |    21864.0 |  4.0 |  5.0 |
          20.0 |              7.0 |           924.574 | 0.0001042 |     1624.9 |  2.0 |  6.0 |
          20.0 |              7.0 |           947.029 |  0.000261 |     4071.4 |  3.0 |  6.0 |
          20.0 |              7.0 |          1170.005 |   9.2e-07 |    21864.0 |  4.0 |  6.0 |
          20.0 |              7.0 |           624.385 |   0.05425 |        0.0 |  1.0 |  7.0 |
          20.0 |              7.0 |           630.785 |   0.02892 |     1624.9 |  2.0 |  7.0 |
          20.0 |              7.0 |           640.672 |  0.001076 |     4071.4 |  3.0 |  7.0 |
          20.0 |              7.0 |             723.1 |  0.000337 |    21864.0 |  4.0 |  7.0 |
          20.0 |              7.0 |           899.474 | 4.061e-05 |    48981.4 |  5.0 |  7.0 |
          20.0 |              7.0 |           630.535 |      0.12 |     1624.9 |  2.0 |  8.0 |
          20.0 |              7.0 |           640.414 |   0.01989 |     4071.4 |  3.0 |  8.0 |
          20.0 |              7.0 |           722.772 | 0.0002068 |    21864.0 |  4.0 |  8.0 |
          20.0 |              7.0 |            639.15 |    0.1909 |     4071.4 |  3.0 |  9.0 |
          20.0 |              7.0 |           721.161 |  0.001814 |    21864.0 |  4.0 |  9.0 |
          20.0 |              7.0 |           544.568 |   0.06706 |     1624.9 |  2.0 | 10.0 |
          20.0 |              7.0 |           539.395 |   0.06449 |        0.0 |  1.0 | 11.0 |
          20.0 |              7.0 |           544.164 |   0.06385 |     1624.9 |  2.0 | 11.0 |
          20.0 |              7.0 |           551.507 |   0.07023 |     4071.4 |  3.0 | 11.0 |
          20.0 |              7.0 |           611.513 | 0.0006148 |    21864.0 |  4.0 | 11.0 |
          20.0 |              7.0 |           733.076 | 0.0003274 |    48981.4 |  5.0 | 11.0 |
          20.0 |              7.0 |           544.107 |   0.06502 |     1624.9 |  2.0 | 12.0 |
          20.0 |              7.0 |           551.448 |    0.2583 |     4071.4 |  3.0 | 12.0 |
          20.0 |              7.0 |           611.441 | 0.0003046 |    21864.0 |  4.0 | 12.0 |
          20.0 |              7.0 |           495.071 |  0.001014 |     1624.9 |  2.0 | 13.0 |
          20.0 |              7.0 |           501.141 | 0.0003561 |     4071.4 |  3.0 | 13.0 |
          20.0 |              7.0 |             550.2 |    0.4143 |    21864.0 |  4.0 | 13.0 |
          20.0 |              7.0 |           400.651 | 0.0009398 |     1624.9 |  2.0 | 14.0 |
          20.0 |              7.0 |           404.811 | 0.0005041 |     4071.4 |  3.0 | 14.0 |
          20.0 |              7.0 |           440.712 |  0.002857 |    21864.0 |  4.0 | 14.0 |
          20.0 |              7.0 |           402.324 |  0.002945 |     4071.4 |  3.0 | 15.0 |
          20.0 |              7.0 |           437.766 | 0.0009045 |    21864.0 |  4.0 | 15.0 |
          20.0 |              7.0 |             398.9 |       0.0 |     4071.4 |  3.0 | 16.0 |
          20.0 |              7.0 |           433.716 |       0.0 |    21864.0 |  4.0 | 16.0 |
          20.0 |              7.0 |             689.2 |       0.0 |  109858.32 |  6.0 | 16.0 |
          20.0 |              7.0 |          1043.698 |       0.0 |   160220.3 |  8.0 | 16.0 |
          20.0 |              7.0 |          1047.264 |       0.0 |   160529.2 |  9.0 | 16.0 |
          20.0 |              7.0 |          1440.301 |       0.0 |   185412.2 | 12.0 | 16.0 |
          20.0 |              7.0 |          1998.527 |       0.0 |   203616.1 | 13.0 | 16.0 |
          20.0 |              7.0 |         46881.973 |       0.0 |  252821.08 | 15.0 | 16.0 |
          20.0 |              7.0 |           396.055 |   0.01052 |        0.0 |  1.0 | 17.0 |
          20.0 |              7.0 |           398.621 |   0.05283 |     1624.9 |  2.0 | 17.0 |
          20.0 |              7.0 |           402.546 |   0.02836 |     4071.4 |  3.0 | 17.0 |
          20.0 |              7.0 |           433.603 |     1.244 |    21864.0 |  4.0 | 17.0 |
          20.0 |              7.0 |            491.38 |    0.1741 |    48981.4 |  5.0 | 17.0 |
          20.0 |              7.0 |           407.763 |    0.2608 |        0.0 |  1.0 | 18.0 |
          20.0 |              7.0 |           410.483 |    0.7519 |     1624.9 |  2.0 | 18.0 |
          20.0 |              7.0 |           414.647 |     1.292 |     4071.4 |  3.0 | 18.0 |
          20.0 |              7.0 |           447.675 |   0.02888 |    21864.0 |  4.0 | 18.0 |
          20.0 |              7.0 |           509.531 |  0.005925 |    48981.4 |  5.0 | 18.0 |
          20.0 |              7.0 |           347.972 |    0.4577 |     1624.9 |  2.0 | 19.0 |
          20.0 |              7.0 |           347.029 |     0.682 |        0.0 |  1.0 | 20.0 |
          20.0 |              7.0 |           348.997 |    0.1811 |     1624.9 |  2.0 | 20.0 |
          20.0 |              7.0 |           352.003 |    0.5169 |     4071.4 |  3.0 | 20.0 |
          20.0 |              7.0 |           375.522 |  0.006659 |    21864.0 |  4.0 | 20.0 |
          20.0 |              7.0 |           418.098 | 0.0004458 |    48981.4 |  5.0 | 20.0 |
          20.0 |              7.0 |           351.371 |    0.9066 |     1624.9 |  2.0 | 21.0 |
          20.0 |              7.0 |           354.418 |      1.27 |     4071.4 |  3.0 | 21.0 |
          20.0 |              7.0 |           378.272 |    0.2428 |    21864.0 |  4.0 | 21.0 |
          20.0 |              7.0 |           338.856 |   0.09774 |     1624.9 |  2.0 | 22.0 |
          20.0 |              7.0 |           341.827 |   0.04539 |     4071.4 |  3.0 | 22.0 |
          20.0 |              7.0 |           367.077 |     3.204 |    21864.0 |  4.0 | 22.0 |
          20.0 |              7.0 |           338.825 |    0.8993 |        0.0 |  1.0 | 23.0 |
          20.0 |              7.0 |             340.7 |     1.002 |     1624.9 |  2.0 | 23.0 |
          20.0 |              7.0 |           343.564 |    0.1238 |     4071.4 |  3.0 | 23.0 |
          20.0 |              7.0 |           365.933 |  0.001722 |    21864.0 |  4.0 | 23.0 |
          20.0 |              7.0 |           406.245 | 0.0003258 |    48981.4 |  5.0 | 23.0 |
          20.0 |              7.0 |           339.966 |     2.105 |     1624.9 |  2.0 | 24.0 |
          20.0 |              7.0 |           342.817 |     1.253 |     4071.4 |  3.0 | 24.0 |
          20.0 |              7.0 |           365.086 |  0.007047 |    21864.0 |  4.0 | 24.0 |
          20.0 |              7.0 |           342.395 |     4.706 |     4071.4 |  3.0 | 25.0 |
          20.0 |              7.0 |           364.607 |    0.0181 |    21864.0 |  4.0 | 25.0 |
          20.0 |              7.0 |           311.707 |   0.02041 |     4071.4 |  3.0 | 26.0 |
          20.0 |              7.0 |            330.01 |     4.795 |    21864.0 |  4.0 | 26.0 |
          20.0 |              7.0 |           299.849 |  0.001655 |        0.0 |  1.0 | 27.0 |
          20.0 |              7.0 |           301.317 | 0.0006071 |     1624.9 |  2.0 | 27.0 |
          20.0 |              7.0 |           303.555 | 1.676e-05 |     4071.4 |  3.0 | 27.0 |
          20.0 |              7.0 |           320.886 |  0.001811 |    21864.0 |  4.0 | 27.0 |
          20.0 |              7.0 |            351.47 |     1.778 |    48981.4 |  5.0 | 27.0 |
%CHIANTI
