 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          20.0 |             11.0 |           35.6763 |       0.0 |        0.0 |   1.0 |   2.0 |
          20.0 |             11.0 |           35.5757 |   0.09033 |        0.0 |   1.0 |   3.0 |
          20.0 |             11.0 |          3376.325 |       0.0 |  2802981.0 |   2.0 |   4.0 |
          20.0 |             11.0 |          4786.521 |       0.0 |  2810908.0 |   3.0 |   4.0 |
          20.0 |             11.0 |           35.2124 |    0.1502 |        0.0 |   1.0 |   5.0 |
          20.0 |             11.0 |           817.661 |    0.0112 |  2831800.0 |   4.0 |   6.0 |
          20.0 |             11.0 |           877.055 |  0.009014 |  2839908.0 |   5.0 |   6.0 |
          20.0 |             11.0 |            658.25 |     0.272 |  2802981.0 |   2.0 |   6.0 |
          20.0 |             11.0 |           699.829 |    0.0485 |  2810908.0 |   3.0 |   6.0 |
          20.0 |             11.0 |           33.6236 |       0.0 |        0.0 |   1.0 |   7.0 |
          20.0 |             11.0 |           745.201 |  0.001415 |  2839908.0 |   5.0 |   7.0 |
          20.0 |             11.0 |            563.31 |    0.3163 |  2802981.0 |   2.0 |   7.0 |
          20.0 |             11.0 |           612.775 |    0.4069 |  2810908.0 |   3.0 |   7.0 |
          20.0 |             11.0 |           562.981 |      1.04 |  2802981.0 |   2.0 |   8.0 |
          20.0 |             11.0 |           662.252 |   0.01711 |  2831800.0 |   4.0 |   9.0 |
          20.0 |             11.0 |           537.311 |   0.05809 |  2802981.0 |   2.0 |   9.0 |
          20.0 |             11.0 |           581.761 |      0.37 |  2810908.0 |   3.0 |   9.0 |
          20.0 |             11.0 |           33.4471 |       0.0 |        0.0 |   1.0 |  10.0 |
          20.0 |             11.0 |           667.147 |   0.04581 |  2839908.0 |   5.0 |  10.0 |
          20.0 |             11.0 |           519.281 |    0.4519 |  2802981.0 |   2.0 |  10.0 |
          20.0 |             11.0 |           558.996 |    0.3027 |  2810908.0 |   3.0 |  10.0 |
          20.0 |             11.0 |           650.618 |    0.2199 |  2831800.0 |   4.0 |  11.0 |
          20.0 |             11.0 |           686.851 |    0.2058 |  2839908.0 |   5.0 |  11.0 |
          20.0 |             11.0 |            483.66 |  0.002073 |  2802981.0 |   2.0 |  11.0 |
          20.0 |             11.0 |           572.764 |  0.006532 |  2810908.0 |   3.0 |  11.0 |
          20.0 |             11.0 |           500.939 |     0.126 |  2810908.0 |   3.0 |  12.0 |
          20.0 |             11.0 |           585.648 |    0.0389 |  2839908.0 |   5.0 |  12.0 |
          20.0 |             11.0 |           33.1499 |       0.0 |        0.0 |   1.0 |  13.0 |
          20.0 |             11.0 |           565.957 |    0.7002 |  2839908.0 |   5.0 |  13.0 |
          20.0 |             11.0 |           463.895 |   0.02898 |  2802981.0 |   2.0 |  13.0 |
          20.0 |             11.0 |           486.164 |   0.03515 |  2810908.0 |   3.0 |  13.0 |
          20.0 |             11.0 |           541.419 |    0.1972 |  2831800.0 |   4.0 |  14.0 |
          20.0 |             11.0 |           566.277 |    0.2095 |  2839908.0 |   5.0 |  14.0 |
          20.0 |             11.0 |           462.637 |   0.06451 |  2802981.0 |   2.0 |  14.0 |
          20.0 |             11.0 |             486.4 |  0.001274 |  2810908.0 |   3.0 |  14.0 |
          20.0 |             11.0 |           329.728 |    0.0836 |  2810908.0 |   3.0 |  15.0 |
          20.0 |             11.0 |           364.424 |    0.1957 |  2839908.0 |   5.0 |  15.0 |
          20.0 |             11.0 |           528.561 |  0.001866 |  2985500.0 |  11.0 |  16.0 |
          20.0 |             11.0 |           476.558 |   0.01788 |  2982800.0 |   9.0 |  16.0 |
          20.0 |             11.0 |           409.782 |    0.1557 |  2954899.0 |   6.0 |  16.0 |
