 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |    i |    j |
          20.0 |             14.0 |           943.585 |      0.0 |        0.0 |  1.0 |  2.0 |
          20.0 |             14.0 |           880.401 |      0.0 |        0.0 |  1.0 |  3.0 |
          20.0 |             14.0 |         13147.861 |      0.0 |   105978.8 |  2.0 |  3.0 |
          20.0 |             14.0 |           579.858 |      0.0 |        0.0 |  1.0 |  4.0 |
          20.0 |             14.0 |          1504.275 |      0.0 |   105978.8 |  2.0 |  4.0 |
          20.0 |             14.0 |          1698.618 |      0.0 |   113584.6 |  3.0 |  4.0 |
          20.0 |             14.0 |           545.238 |      0.0 |        0.0 |  1.0 |  5.0 |
          20.0 |             14.0 |          1291.536 |      0.0 |   105978.8 |  2.0 |  5.0 |
          20.0 |             14.0 |          1432.226 |      0.0 |   113584.6 |  3.0 |  5.0 |
          20.0 |             14.0 |           9132.42 |      0.0 |   172456.0 |  4.0 |  5.0 |
          20.0 |             14.0 |           193.866 |      0.0 |        0.0 |  1.0 |  6.0 |
          20.0 |             14.0 |           243.996 |      0.0 |   105978.8 |  2.0 |  6.0 |
          20.0 |             14.0 |            248.61 |      0.0 |   113584.6 |  3.0 |  6.0 |
          20.0 |             14.0 |           300.829 |      0.0 |   183406.0 |  5.0 |  6.0 |
          20.0 |             14.0 |            186.61 |      0.0 |        0.0 |  1.0 |  7.0 |
          20.0 |             14.0 |           232.613 |      0.0 |   105978.8 |  2.0 |  7.0 |
          20.0 |             14.0 |           236.803 |      0.0 |   113584.6 |  3.0 |  7.0 |
          20.0 |             14.0 |           275.163 |      0.0 |   172456.0 |  4.0 |  7.0 |
          20.0 |             14.0 |           283.711 |      0.0 |   183406.0 |  5.0 |  7.0 |
          20.0 |             14.0 |            183.46 |      0.0 |        0.0 |  1.0 |  8.0 |
          20.0 |             14.0 |           227.739 |      0.0 |   105978.8 |  2.0 |  8.0 |
          20.0 |             14.0 |           268.368 |      0.0 |   172456.0 |  4.0 |  8.0 |
          20.0 |             14.0 |           276.494 |      0.0 |   183406.0 |  5.0 |  8.0 |
          20.0 |             14.0 |           140.692 |      0.0 |        0.0 |  1.0 |  9.0 |
          20.0 |             14.0 |           165.345 |      0.0 |   105978.8 |  2.0 |  9.0 |
          20.0 |             14.0 |           167.451 |      0.0 |   113584.6 |  3.0 |  9.0 |
          20.0 |             14.0 |           185.764 |      0.0 |   172456.0 |  4.0 |  9.0 |
