 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |     i |     j |
          20.0 |             19.0 |            3.2111 |      0.0 |        0.0 |   1.0 |   2.0 |
          20.0 |             19.0 |          583.4374 |   0.0126 |        0.0 |   2.0 |   3.0 |
          20.0 |             19.0 |            3.1928 |   0.0202 |        0.0 |   1.0 |   4.0 |
          20.0 |             19.0 |            3.1892 |      0.0 |        0.0 |   1.0 |   6.0 |
          20.0 |             19.0 |          467.7268 |   0.0789 |        0.0 |   2.0 |   6.0 |
          20.0 |             19.0 |            3.1773 |    0.756 |        0.0 |   1.0 |   7.0 |
          20.0 |             19.0 |           17.9936 |    0.016 |        0.0 |   3.0 |   8.0 |
          20.0 |             19.0 |            18.015 |   0.0466 |        0.0 |   4.0 |   8.0 |
          20.0 |             19.0 |           18.1319 |   0.0792 |        0.0 |   6.0 |   8.0 |
          20.0 |             19.0 |           18.5266 |  0.00121 |        0.0 |   7.0 |   8.0 |
          20.0 |             19.0 |           17.3128 |     0.13 |        0.0 |   2.0 |   9.0 |
          20.0 |             19.0 |           17.9783 |     5.44 |        0.0 |   6.0 |   9.0 |
          20.0 |             19.0 |           17.8574 |  0.00135 |        0.0 |   4.0 |  10.0 |
          20.0 |             19.0 |             18.36 |   0.0489 |        0.0 |   7.0 |  10.0 |
          20.0 |             19.0 |            2.7085 |   0.0043 |        0.0 |   1.0 |  11.0 |
          20.0 |             19.0 |           17.3062 |    0.379 |        0.0 |   2.0 |  11.0 |
          20.0 |             19.0 |           17.8833 |   0.0111 |        0.0 |   5.0 |  11.0 |
          20.0 |             19.0 |           17.9712 |     11.9 |        0.0 |   6.0 |  11.0 |
          20.0 |             19.0 |           17.2746 |    0.651 |        0.0 |   2.0 |  12.0 |
          20.0 |             19.0 |           17.8226 |     12.3 |        0.0 |   4.0 |  12.0 |
          20.0 |             19.0 |           17.9371 |     9.61 |        0.0 |   6.0 |  12.0 |
          20.0 |             19.0 |           17.1971 |     37.1 |        0.0 |   2.0 |  13.0 |
          20.0 |             19.0 |           17.7194 |    0.682 |        0.0 |   3.0 |  13.0 |
          20.0 |             19.0 |           17.7402 |    0.497 |        0.0 |   4.0 |  13.0 |
          20.0 |             19.0 |           17.8535 |   0.0338 |        0.0 |   6.0 |  13.0 |
          20.0 |             19.0 |           18.2361 |    0.013 |        0.0 |   7.0 |  13.0 |
          20.0 |             19.0 |            2.7058 |     8.06 |        0.0 |   1.0 |  14.0 |
          20.0 |             19.0 |           17.1955 |     45.6 |        0.0 |   2.0 |  14.0 |
          20.0 |             19.0 |           17.7385 |     1.37 |        0.0 |   4.0 |  14.0 |
          20.0 |             19.0 |           17.8518 |    0.374 |        0.0 |   6.0 |  14.0 |
          20.0 |             19.0 |           18.2343 |    0.315 |        0.0 |   7.0 |  14.0 |
          20.0 |             19.0 |           17.1824 |     86.8 |        0.0 |   2.0 |  15.0 |
          20.0 |             19.0 |           17.8377 |     2.84 |        0.0 |   6.0 |  15.0 |
          20.0 |             19.0 |            2.7054 |     22.6 |        0.0 |   1.0 |  16.0 |
          20.0 |             19.0 |           17.7211 |    0.179 |        0.0 |   4.0 |  16.0 |
          20.0 |             19.0 |           17.7477 |     44.5 |        0.0 |   5.0 |  16.0 |
          20.0 |             19.0 |           17.8342 |    0.134 |        0.0 |   6.0 |  16.0 |
          20.0 |             19.0 |           18.2159 |     1.76 |        0.0 |   7.0 |  16.0 |
          20.0 |             19.0 |           17.1796 |   0.0108 |        0.0 |   2.0 |  17.0 |
          20.0 |             19.0 |           17.7482 |    0.396 |        0.0 |   5.0 |  17.0 |
          20.0 |             19.0 |           13.2674 |   0.0033 |        0.0 |   3.0 |  18.0 |
          20.0 |             19.0 |            13.279 |  0.00963 |        0.0 |   4.0 |  18.0 |
          20.0 |             19.0 |           13.3425 |   0.0164 |        0.0 |   6.0 |  18.0 |
          20.0 |             19.0 |            13.555 | 0.000253 |        0.0 |   7.0 |  18.0 |
          20.0 |             19.0 |           51.7438 |    0.038 |        0.0 |   9.0 |  18.0 |
          20.0 |             19.0 |           51.8025 |    0.111 |        0.0 |  11.0 |  18.0 |
          20.0 |             19.0 |           52.0882 |    0.188 |        0.0 |  12.0 |  18.0 |
          20.0 |             19.0 |           52.9712 |  0.00305 |        0.0 |  17.0 |  18.0 |
          20.0 |             19.0 |           12.9396 |   0.0314 |        0.0 |   2.0 |  19.0 |
          20.0 |             19.0 |           13.3077 |     1.24 |        0.0 |   6.0 |  19.0 |
          20.0 |             19.0 |           50.0178 |    0.143 |        0.0 |   8.0 |  19.0 |
          20.0 |             19.0 |           52.2656 |    0.021 |        0.0 |  13.0 |  19.0 |
          20.0 |             19.0 |           13.2441 | 0.000311 |        0.0 |   4.0 |  20.0 |
          20.0 |             19.0 |           13.5186 |   0.0114 |        0.0 |   7.0 |  20.0 |
          20.0 |             19.0 |            51.275 |   0.0032 |        0.0 |  11.0 |  20.0 |
          20.0 |             19.0 |           52.4197 |    0.111 |        0.0 |  17.0 |  20.0 |
          20.0 |             19.0 |            2.5726 |  0.00169 |        0.0 |   1.0 |  21.0 |
          20.0 |             19.0 |            12.938 |   0.0915 |        0.0 |   2.0 |  21.0 |
          20.0 |             19.0 |           13.2579 |  0.00291 |        0.0 |   5.0 |  21.0 |
          20.0 |             19.0 |           13.3061 |     2.72 |        0.0 |   6.0 |  21.0 |
          20.0 |             19.0 |           49.9948 |    0.418 |        0.0 |   8.0 |  21.0 |
          20.0 |             19.0 |             51.25 |   0.0128 |        0.0 |  10.0 |  21.0 |
          20.0 |             19.0 |           52.2405 |   0.0153 |        0.0 |  13.0 |  21.0 |
          20.0 |             19.0 |           52.2551 |   0.0417 |        0.0 |  14.0 |  21.0 |
          20.0 |             19.0 |           52.4068 |  0.00572 |        0.0 |  16.0 |  21.0 |
          20.0 |             19.0 |           12.9305 |    0.157 |        0.0 |   2.0 |  22.0 |
          20.0 |             19.0 |           13.2352 |     2.77 |        0.0 |   4.0 |  22.0 |
          20.0 |             19.0 |            49.883 |    0.718 |        0.0 |   8.0 |  22.0 |
