 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |    i |    j |
          20.0 |             20.0 |            3.0237 |      0.0 |        0.0 |  1.0 |  2.0 |
          20.0 |             20.0 |            3.0239 |   0.2772 |        0.0 |  1.0 |  3.0 |
          20.0 |             20.0 |            3.0185 |   0.5552 |        0.0 |  1.0 |  4.0 |
          20.0 |             20.0 |           16.2743 |  0.02718 | 33069904.0 |  3.0 |  5.0 |
          20.0 |             20.0 |            16.433 |  0.05436 | 33129258.0 |  4.0 |  5.0 |
          20.0 |             20.0 |            2.5501 |  0.05268 |        0.0 |  1.0 |  6.0 |
          20.0 |             20.0 |           16.2806 |   0.2896 | 33071744.0 |  2.0 |  6.0 |
          20.0 |             20.0 |             2.549 |   0.1055 |        0.0 |  1.0 |  7.0 |
          20.0 |             20.0 |           16.2341 |   0.5802 | 33071744.0 |  2.0 |  7.0 |
          20.0 |             20.0 |           16.2294 |    1.392 | 33069904.0 |  3.0 |  8.0 |
          20.0 |             20.0 |           16.3872 |   0.2783 | 33129258.0 |  4.0 |  8.0 |
          20.0 |             20.0 |           16.3716 |    2.505 | 33129258.0 |  4.0 |  9.0 |
          20.0 |             20.0 |           12.0593 |  0.00609 | 33069904.0 |  3.0 | 10.0 |
          20.0 |             20.0 |           12.1462 |  0.01218 | 33129258.0 |  4.0 | 10.0 |
          20.0 |             20.0 |           46.5494 |   0.0645 | 39214016.0 |  6.0 | 10.0 |
          20.0 |             20.0 |           46.9337 |    0.129 | 39231610.0 |  7.0 | 10.0 |
          20.0 |             20.0 |            2.4177 |  0.01931 |        0.0 |  1.0 | 11.0 |
          20.0 |             20.0 |           12.0623 |  0.06846 | 33071744.0 |  2.0 | 11.0 |
          20.0 |             20.0 |           46.5668 |   0.3228 | 39214580.0 |  5.0 | 11.0 |
          20.0 |             20.0 |           46.9383 |  0.03663 | 39231576.0 |  8.0 | 11.0 |
          20.0 |             20.0 |            2.4172 |  0.03867 |        0.0 |  1.0 | 12.0 |
          20.0 |             20.0 |           12.0515 |   0.1371 | 33071744.0 |  2.0 | 12.0 |
          20.0 |             20.0 |           46.4065 |   0.6466 | 39214580.0 |  5.0 | 12.0 |
          20.0 |             20.0 |           46.7755 | 0.007328 | 39231576.0 |  8.0 | 12.0 |
          20.0 |             20.0 |           46.9028 |  0.06594 | 39237384.0 |  9.0 | 12.0 |
          20.0 |             20.0 |           12.0489 |   0.2436 | 33069904.0 |  3.0 | 13.0 |
          20.0 |             20.0 |           12.1357 |  0.04872 | 33129258.0 |  4.0 | 13.0 |
          20.0 |             20.0 |           46.3946 |    1.237 | 39214016.0 |  6.0 | 13.0 |
          20.0 |             20.0 |           46.7764 |   0.2473 | 39231610.0 |  7.0 | 13.0 |
          20.0 |             20.0 |           12.1321 |   0.4385 | 33129258.0 |  4.0 | 14.0 |
          20.0 |             20.0 |           46.7229 |    2.226 | 39231610.0 |  7.0 | 14.0 |
          20.0 |             20.0 |           46.7223 |    4.072 | 39231576.0 |  8.0 | 15.0 |
          20.0 |             20.0 |           46.8494 |   0.2909 | 39237384.0 |  9.0 | 15.0 |
          20.0 |             20.0 |           46.8226 |    5.817 | 39237384.0 |  9.0 | 16.0 |
          20.0 |             20.0 |           10.7695 | 0.002426 | 33069904.0 |  3.0 | 17.0 |
          20.0 |             20.0 |           10.8388 | 0.004852 | 33129258.0 |  4.0 | 17.0 |
          20.0 |             20.0 |           31.8336 |  0.01486 | 39214016.0 |  6.0 | 17.0 |
          20.0 |             20.0 |           32.0129 |  0.02971 | 39231610.0 |  7.0 | 17.0 |
          20.0 |             20.0 |           100.673 |   0.1058 | 41362030.0 | 11.0 | 17.0 |
          20.0 |             20.0 |            101.43 |   0.2116 | 41369450.0 | 12.0 | 17.0 |
          20.0 |             20.0 |             2.361 | 0.009284 |        0.0 |  1.0 | 18.0 |
          20.0 |             20.0 |           10.7718 |  0.02793 | 33071744.0 |  2.0 | 18.0 |
          20.0 |             20.0 |           31.8406 |  0.08059 | 39214580.0 |  5.0 | 18.0 |
          20.0 |             20.0 |            100.71 |   0.3624 | 41362270.0 | 10.0 | 18.0 |
          20.0 |             20.0 |           32.0139 | 0.007366 | 39231576.0 |  8.0 | 18.0 |
          20.0 |             20.0 |           101.442 |  0.09273 | 41369436.0 | 13.0 | 18.0 |
          20.0 |             20.0 |            2.3608 |   0.0186 |        0.0 |  1.0 | 19.0 |
          20.0 |             20.0 |           10.7674 |  0.05593 | 33071744.0 |  2.0 | 19.0 |
          20.0 |             20.0 |           31.8022 |   0.1614 | 39214580.0 |  5.0 | 19.0 |
          20.0 |             20.0 |           100.326 |    0.726 | 41362270.0 | 10.0 | 19.0 |
          20.0 |             20.0 |            31.975 | 0.001474 | 39231576.0 |  8.0 | 19.0 |
          20.0 |             20.0 |           32.0345 |  0.01326 | 39237384.0 |  9.0 | 19.0 |
          20.0 |             20.0 |           101.053 |  0.01855 | 41369436.0 | 13.0 | 19.0 |
          20.0 |             20.0 |           101.303 |   0.1669 | 41371890.0 | 14.0 | 19.0 |
          20.0 |             20.0 |           10.7653 |  0.08874 | 33069904.0 |  3.0 | 20.0 |
          20.0 |             20.0 |           10.8345 |  0.01775 | 33129258.0 |  4.0 | 20.0 |
          20.0 |             20.0 |           31.7965 |   0.2784 | 39214016.0 |  6.0 | 20.0 |
          20.0 |             20.0 |           31.9754 |  0.05568 | 39231610.0 |  7.0 | 20.0 |
          20.0 |             20.0 |           100.303 |    1.219 | 41362030.0 | 11.0 | 20.0 |
          20.0 |             20.0 |           101.055 |   0.2437 | 41369450.0 | 12.0 | 20.0 |
          20.0 |             20.0 |           10.8331 |   0.1597 | 33129258.0 |  4.0 | 21.0 |
          20.0 |             20.0 |           31.9626 |   0.5011 | 39231610.0 |  7.0 | 21.0 |
