 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik |       E_i(cm^-1) |     i |     j |
          17.0 |              2.0 |    1063.8310546875 |  0.02426609955728054 |              0.0 | 333.0 | 666.0 |
          17.0 |              2.0 |  1067.945068359375 |  0.01931968331336975 |            696.0 | 333.0 | 666.0 |
          17.0 |              2.0 | 1071.0360107421875 |  0.07244359701871872 |              0.0 | 333.0 | 666.0 |
          17.0 |              2.0 | 1071.7669677734375 | 0.014454396441578865 |            696.0 | 333.0 | 666.0 |
          17.0 |              2.0 |   1075.22998046875 | 0.019186686724424362 | 996.469970703125 | 333.0 | 666.0 |
          17.0 |              2.0 | 1079.0799560546875 | 0.023933155462145805 |            696.0 | 333.0 | 666.0 |
          17.0 |              2.0 |  2428.530029296875 |  0.10964782536029816 |   128622.9921875 | 333.0 | 666.0 |
          17.0 |              2.0 |   2434.81005859375 |   0.5754399299621582 |   128730.8203125 | 333.0 | 666.0 |
          17.0 |              2.0 |  2499.280029296875 |   0.1023292988538742 |   128663.5703125 | 333.0 | 666.0 |
          17.0 |              2.0 |  2503.489990234375 |  0.14454399049282074 |   128730.8203125 | 333.0 | 666.0 |
          17.0 |              2.0 |  2547.719970703125 |   0.2818382978439331 |       131756.125 | 333.0 | 666.0 |
          17.0 |              2.0 |   2550.64990234375 |   0.5248074531555176 |     131768.65625 | 333.0 | 666.0 |
          17.0 |              2.0 |    3316.3798828125 |   0.9120108485221863 |       131756.125 | 333.0 | 666.0 |
          17.0 |              2.0 |   3330.06005859375 |   1.7378008365631104 |     131768.65625 | 333.0 | 666.0 |
          17.0 |              2.0 |  3799.840087890625 |   2.3988327980041504 |    146335.546875 | 333.0 | 666.0 |
          17.0 |              2.0 |  3806.260009765625 |   3.5481340885162354 |    146470.640625 | 333.0 | 666.0 |
          17.0 |              2.0 |  3810.539794921875 |   1.6218100786209106 |    146331.765625 | 333.0 | 666.0 |
          17.0 |              2.0 |    3846.4599609375 |   1.0471285581588745 |   128622.9921875 | 333.0 | 666.0 |
          17.0 |              2.0 |     3846.740234375 |   1.3182567358016968 |   128622.9921875 | 333.0 | 666.0 |
          17.0 |              2.0 |  3846.889892578125 |   0.6025595664978027 |   128622.9921875 | 333.0 | 666.0 |
          17.0 |              2.0 |     3852.080078125 |    2.818382740020752 |   128663.5703125 | 333.0 | 666.0 |
          17.0 |              2.0 |    3852.4599609375 |    1.778279423713684 |   128663.5703125 | 333.0 | 666.0 |
          17.0 |              2.0 |   3852.73974609375 |   0.4466835856437683 |   128663.5703125 | 333.0 | 666.0 |
          17.0 |              2.0 |     3861.919921875 |     5.49540901184082 |   128730.8203125 | 333.0 | 666.0 |
          17.0 |              2.0 |     3862.080078125 |   1.3803843259811401 |   128730.8203125 | 333.0 | 666.0 |
          17.0 |              2.0 |    3862.4599609375 |  0.19952623546123505 |   128730.8203125 | 333.0 | 666.0 |
          17.0 |              2.0 |   3914.97998046875 |   1.6982436180114746 |    147200.234375 | 333.0 | 666.0 |
          17.0 |              2.0 |   3917.73974609375 |    1.202264428138733 |      147127.5625 | 333.0 | 666.0 |
          17.0 |              2.0 |     4133.669921875 |   2.0417380332946777 |   129066.9609375 | 333.0 | 666.0 |
          17.0 |              2.0 |   4769.97998046875 |   1.3182567358016968 |     137806.15625 | 333.0 | 666.0 |
          17.0 |              2.0 |      4782.66015625 |   2.3988327980041504 |       137879.375 | 333.0 | 666.0 |
          17.0 |              2.0 |    4795.8896484375 |   2.5118863582611084 |     107879.65625 | 333.0 | 666.0 |
          17.0 |              2.0 |     4811.400390625 |   1.7378008365631104 |     107879.65625 | 333.0 | 666.0 |
          17.0 |              2.0 |   4820.81982421875 |     1.04472017288208 |     107879.65625 | 333.0 | 666.0 |
          17.0 |              2.0 |   4898.14013671875 |    2.818382740020752 |   126784.3671875 | 333.0 | 666.0 |
          17.0 |              2.0 |   4906.14990234375 |   2.0417380332946777 |     126744.96875 | 333.0 | 666.0 |
          17.0 |              2.0 |   4919.10009765625 |   1.3489629030227661 |    126726.703125 | 333.0 | 666.0 |
          17.0 |              2.0 |    4996.8701171875 |   0.3388441503047943 |   126458.1015625 | 333.0 | 666.0 |
          17.0 |              2.0 |       5079.6796875 |   2.0892961025238037 |   126784.3671875 | 333.0 | 666.0 |
          17.0 |              2.0 |   5219.39013671875 |   1.5848932266235352 |    112609.359375 | 333.0 | 666.0 |
          17.0 |              2.0 |   5222.81005859375 |   0.9549925923347473 |    112609.359375 | 333.0 | 666.0 |
          17.0 |              2.0 |    5393.6201171875 |    3.019951581954956 |   129066.9609375 | 333.0 | 666.0 |
          17.0 |              2.0 |     5424.740234375 |   0.5495408773422241 |     110296.84375 | 333.0 | 666.0 |
          17.0 |              2.0 |   5425.02001953125 |   0.1148153617978096 |     110297.71875 | 333.0 | 666.0 |
          17.0 |              2.0 |    5444.8798828125 |  0.33113113045692444 |     110297.71875 | 333.0 | 666.0 |
          17.0 |              2.0 |   5445.72021484375 |   0.2089296132326126 |      110300.5625 | 333.0 | 666.0 |
          17.0 |              2.0 |    5458.5400390625 |  0.14791084825992584 |   110303.1171875 | 333.0 | 666.0 |
