 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |   E_i(cm^-1) |     i |     j |
          17.0 |              6.0 |  671.3709716796875 |      2.008699893951416 |          0.0 |   1.0 |   5.0 |
          17.0 |              6.0 | 234.88499450683594 |   0.009597199968993664 |          0.0 |   1.0 |  27.0 |
          17.0 |              6.0 |  214.5850067138672 |    0.27358999848365784 |          0.0 |   1.0 |  32.0 |
          17.0 |              6.0 | 186.31100463867188 |  0.0007821199833415449 |          0.0 |   1.0 |  43.0 |
          17.0 |              6.0 | 168.96600341796875 |    0.09711600095033646 |          0.0 |   1.0 |  56.0 |
          17.0 |              6.0 | 160.24099731445312 |  0.0006255300249904394 |          0.0 |   1.0 |  69.0 |
          17.0 |              6.0 |  152.8090057373047 |    0.04664799943566322 |          0.0 |   1.0 |  81.0 |
          17.0 |              6.0 | 147.20399475097656 |  0.0010683999862521887 |          0.0 |   1.0 |  91.0 |
          17.0 |              6.0 | 144.69400024414062 |      0.024983000010252 |          0.0 |   1.0 |  95.0 |
          17.0 |              6.0 |  140.4010009765625 |  4.867500138061587e-06 |          0.0 |   1.0 | 115.0 |
          17.0 |              6.0 |  140.1909942626953 |    0.01773799955844879 |          0.0 |   1.0 | 116.0 |
          17.0 |              6.0 |    137.64599609375 |  0.0043624998070299625 |          0.0 |   1.0 | 134.0 |
          17.0 |              6.0 | 137.06100463867188 |   0.006351300049573183 |          0.0 |   1.0 | 140.0 |
          17.0 |              6.0 |  135.2469940185547 |   0.007865499705076218 |          0.0 |   1.0 | 153.0 |
          17.0 |              6.0 |  727.5430297851562 |     0.6866899728775024 |      97405.0 |   2.0 |   8.0 |
          17.0 |              6.0 |   550.364013671875 |     0.9330599904060364 |      97405.0 |   2.0 |  11.0 |
          17.0 |              6.0 |  323.3559875488281 |      0.134660005569458 |      97405.0 |   2.0 |  19.0 |
          17.0 |              6.0 | 242.88299560546875 |    0.16066999733448029 |      97405.0 |   2.0 |  33.0 |
          17.0 |              6.0 | 225.43600463867188 |  0.0005264600040391088 |      97405.0 |   2.0 |  46.0 |
          17.0 |              6.0 |  213.6269989013672 |    0.06172100082039833 |      97405.0 |   2.0 |  48.0 |
          17.0 |              6.0 | 212.11399841308594 |   0.031821999698877335 |      97405.0 |   2.0 |  50.0 |
          17.0 |              6.0 | 211.55799865722656 |    0.03638400137424469 |      97405.0 |   2.0 |  51.0 |
          17.0 |              6.0 |  209.0800018310547 |  0.0036188000813126564 |      97405.0 |   2.0 |  53.0 |
