 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |   i |    j |
          17.0 |             10.0 |          9219.139 |       0.0 |        0.0 | 1.0 |  2.0 |
          17.0 |             10.0 |          7078.644 |       0.0 |        0.0 | 1.0 |  3.0 |
          17.0 |             10.0 |         30487.805 |       0.0 |    10847.0 | 2.0 |  3.0 |
          17.0 |             10.0 |          1541.497 |       0.0 |        0.0 | 1.0 |  4.0 |
          17.0 |             10.0 |          1850.995 |       0.0 |    10847.0 | 2.0 |  4.0 |
          17.0 |             10.0 |           739.612 |       0.0 |        0.0 | 1.0 |  5.0 |
          17.0 |             10.0 |           804.124 |       0.0 |    10847.0 | 2.0 |  5.0 |
          17.0 |             10.0 |          1421.787 |       0.0 |    64872.0 | 4.0 |  5.0 |
          17.0 |             10.0 |           205.384 |    0.4743 |        0.0 | 1.0 |  6.0 |
          17.0 |             10.0 |           210.063 |    0.1558 |    10847.0 | 2.0 |  6.0 |
          17.0 |             10.0 |           236.954 |  0.004335 |    64872.0 | 4.0 |  6.0 |
          17.0 |             10.0 |           201.501 |    0.1638 |        0.0 | 1.0 |  7.0 |
          17.0 |             10.0 |           206.003 |   0.09538 |    10847.0 | 2.0 |  7.0 |
          17.0 |             10.0 |           207.405 |    0.1254 |    14127.0 | 3.0 |  7.0 |
          17.0 |             10.0 |           231.801 | 0.0001095 |    64872.0 | 4.0 |  7.0 |
          17.0 |             10.0 |           276.955 | 0.0007239 |   135206.0 | 5.0 |  7.0 |
          17.0 |             10.0 |           203.788 |    0.1289 |    10847.0 | 2.0 |  8.0 |
          17.0 |             10.0 |            148.67 |  0.006566 |        0.0 | 1.0 |  9.0 |
          17.0 |             10.0 |           151.107 |  0.000192 |    10847.0 | 2.0 |  9.0 |
          17.0 |             10.0 |            151.86 | 0.0004192 |    14127.0 | 3.0 |  9.0 |
          17.0 |             10.0 |           164.539 |    0.8127 |    64872.0 | 4.0 |  9.0 |
          17.0 |             10.0 |           186.073 |   0.07176 |   135206.0 | 5.0 |  9.0 |
          17.0 |             10.0 |           156.204 | 0.0008015 |   496276.0 | 7.0 | 10.0 |
          17.0 |             10.0 |           215.594 |    0.4117 |   672630.0 | 9.0 | 10.0 |
%CHIANTI
