 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |    i |    j |
          17.0 |             11.0 |          1126.545 |      0.0 |        0.0 |  1.0 |  2.0 |
          17.0 |             11.0 |          1101.237 |      0.0 |        0.0 |  1.0 |  3.0 |
          17.0 |             11.0 |          49019.61 |      0.0 |    88767.0 |  2.0 |  3.0 |
          17.0 |             11.0 |           724.758 |      0.0 |        0.0 |  1.0 |  4.0 |
          17.0 |             11.0 |          2032.107 |      0.0 |    88767.0 |  2.0 |  4.0 |
          17.0 |             11.0 |          2119.992 |      0.0 |    90807.0 |  3.0 |  4.0 |
          17.0 |             11.0 |           709.034 |      0.0 |        0.0 |  1.0 |  5.0 |
          17.0 |             11.0 |          1913.143 |      0.0 |    88767.0 |  2.0 |  5.0 |
          17.0 |             11.0 |          1990.842 |      0.0 |    90807.0 |  3.0 |  5.0 |
          17.0 |             11.0 |         32679.738 |      0.0 |   137977.0 |  4.0 |  5.0 |
          17.0 |             11.0 |           242.752 |    0.292 |        0.0 |  1.0 |  6.0 |
          17.0 |             11.0 |           309.429 | 0.000289 |    88767.0 |  2.0 |  6.0 |
          17.0 |             11.0 |           311.395 | 0.000678 |    90807.0 |  3.0 |  6.0 |
          17.0 |             11.0 |           369.132 |  0.00035 |   141037.0 |  5.0 |  6.0 |
          17.0 |             11.0 |           237.418 |    0.199 |        0.0 |  1.0 |  7.0 |
          17.0 |             11.0 |           300.814 | 1.18e-05 |    88767.0 |  2.0 |  7.0 |
          17.0 |             11.0 |           302.672 |  3.4e-05 |    90807.0 |  3.0 |  7.0 |
          17.0 |             11.0 |           353.081 | 3.01e-06 |   137977.0 |  4.0 |  7.0 |
          17.0 |             11.0 |           356.938 | 0.000481 |   141037.0 |  5.0 |  7.0 |
          17.0 |             11.0 |           234.838 |    0.101 |        0.0 |  1.0 |  8.0 |
          17.0 |             11.0 |           296.684 | 4.41e-05 |    88767.0 |  2.0 |  8.0 |
          17.0 |             11.0 |           347.404 |   0.0001 |   137977.0 |  4.0 |  8.0 |
          17.0 |             11.0 |           351.137 | 7.65e-07 |   141037.0 |  5.0 |  8.0 |
          17.0 |             11.0 |           176.412 | 4.17e-05 |        0.0 |  1.0 |  9.0 |
          17.0 |             11.0 |           209.167 |    0.345 |    88767.0 |  2.0 |  9.0 |
          17.0 |             11.0 |           210.063 |    0.022 |    90807.0 |  3.0 |  9.0 |
          17.0 |             11.0 |           234.843 | 0.000232 |   141037.0 |  5.0 |  9.0 |
          17.0 |             11.0 |           176.311 | 9.71e-06 |        0.0 |  1.0 | 10.0 |
          17.0 |             11.0 |           209.024 |   0.0114 |    88767.0 |  2.0 | 10.0 |
          17.0 |             11.0 |           209.919 |    0.486 |    90807.0 |  3.0 | 10.0 |
          17.0 |             11.0 |           234.662 |    0.117 |   141037.0 |  5.0 | 10.0 |
          17.0 |             11.0 |            151.13 |  0.00026 |        0.0 |  1.0 | 11.0 |
          17.0 |             11.0 |           174.546 |   0.0457 |    88767.0 |  2.0 | 11.0 |
          17.0 |             11.0 |           190.947 |    0.137 |   137977.0 |  4.0 | 11.0 |
          17.0 |             11.0 |           192.069 |    0.129 |   141037.0 |  5.0 | 11.0 |
          17.0 |             11.0 |           144.729 |  0.00126 |        0.0 |  1.0 | 12.0 |
          17.0 |             11.0 |           166.064 |    0.122 |    88767.0 |  2.0 | 12.0 |
          17.0 |             11.0 |           166.628 |    0.708 |    90807.0 |  3.0 | 12.0 |
          17.0 |             11.0 |           180.842 |   0.0513 |   137977.0 |  4.0 | 12.0 |
          17.0 |             11.0 |           181.849 |    0.161 |   141037.0 |  5.0 | 12.0 |
          17.0 |             11.0 |            142.26 | 0.000151 |        0.0 |  1.0 | 13.0 |
          17.0 |             11.0 |           162.821 |    0.277 |    88767.0 |  2.0 | 13.0 |
          17.0 |             11.0 |           177.003 |   0.0532 |   137977.0 |  4.0 | 13.0 |
          17.0 |             11.0 |           177.967 |    0.184 |   141037.0 |  5.0 | 13.0 |
          17.0 |             11.0 |           150.074 |  0.00114 |   411943.0 |  6.0 | 14.0 |
          17.0 |             11.0 |           152.188 | 0.000347 |   421198.0 |  7.0 | 14.0 |
          17.0 |             11.0 |           153.267 | 0.000101 |   425826.0 |  8.0 | 14.0 |
          17.0 |             11.0 |           195.531 |   0.0698 |   566854.0 |  9.0 | 14.0 |
          17.0 |             11.0 |           195.656 |    0.444 |   567181.0 | 10.0 | 14.0 |
          17.0 |             11.0 |            240.04 |   0.0731 |   661683.0 | 11.0 | 14.0 |
          17.0 |             11.0 |           258.174 |    0.521 |   690945.0 | 12.0 | 14.0 |
          17.0 |             11.0 |           266.424 |   0.0767 |   702940.0 | 13.0 | 14.0 |
          17.0 |             11.0 |            148.81 | 3.14e-05 |   421198.0 |  7.0 | 15.0 |
          17.0 |             11.0 |           149.842 | 0.000177 |   425826.0 |  8.0 | 15.0 |
          17.0 |             11.0 |            189.99 |    0.234 |   566854.0 |  9.0 | 15.0 |
          17.0 |             11.0 |           231.742 |  0.00198 |   661683.0 | 11.0 | 15.0 |
          17.0 |             11.0 |             248.6 |    0.127 |   690945.0 | 12.0 | 15.0 |
          17.0 |             11.0 |           256.241 |    0.234 |   702940.0 | 13.0 | 15.0 |
%CHIANTI
