 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          17.0 |             14.0 |           455.533 | 0.0001705 |        0.0 |   1.0 |   3.0 |
          17.0 |             14.0 |           430.269 | 8.248e-11 |        0.0 |   1.0 |   4.0 |
          17.0 |             14.0 |          7757.952 | 1.299e-06 |   219523.0 |   3.0 |   4.0 |
          17.0 |             14.0 |          5405.405 | 8.109e-12 |   213913.0 |   2.0 |   4.0 |
          17.0 |             14.0 |           237.812 |     0.217 |        0.0 |   1.0 |   5.0 |
          17.0 |             14.0 |           697.817 | 0.0001695 |   420501.0 |   5.0 |   6.0 |
          17.0 |             14.0 |            290.46 |   0.08142 |   219523.0 |   3.0 |   6.0 |
          17.0 |             14.0 |           662.792 | 4.977e-05 |   420501.0 |   5.0 |   7.0 |
          17.0 |             14.0 |           284.208 |   0.06234 |   219523.0 |   3.0 |   7.0 |
          17.0 |             14.0 |           279.748 |   0.08476 |   213913.0 |   2.0 |   7.0 |
          17.0 |             14.0 |           295.016 |    0.0998 |   232413.0 |   4.0 |   7.0 |
          17.0 |             14.0 |           619.994 |  0.003387 |   420501.0 |   5.0 |   8.0 |
          17.0 |             14.0 |           276.037 |    0.1077 |   219523.0 |   3.0 |   8.0 |
          17.0 |             14.0 |           286.221 |     0.302 |   232413.0 |   4.0 |   8.0 |
          17.0 |             14.0 |           458.375 |    0.2436 |   420501.0 |   5.0 |   9.0 |
          17.0 |             14.0 |           238.584 |  0.000621 |   219523.0 |   3.0 |   9.0 |
          17.0 |             14.0 |           246.154 |   0.00926 |   232413.0 |   4.0 |   9.0 |
          17.0 |             14.0 |           277.868 |     0.152 |   420501.0 |   5.0 |  10.0 |
          17.0 |             14.0 |           178.297 | 6.174e-05 |   219523.0 |   3.0 |  10.0 |
          17.0 |             14.0 |            32.914 | 0.0001765 |   420501.0 |   5.0 |  11.0 |
          17.0 |             14.0 |            30.872 |   0.08916 |   219523.0 |   3.0 |  11.0 |
          17.0 |             14.0 |            30.819 |   0.02955 |   213913.0 |   2.0 |  11.0 |
          17.0 |             14.0 |            30.995 |    0.1505 |   232413.0 |   4.0 |  11.0 |
          17.0 |             14.0 |            32.568 |   0.03153 |   420501.0 |   5.0 |  12.0 |
          17.0 |             14.0 |             35.08 |  3.09e-06 |   638663.0 |   9.0 |  12.0 |
          17.0 |             14.0 |            30.507 | 1.747e-05 |   219523.0 |   3.0 |  12.0 |
          17.0 |             14.0 |            34.265 |   0.02672 |   638663.0 |   9.0 |  13.0 |
          17.0 |             14.0 |           1016.26 |   0.04188 |  3458700.0 |  11.0 |  13.0 |
          17.0 |             14.0 |            31.882 | 4.887e-05 |   420501.0 |   5.0 |  13.0 |
          17.0 |             14.0 |            28.113 |    0.4898 |        0.0 |   1.0 |  13.0 |
          17.0 |             14.0 |            36.014 |  0.001378 |   780384.0 |  10.0 |  13.0 |
          17.0 |             14.0 |            29.962 | 5.415e-06 |   219523.0 |   3.0 |  13.0 |
          17.0 |             14.0 |            33.493 |  0.000277 |   571378.0 |   7.0 |  13.0 |
          17.0 |             14.0 |            33.408 | 0.0002512 |   563805.0 |   6.0 |  13.0 |
          17.0 |             14.0 |             33.61 |  0.002452 |   581793.0 |   8.0 |  13.0 |
