 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |        E_i(cm^-1) |     i |     j |
          17.0 |              1.0 | 1188.7740478515625 |     0.2964831292629242 |               0.0 | 333.0 | 666.0 |
          17.0 |              1.0 |   1201.35302734375 |    0.20701412856578827 | 882.3515014648438 | 333.0 | 666.0 |
          17.0 |              1.0 |   1335.72607421875 |    0.09311078488826752 |               0.0 | 333.0 | 666.0 |
          17.0 |              1.0 |  1347.239990234375 |    0.45603692531585693 |               0.0 | 333.0 | 666.0 |
          17.0 |              1.0 |  1351.656982421875 |     0.1770109087228775 | 882.3515014648438 | 333.0 | 666.0 |
          17.0 |              1.0 |  1363.447021484375 |    0.08317636698484421 | 882.3515014648438 | 333.0 | 666.0 |
          17.0 |              1.0 |  1373.115966796875 | 0.00016218102246057242 |               0.0 | 333.0 | 666.0 |
          17.0 |              1.0 |  1379.528076171875 |   0.012589254416525364 |               0.0 | 333.0 | 666.0 |
          17.0 |              1.0 | 1389.6929931640625 |  0.0003981070767622441 |               0.0 | 333.0 | 666.0 |
          17.0 |              1.0 |      1389.95703125 |   0.000977237243205309 | 882.3515014648438 | 333.0 | 666.0 |
          17.0 |              1.0 | 1396.5269775390625 |  0.0017378008924424648 | 882.3515014648438 | 333.0 | 666.0 |
          17.0 |              1.0 |    4105.9501953125 |  0.0020417377818375826 |      71958.359375 | 333.0 | 666.0 |
          17.0 |              1.0 |   4210.85986328125 |   0.004365159198641777 |      71958.359375 | 333.0 | 666.0 |
          17.0 |              1.0 |   4227.60986328125 |   0.005888436455279589 |      71958.359375 | 333.0 | 666.0 |
          17.0 |              1.0 |    4265.7802734375 |  0.0027542291209101677 |      71958.359375 | 333.0 | 666.0 |
          17.0 |              1.0 |             4364.5 |    0.01174897700548172 |     72488.5703125 | 333.0 | 666.0 |
          17.0 |              1.0 |   4370.72998046875 |   0.007943283766508102 |     72827.0390625 | 333.0 | 666.0 |
          17.0 |              1.0 |    4381.1298828125 |   0.016218101605772972 |     72488.5703125 | 333.0 | 666.0 |
          17.0 |              1.0 |   4390.97998046875 |    0.03235936537384987 |      71958.359375 | 333.0 | 666.0 |
          17.0 |              1.0 |    4391.6298828125 |  0.0045708827674388885 |     72827.0390625 | 333.0 | 666.0 |
          17.0 |              1.0 |   4404.27001953125 |   0.008511382155120373 |      71958.359375 | 333.0 | 666.0 |
          17.0 |              1.0 |     4439.740234375 |   0.024547088891267776 |      71958.359375 | 333.0 | 666.0 |
          17.0 |              1.0 |   4476.56005859375 |   0.007762473076581955 |     72488.5703125 | 333.0 | 666.0 |
          17.0 |              1.0 |    4527.4599609375 |    0.06309572607278824 |       74225.84375 | 333.0 | 666.0 |
          17.0 |              1.0 |   4602.27001953125 |    0.02691534534096718 |     74865.6640625 | 333.0 | 666.0 |
          17.0 |              1.0 |   4625.23291015625 |   0.005754399113357067 |     74865.6640625 | 333.0 | 666.0 |
          17.0 |              1.0 |    4655.3427734375 |   0.006309572607278824 |       74225.84375 | 333.0 | 666.0 |
          17.0 |              1.0 |   4662.51318359375 |   0.015488168224692345 |     74865.6640625 | 333.0 | 666.0 |
          17.0 |              1.0 |       4692.8359375 |   0.007244357839226723 |       74225.84375 | 333.0 | 666.0 |
          17.0 |              1.0 |     4722.576171875 |   0.004168692510575056 |       74225.84375 | 333.0 | 666.0 |
          17.0 |              1.0 |   4742.05517578125 |   0.005623413249850273 |       74225.84375 | 333.0 | 666.0 |
          17.0 |              1.0 |    5101.2099609375 |   0.006606933660805225 |     74865.6640625 | 333.0 | 666.0 |
          17.0 |              1.0 |    7258.6201171875 |    0.47863009572029114 |      71958.359375 | 333.0 | 666.0 |
          17.0 |              1.0 |   7416.14990234375 |    0.15488165616989136 |      71958.359375 | 333.0 | 666.0 |
          17.0 |              1.0 |   7549.14990234375 |    0.40738028287887573 |     72488.5703125 | 333.0 | 666.0 |
          17.0 |              1.0 |    7704.9482421875 |   0.019054606556892395 |      82918.890625 | 333.0 | 666.0 |
          17.0 |              1.0 |     7719.705078125 |    0.10715192556381226 |     72488.5703125 | 333.0 | 666.0 |
          17.0 |              1.0 |   7747.10009765625 |      0.229086771607399 |     72827.0390625 | 333.0 | 666.0 |
          17.0 |              1.0 |    7771.2998046875 |     0.3235936462879181 |      82918.890625 | 333.0 | 666.0 |
          17.0 |              1.0 |   7773.22998046875 |   0.043651580810546875 |     83130.8984375 | 333.0 | 666.0 |
          17.0 |              1.0 |   7823.51025390625 |     0.7244359850883484 |      82918.890625 | 333.0 | 666.0 |
          17.0 |              1.0 |   7832.89990234375 |     0.3548133969306946 |     83130.8984375 | 333.0 | 666.0 |
          17.0 |              1.0 |   7880.39013671875 |    0.10000000149011612 |      71958.359375 | 333.0 | 666.0 |
          17.0 |              1.0 |   7901.47998046875 |    0.28840312361717224 |     83130.8984375 | 333.0 | 666.0 |
          17.0 |              1.0 |   7917.26025390625 |     0.1148153617978096 |     83364.9296875 | 333.0 | 666.0 |
          17.0 |              1.0 |    7926.8251953125 |    0.07943282276391983 |     72827.0390625 | 333.0 | 666.0 |
          17.0 |              1.0 |   7937.19482421875 |     0.2951209545135498 |      84132.265625 | 333.0 | 666.0 |
          17.0 |              1.0 |      7979.16015625 |    0.15488165616989136 |     83364.9296875 | 333.0 | 666.0 |
