 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          17.0 |             13.0 |          5743.825 |       0.0 |        0.0 |   1.0 |   2.0 |
          17.0 |             13.0 |           473.328 | 0.0001155 |        0.0 |   1.0 |   3.0 |
          17.0 |             13.0 |           515.836 |  7.42e-05 |    17410.0 |   2.0 |   3.0 |
          17.0 |             13.0 |           459.263 | 5.605e-06 |        0.0 |   1.0 |   4.0 |
          17.0 |             13.0 |         15455.951 |       0.0 |   211270.0 |   3.0 |   4.0 |
          17.0 |             13.0 |           499.176 |  5.34e-05 |    17410.0 |   2.0 |   4.0 |
          17.0 |             13.0 |           478.011 | 0.0002888 |    17410.0 |   2.0 |   5.0 |
          17.0 |             13.0 |           264.711 |    0.1257 |        0.0 |   1.0 |   6.0 |
          17.0 |             13.0 |             277.5 |   0.01346 |    17410.0 |   2.0 |   6.0 |
          17.0 |             13.0 |           277.085 |    0.1957 |    17410.0 |   2.0 |   7.0 |
          17.0 |             13.0 |           209.811 |    0.2345 |        0.0 |   1.0 |   8.0 |
          17.0 |             13.0 |           217.765 |   0.02176 |    17410.0 |   2.0 |   8.0 |
          17.0 |             13.0 |           198.373 |  0.004743 |        0.0 |   1.0 |   9.0 |
          17.0 |             13.0 |            205.47 |    0.1874 |    17410.0 |   2.0 |   9.0 |
          17.0 |             13.0 |           195.236 |   0.08343 |        0.0 |   1.0 |  10.0 |
          17.0 |             13.0 |           202.106 |    0.4791 |    17410.0 |   2.0 |  10.0 |
          17.0 |             13.0 |           224.568 |    0.2212 |   217740.0 |   4.0 |  11.0 |
          17.0 |             13.0 |           350.545 | 1.774e-05 |   377770.0 |   6.0 |  11.0 |
          17.0 |             13.0 |           662.954 | 0.0003883 |   512200.0 |  10.0 |  11.0 |
          17.0 |             13.0 |           221.352 |    0.1122 |   211270.0 |   3.0 |  11.0 |
          17.0 |             13.0 |           536.423 | 0.0001746 |   476620.0 |   8.0 |  11.0 |
          17.0 |             13.0 |           229.132 |    0.3241 |   226610.0 |   5.0 |  11.0 |
          17.0 |             13.0 |            351.21 | 1.122e-05 |   378310.0 |   7.0 |  11.0 |
          17.0 |             13.0 |           188.048 | 0.0005512 |   217740.0 |   4.0 |  12.0 |
          17.0 |             13.0 |           268.998 |    0.2117 |   377770.0 |   6.0 |  12.0 |
          17.0 |             13.0 |           421.372 |   0.01492 |   512200.0 |  10.0 |  12.0 |
          17.0 |             13.0 |           185.787 | 9.356e-06 |   211270.0 |   3.0 |  12.0 |
          17.0 |             13.0 |           366.435 |    0.1697 |   476620.0 |   8.0 |  12.0 |
          17.0 |             13.0 |           191.237 | 1.191e-05 |   226610.0 |   5.0 |  12.0 |
          17.0 |             13.0 |           407.465 |   0.01431 |   504100.0 |   9.0 |  12.0 |
          17.0 |             13.0 |           269.389 |   0.05125 |   378310.0 |   7.0 |  12.0 |
          17.0 |             13.0 |           187.674 | 5.062e-05 |   217740.0 |   4.0 |  13.0 |
          17.0 |             13.0 |           268.233 |   0.04051 |   377770.0 |   6.0 |  13.0 |
          17.0 |             13.0 |           419.498 |    0.2455 |   512200.0 |  10.0 |  13.0 |
          17.0 |             13.0 |           190.851 |  0.001671 |   226610.0 |   5.0 |  13.0 |
          17.0 |             13.0 |           268.622 |    0.3791 |   378310.0 |   7.0 |  13.0 |
          17.0 |             13.0 |           160.635 | 1.702e-05 |   217740.0 |   4.0 |  14.0 |
          17.0 |             13.0 |           216.216 |    0.1538 |   377770.0 |   6.0 |  14.0 |
          17.0 |             13.0 |           304.813 |   0.05015 |   512200.0 |  10.0 |  14.0 |
          17.0 |             13.0 |           158.983 | 6.133e-05 |   211270.0 |   3.0 |  14.0 |
          17.0 |             13.0 |            274.99 |   0.06653 |   476620.0 |   8.0 |  14.0 |
          17.0 |             13.0 |           297.469 |   0.09956 |   504100.0 |   9.0 |  14.0 |
          17.0 |             13.0 |           159.913 | 0.0003448 |   217740.0 |   4.0 |  15.0 |
          17.0 |             13.0 |            214.91 |    0.0424 |   377770.0 |   6.0 |  15.0 |
          17.0 |             13.0 |           302.224 |    0.3339 |   512200.0 |  10.0 |  15.0 |
          17.0 |             13.0 |           158.275 | 1.193e-05 |   211270.0 |   3.0 |  15.0 |
          17.0 |             13.0 |           272.881 |   0.08115 |   476620.0 |   8.0 |  15.0 |
          17.0 |             13.0 |           162.214 | 0.0001742 |   226610.0 |   5.0 |  15.0 |
          17.0 |             13.0 |           295.003 |   0.03861 |   504100.0 |   9.0 |  15.0 |
          17.0 |             13.0 |            215.16 |    0.2277 |   378310.0 |   7.0 |  15.0 |
          17.0 |             13.0 |            38.557 |       0.0 |   377770.0 |   6.0 |  16.0 |
          17.0 |             13.0 |           33.6549 |   0.04305 |        0.0 |   1.0 |  16.0 |
          17.0 |             13.0 |           33.8533 |   0.09018 |    17410.0 |   2.0 |  16.0 |
          17.0 |             13.0 |            38.565 |       0.0 |   378310.0 |   7.0 |  16.0 |
          17.0 |             13.0 |           46.9869 | 4.369e-06 |   843080.0 |  15.0 |  16.0 |
          17.0 |             13.0 |           34.9794 | 2.117e-05 |   217740.0 |   4.0 |  17.0 |
          17.0 |             13.0 |           37.0536 |   0.01525 |   377770.0 |   6.0 |  17.0 |
          17.0 |             13.0 |            38.996 | 0.0002051 |   512200.0 |  10.0 |  17.0 |
          17.0 |             13.0 |           950.256 |    0.1434 |  2971331.5 |  16.0 |  17.0 |
          17.0 |             13.0 |           34.9004 | 4.132e-06 |   211270.0 |   3.0 |  17.0 |
          17.0 |             13.0 |           32.6887 |       0.0 |    17410.0 |   2.0 |  17.0 |
          17.0 |             13.0 |           38.4623 | 0.0001096 |   476620.0 |   8.0 |  17.0 |
          17.0 |             13.0 |           38.8732 |  0.002573 |   504100.0 |   9.0 |  17.0 |
          17.0 |             13.0 |           34.9208 | 4.691e-07 |   217740.0 |   4.0 |  18.0 |
          17.0 |             13.0 |           36.9878 |   0.00271 |   377770.0 |   6.0 |  18.0 |
          17.0 |             13.0 |           32.4532 |       0.0 |        0.0 |   1.0 |  18.0 |
          17.0 |             13.0 |           38.9232 |  0.002335 |   512200.0 |  10.0 |  18.0 |
          17.0 |             13.0 |           908.831 |    0.2983 |  2971331.5 |  16.0 |  18.0 |
          17.0 |             13.0 |           34.8421 | 9.677e-07 |   211270.0 |   3.0 |  18.0 |
          17.0 |             13.0 |           32.6376 |       0.0 |    17410.0 |   2.0 |  18.0 |
          17.0 |             13.0 |           38.3915 |  0.001946 |   476620.0 |   8.0 |  18.0 |
          17.0 |             13.0 |           35.0293 | 0.0001639 |   226610.0 |   5.0 |  18.0 |
          17.0 |             13.0 |           38.8009 |  0.002272 |   504100.0 |   9.0 |  18.0 |
          17.0 |             13.0 |           36.9952 |    0.0271 |   378310.0 |   7.0 |  18.0 |
          17.0 |             13.0 |           31.4653 |     1.275 |        0.0 |   1.0 |  19.0 |
          17.0 |             13.0 |           41.1763 | 0.0001501 |   749520.0 |  12.0 |  19.0 |
          17.0 |             13.0 |           31.6387 |    0.2551 |    17410.0 |   2.0 |  19.0 |
          17.0 |             13.0 |           958.777 |    0.1998 |  3076566.2 |  17.0 |  19.0 |
          17.0 |             13.0 |          1004.997 |   0.03831 |  3081363.0 |  18.0 |  19.0 |
          17.0 |             13.0 |           41.1621 | 0.0002266 |   750580.0 |  13.0 |  20.0 |
          17.0 |             13.0 |           31.6197 |     2.293 |    17410.0 |   2.0 |  20.0 |
          17.0 |             13.0 |           990.604 |    0.3496 |  3081363.0 |  18.0 |  20.0 |
          17.0 |             13.0 |           33.6665 |    0.1292 |   217740.0 |   4.0 |  21.0 |
          17.0 |             13.0 |           35.5836 | 0.0001837 |   377770.0 |   6.0 |  21.0 |
          17.0 |             13.0 |           37.3713 | 1.719e-05 |   512200.0 |  10.0 |  21.0 |
          17.0 |             13.0 |           33.5933 |   0.02597 |   211270.0 |   3.0 |  21.0 |
          17.0 |             13.0 |           36.8809 | 3.299e-06 |   476620.0 |   8.0 |  21.0 |
          17.0 |             13.0 |           37.2585 | 2.672e-05 |   504100.0 |   9.0 |  21.0 |
          17.0 |             13.0 |           33.6036 |   0.04027 |   217740.0 |   4.0 |  22.0 |
          17.0 |             13.0 |           35.5133 | 0.0003849 |   377770.0 |   6.0 |  22.0 |
          17.0 |             13.0 |           449.882 |  0.001063 |  2971331.5 |  16.0 |  22.0 |
          17.0 |             13.0 |           33.5307 |    0.1291 |   211270.0 |   3.0 |  22.0 |
          17.0 |             13.0 |           36.8054 | 2.488e-06 |   476620.0 |   8.0 |  22.0 |
          17.0 |             13.0 |            33.704 |    0.1419 |   226610.0 |   5.0 |  22.0 |
          17.0 |             13.0 |           37.1815 | 9.865e-05 |   504100.0 |   9.0 |  22.0 |
          17.0 |             13.0 |           35.5202 | 0.0005535 |   378310.0 |   7.0 |  22.0 |
          17.0 |             13.0 |           33.4855 |    0.1429 |   217740.0 |   4.0 |  23.0 |
          17.0 |             13.0 |           35.3815 | 6.111e-05 |   377770.0 |   6.0 |  23.0 |
          17.0 |             13.0 |           37.1484 | 3.765e-05 |   512200.0 |  10.0 |  23.0 |
          17.0 |             13.0 |           33.5853 |    0.3297 |   226610.0 |   5.0 |  23.0 |
          17.0 |             13.0 |           35.3883 |  0.001101 |   378310.0 |   7.0 |  23.0 |
