 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          17.0 |             15.0 |           415.526 |    0.0561 |        0.0 |   1.0 |   2.0 |
          17.0 |             15.0 |           383.941 |    0.1213 |        0.0 |   1.0 |   3.0 |
          17.0 |             15.0 |            29.223 |   0.07795 |   260457.0 |   3.0 |   4.0 |
          17.0 |             15.0 |            29.055 |    0.0374 |   240659.0 |   2.0 |   4.0 |
          17.0 |             15.0 |            28.667 |       0.0 |   260457.0 |   3.0 |   5.0 |
          17.0 |             15.0 |            26.675 |    0.2357 |        0.0 |   1.0 |   5.0 |
          17.0 |             15.0 |          1506.024 |   0.09425 |  3682400.0 |   4.0 |   5.0 |
          17.0 |             15.0 |            28.622 |       0.0 |   260457.0 |   3.0 |   6.0 |
          17.0 |             15.0 |            26.636 |    0.4654 |        0.0 |   1.0 |   6.0 |
          17.0 |             15.0 |            28.461 |       0.0 |   240659.0 |   2.0 |   6.0 |
          17.0 |             15.0 |          1390.821 |    0.2044 |  3682400.0 |   4.0 |   6.0 |
          17.0 |             15.0 |            28.416 |    0.2702 |   260457.0 |   3.0 |   7.0 |
          17.0 |             15.0 |            26.458 |       0.0 |        0.0 |   1.0 |   7.0 |
          17.0 |             15.0 |            28.257 |     1.346 |   240659.0 |   2.0 |   7.0 |
          17.0 |             15.0 |            28.403 |     2.431 |   260457.0 |   3.0 |   8.0 |
          17.0 |             15.0 |            26.447 |       0.0 |        0.0 |   1.0 |   8.0 |
          17.0 |             15.0 |            86.185 |       0.0 |  3781200.0 |   8.0 |   9.0 |
          17.0 |             15.0 |            21.363 |     0.016 |   260457.0 |   3.0 |   9.0 |
          17.0 |             15.0 |            84.232 |    0.1796 |  3754300.0 |   6.0 |   9.0 |
          17.0 |             15.0 |            86.066 |       0.0 |  3779600.0 |   7.0 |   9.0 |
          17.0 |             15.0 |            21.273 |  0.007432 |   240659.0 |   2.0 |   9.0 |
          17.0 |             15.0 |            83.843 |   0.08641 |  3748800.0 |   5.0 |   9.0 |
          17.0 |             15.0 |            21.239 |       0.0 |   260457.0 |   3.0 |  10.0 |
          17.0 |             15.0 |            82.345 |       0.0 |  3754300.0 |   6.0 |  10.0 |
          17.0 |             15.0 |            84.097 |   0.04416 |  3779600.0 |   7.0 |  10.0 |
          17.0 |             15.0 |            20.126 |   0.05853 |        0.0 |   1.0 |  10.0 |
          17.0 |             15.0 |          3676.471 |    0.1304 |  4941500.0 |   9.0 |  10.0 |
          17.0 |             15.0 |            77.742 |    0.2565 |  3682400.0 |   4.0 |  10.0 |
          17.0 |             15.0 |            84.005 |   0.07833 |  3781200.0 |   8.0 |  11.0 |
          17.0 |             15.0 |            21.226 |       0.0 |   260457.0 |   3.0 |  11.0 |
          17.0 |             15.0 |            82.149 |       0.0 |  3754300.0 |   6.0 |  11.0 |
          17.0 |             15.0 |            83.893 |  0.008551 |  3779600.0 |   7.0 |  11.0 |
          17.0 |             15.0 |            20.114 |    0.1167 |        0.0 |   1.0 |  11.0 |
          17.0 |             15.0 |            21.137 |       0.0 |   240659.0 |   2.0 |  11.0 |
          17.0 |             15.0 |          3322.259 |    0.2836 |  4941500.0 |   9.0 |  11.0 |
          17.0 |             15.0 |             81.78 |       0.0 |  3748800.0 |   5.0 |  11.0 |
          17.0 |             15.0 |            77.567 |    0.5051 |  3682400.0 |   4.0 |  11.0 |
          17.0 |             15.0 |            21.182 |   0.04862 |   260457.0 |   3.0 |  12.0 |
          17.0 |             15.0 |            81.486 |    0.2343 |  3754300.0 |   6.0 |  12.0 |
          17.0 |             15.0 |            83.202 |       0.0 |  3779600.0 |   7.0 |  12.0 |
          17.0 |             15.0 |            20.074 |       0.0 |        0.0 |   1.0 |  12.0 |
          17.0 |             15.0 |            21.093 |     0.243 |   240659.0 |   2.0 |  12.0 |
          17.0 |             15.0 |            81.123 |     1.157 |  3748800.0 |   5.0 |  12.0 |
          17.0 |             15.0 |            76.976 |       0.0 |  3682400.0 |   4.0 |  12.0 |
          17.0 |             15.0 |             21.18 |      0.44 |   260457.0 |   3.0 |  13.0 |
          17.0 |             15.0 |             81.46 |     2.107 |  3754300.0 |   6.0 |  13.0 |
          17.0 |             15.0 |            20.073 |       0.0 |        0.0 |   1.0 |  13.0 |
          17.0 |             15.0 |            76.953 |       0.0 |  3682400.0 |   4.0 |  13.0 |
          17.0 |             15.0 |            83.195 |    0.2901 |  3781200.0 |   8.0 |  14.0 |
          17.0 |             15.0 |            21.174 |       0.0 |   260457.0 |   3.0 |  14.0 |
          17.0 |             15.0 |            81.374 |       0.0 |  3754300.0 |   6.0 |  14.0 |
          17.0 |             15.0 |            83.084 |     4.057 |  3779600.0 |   7.0 |  14.0 |
          17.0 |             15.0 |            21.086 |       0.0 |   240659.0 |   2.0 |  14.0 |
          17.0 |             15.0 |            81.011 |       0.0 |  3748800.0 |   5.0 |  14.0 |
          17.0 |             15.0 |            83.188 |     5.805 |  3781200.0 |   8.0 |  15.0 |
          17.0 |             15.0 |            81.367 |       0.0 |  3754300.0 |   6.0 |  15.0 |
          17.0 |             15.0 |            57.598 |       0.0 |  3781200.0 |   8.0 |  16.0 |
          17.0 |             15.0 |            19.021 |  0.005797 |   260457.0 |   3.0 |  16.0 |
          17.0 |             15.0 |           186.829 |       0.0 |  4981900.0 |  13.0 |  16.0 |
          17.0 |             15.0 |           182.985 |    0.2876 |  4971600.0 |  11.0 |  16.0 |
          17.0 |             15.0 |           186.562 |       0.0 |  4981500.0 |  12.0 |  16.0 |
          17.0 |             15.0 |            56.714 |   0.03744 |  3754300.0 |   6.0 |  16.0 |
          17.0 |             15.0 |            57.538 |       0.0 |  3779600.0 |   7.0 |  16.0 |
          17.0 |             15.0 |            18.951 |   0.00244 |   240659.0 |   2.0 |  16.0 |
          17.0 |             15.0 |           182.185 |    0.1388 |  4968700.0 |  10.0 |  16.0 |
          17.0 |             15.0 |             56.53 |   0.01749 |  3748800.0 |   5.0 |  16.0 |
          17.0 |             15.0 |            18.971 |       0.0 |   260457.0 |   3.0 |  17.0 |
          17.0 |             15.0 |           178.465 |       0.0 |  4971600.0 |  11.0 |  17.0 |
