 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          17.0 |             16.0 |            4.4972 |       0.0 |        0.0 |  1.0 |  2.0 |
          17.0 |             16.0 |           706.015 |   0.01515 | 22236180.0 |  2.0 |  4.0 |
          17.0 |             16.0 |            4.4679 |  0.009485 |        0.0 |  1.0 |  5.0 |
          17.0 |             16.0 |           686.059 |   0.04599 | 22236180.0 |  2.0 |  5.0 |
          17.0 |             16.0 |            4.4645 |       0.0 |        0.0 |  1.0 |  6.0 |
          17.0 |             16.0 |           613.798 |   0.08742 | 22236180.0 |  2.0 |  6.0 |
          17.0 |             16.0 |            4.4443 |     0.753 |        0.0 |  1.0 |  7.0 |
          17.0 |             16.0 |           903.506 |   0.05223 | 22390000.0 |  3.0 |  7.0 |
          17.0 |             16.0 |            25.403 |  0.001508 | 22377820.0 |  4.0 |  8.0 |
          17.0 |             16.0 |           25.4296 |   0.01374 | 22381940.0 |  5.0 |  8.0 |
          17.0 |             16.0 |           25.5411 |   0.03778 | 22399100.0 |  6.0 |  8.0 |
          17.0 |             16.0 |           25.9446 |   0.04077 | 22500680.0 |  7.0 |  9.0 |
          17.0 |             16.0 |           24.2884 |    0.1222 | 22236180.0 |  2.0 | 10.0 |
          17.0 |             16.0 |            3.7944 |  0.001908 |        0.0 |  1.0 | 11.0 |
          17.0 |             16.0 |            24.281 |    0.3624 | 22236180.0 |  2.0 | 11.0 |
          17.0 |             16.0 |            25.223 |  0.004544 | 22390000.0 |  3.0 | 11.0 |
          17.0 |             16.0 |           24.2509 |    0.6128 | 22236180.0 |  2.0 | 12.0 |
          17.0 |             16.0 |            3.7897 |    0.1452 |        0.0 |  1.0 | 13.0 |
          17.0 |             16.0 |           24.0901 |  0.004773 | 22236180.0 |  2.0 | 13.0 |
          17.0 |             16.0 |           25.0171 |    0.3511 | 22390000.0 |  3.0 | 13.0 |
          17.0 |             16.0 |           24.9778 |   0.07782 | 22377820.0 |  4.0 | 14.0 |
          17.0 |             16.0 |           25.0036 |    0.1742 | 22381940.0 |  5.0 | 14.0 |
          17.0 |             16.0 |           25.1113 |    0.8683 | 22399100.0 |  6.0 | 14.0 |
          17.0 |             16.0 |           25.0034 |    0.5229 | 22381940.0 |  5.0 | 15.0 |
          17.0 |             16.0 |           25.1112 |    0.2897 | 22399100.0 |  6.0 | 15.0 |
          17.0 |             16.0 |           25.0984 |     1.627 | 22399100.0 |  6.0 | 16.0 |
