 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |   E_i(cm^-1) |     i |     j |
          27.0 |              9.0 | 234.60800170898438 | 3.8904399843886495e-05 |          0.0 |   1.0 |   3.0 |
          27.0 |              9.0 | 234.01199340820312 | 0.00016180799866560847 |          0.0 |   1.0 |   4.0 |
          27.0 |              9.0 | 233.00999450683594 |  2.254240030197252e-07 |          0.0 |   1.0 |   5.0 |
          27.0 |              9.0 | 221.44500732421875 |  8.790400170255452e-05 |          0.0 |   1.0 |   9.0 |
          27.0 |              9.0 |  219.8820037841797 |  0.0015922000166028738 |          0.0 |   1.0 |  11.0 |
          27.0 |              9.0 |  219.6320037841797 |  9.549999958835542e-05 |          0.0 |   1.0 |  12.0 |
          27.0 |              9.0 | 218.21400451660156 |  5.432399848359637e-05 |          0.0 |   1.0 |  13.0 |
          27.0 |              9.0 | 216.02200317382812 |   0.007178000174462795 |          0.0 |   1.0 |  14.0 |
          27.0 |              9.0 | 215.28399658203125 |   0.007447199895977974 |          0.0 |   1.0 |  15.0 |
          27.0 |              9.0 | 213.57400512695312 |   0.058479998260736465 |          0.0 |   1.0 |  18.0 |
          27.0 |              9.0 | 212.48199462890625 | 0.00017782799841370434 |          0.0 |   1.0 |  19.0 |
          27.0 |              9.0 |   212.322998046875 | 1.1939999922105926e-06 |          0.0 |   1.0 |  20.0 |
          27.0 |              9.0 |  209.9199981689453 |   0.005395200103521347 |          0.0 |   1.0 |  22.0 |
          27.0 |              9.0 | 206.39500427246094 | 0.00038194400258362293 |          0.0 |   1.0 |  24.0 |
          27.0 |              9.0 | 200.10000610351562 |    0.07852400094270706 |          0.0 |   1.0 |  30.0 |
          27.0 |              9.0 | 199.94400024414062 |   0.025941599160432816 |          0.0 |   1.0 |  31.0 |
          27.0 |              9.0 | 199.13299560546875 |  0.0031622799579054117 |          0.0 |   1.0 |  32.0 |
          27.0 |              9.0 |            197.875 |   0.003411920042708516 |          0.0 |   1.0 |  33.0 |
          27.0 |              9.0 | 193.21400451660156 |  0.0042755999602377415 |          0.0 |   1.0 |  34.0 |
          27.0 |              9.0 | 191.23899841308594 |   0.004017999861389399 |          0.0 |   1.0 |  35.0 |
          27.0 |              9.0 |  190.0749969482422 |  0.0006652799784205854 |          0.0 |   1.0 |  36.0 |
          27.0 |              9.0 |  190.0659942626953 |  0.0012388000031933188 |          0.0 |   1.0 |  37.0 |
          27.0 |              9.0 | 182.47300720214844 |   0.002818400040268898 |          0.0 |   1.0 |  41.0 |
          27.0 |              9.0 |  178.3090057373047 |     0.0039083999581635 |          0.0 |   1.0 |  42.0 |
