 Atomic Number | Ionization State |  Wavelength (Ang.) |              g_i*f_ik | E_i(cm^-1) |   i |   j |
          27.0 |             14.0 |             56.115 |    1.6982436524617444 |    54921.0 | 1.0 | 2.0 |
          27.0 |             14.0 |             73.402 |     5.248074602497725 |   597250.0 | 1.0 | 2.0 |
          27.0 |             14.0 |            163.353 |  0.006456542290346556 |        0.0 | 1.0 | 2.0 |
          27.0 |             14.0 |            174.037 |   0.13489628825916536 |    22661.0 | 1.0 | 2.0 |
          27.0 |             14.0 |             184.41 |    2.5703957827688635 |    54921.0 | 1.0 | 2.0 |
          27.0 |             14.0 |             190.82 |    2.6915348039269156 |    22661.0 | 1.0 | 2.0 |
          27.0 |             14.0 |             195.66 |     1.023292992280754 |   101080.0 | 1.0 | 2.0 |
          27.0 |             14.0 |             203.34 |  0.019498445997580455 |    54921.0 | 1.0 | 2.0 |
          27.0 |             14.0 | 298.41999999999996 |   0.24547089156850305 |    22661.0 | 1.0 | 2.0 |
          27.0 |             14.0 |             334.21 |   0.14125375446227545 |    11844.0 | 1.0 | 2.0 |
          27.0 |             14.0 |             342.21 |   0.17378008287493754 |    22661.0 | 1.0 | 2.0 |
          27.0 |             14.0 |             346.75 | 0.0031622776601683794 |    22661.0 | 1.0 | 2.0 |
          27.0 |             14.0 | 384.68000000000006 |  0.018620871366628676 |    54921.0 | 1.0 | 2.0 |
%NIST
