 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik | E_i(cm^-1) |   i |   j |
          27.0 |             15.0 | 197.55400000000003 |   0.9120108393559098 |        0.0 | 1.0 | 2.0 |
          27.0 |             15.0 |            205.848 |     1.62181009735893 |    22979.0 | 1.0 | 2.0 |
          27.0 |             15.0 | 206.92399999999998 |   0.2344228815319922 |    22979.0 | 1.0 | 2.0 |
          27.0 |             15.0 | 234.38500000000002 |  0.28183829312644537 |        0.0 | 1.0 | 2.0 |
          27.0 |             15.0 |            239.376 |  0.22387211385683395 |        0.0 | 1.0 | 2.0 |
          27.0 |             15.0 |             247.74 |   1.3489628825916535 |    22979.0 | 1.0 | 2.0 |
          27.0 |             15.0 |            253.326 |    0.457088189614875 |    22979.0 | 1.0 | 2.0 |
          27.0 |             15.0 | 255.82799999999997 |  0.28840315031266056 |   242124.0 | 1.0 | 2.0 |
          27.0 |             15.0 |            255.852 |    0.436515832240166 |        0.0 | 1.0 | 2.0 |
          27.0 |             15.0 |            262.249 |   0.5370317963702527 |   251699.0 | 1.0 | 2.0 |
          27.0 |             15.0 |            270.378 |   0.7413102413009175 |   263189.0 | 1.0 | 2.0 |
          27.0 |             15.0 |             271.83 | 0.016982436524617443 |    22979.0 | 1.0 | 2.0 |
          27.0 |             15.0 |            309.849 |   0.1548816618912481 |        0.0 | 1.0 | 2.0 |
          27.0 |             15.0 |            330.247 |  0.20417379446695297 |    22979.0 | 1.0 | 2.0 |
          27.0 |             15.0 |             333.62 | 0.003981071705534973 |    22979.0 | 1.0 | 2.0 |
%NIST
