 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          27.0 |             17.0 |           339.516 |    0.2383 |        0.0 |   1.0 |   2.0 |
          27.0 |             17.0 |           312.558 |    0.5188 |        0.0 |   1.0 |   3.0 |
          27.0 |             17.0 |           249.831 |    0.1056 |   319940.2 |   3.0 |   4.0 |
          27.0 |             17.0 |           138.848 |       0.0 |        0.0 |   1.0 |   4.0 |
          27.0 |             17.0 |           234.921 |    0.5566 |   294537.1 |   2.0 |   4.0 |
          27.0 |             17.0 |            247.54 |    0.9646 |   319940.2 |   3.0 |   5.0 |
          27.0 |             17.0 |           138.138 |       0.0 |        0.0 |   1.0 |   5.0 |
          27.0 |             17.0 |            73.766 |       0.0 |   723915.1 |   5.0 |   6.0 |
          27.0 |             17.0 |            56.831 |    0.2551 |   319940.2 |   3.0 |   6.0 |
          27.0 |             17.0 |            73.565 |       0.0 |   720211.5 |   4.0 |   6.0 |
          27.0 |             17.0 |            56.022 |    0.1183 |   294537.1 |   2.0 |   6.0 |
          27.0 |             17.0 |            53.289 |       0.0 |   319940.2 |   3.0 |   7.0 |
          27.0 |             17.0 |            67.737 |    0.1293 |   720211.5 |   4.0 |   7.0 |
          27.0 |             17.0 |            45.527 |    0.1556 |        0.0 |   1.0 |   7.0 |
          27.0 |             17.0 |           855.063 |    0.3464 |  2079549.5 |   6.0 |   7.0 |
          27.0 |             17.0 |            67.446 |    0.2232 |   723915.1 |   5.0 |   8.0 |
          27.0 |             17.0 |            53.004 |       0.0 |   319940.2 |   3.0 |   8.0 |
          27.0 |             17.0 |            67.278 |   0.02437 |   720211.5 |   4.0 |   8.0 |
          27.0 |             17.0 |            45.319 |    0.2928 |        0.0 |   1.0 |   8.0 |
          27.0 |             17.0 |              52.3 |       0.0 |   294537.1 |   2.0 |   8.0 |
          27.0 |             17.0 |           787.211 |    0.7503 |  2079549.5 |   6.0 |   8.0 |
          27.0 |             17.0 |            61.358 |       0.0 |   723915.1 |   5.0 |   9.0 |
          27.0 |             17.0 |           49.1703 |    0.1307 |   319940.2 |   3.0 |   9.0 |
          27.0 |             17.0 |            61.219 |       0.0 |   720211.5 |   4.0 |   9.0 |
          27.0 |             17.0 |           679.766 |    0.1678 |  2206580.2 |   8.0 |   9.0 |
          27.0 |             17.0 |           42.4865 |       0.0 |        0.0 |   1.0 |   9.0 |
          27.0 |             17.0 |           48.5637 |    0.6239 |   294537.1 |   2.0 |   9.0 |
          27.0 |             17.0 |           636.174 |    0.8896 |  2196500.0 |   7.0 |   9.0 |
          27.0 |             17.0 |            61.299 |       0.0 |   723915.1 |   5.0 |  10.0 |
          27.0 |             17.0 |           49.1326 |     1.169 |   319940.2 |   3.0 |  10.0 |
          27.0 |             17.0 |            61.161 |       0.0 |   720211.5 |   4.0 |  10.0 |
          27.0 |             17.0 |           672.631 |     1.531 |  2206580.2 |   8.0 |  10.0 |
          27.0 |             17.0 |           42.4583 |       0.0 |        0.0 |   1.0 |  10.0 |
          27.0 |             17.0 |            58.967 |    0.2652 |   723915.1 |   5.0 |  11.0 |
