 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          27.0 |             18.0 |           15.4671 |       0.0 |        0.0 |   1.0 |   2.0 |
          27.0 |             18.0 |           15.4371 |    0.1276 |        0.0 |   1.0 |   3.0 |
          27.0 |             18.0 |           826.084 |       0.0 |  6465333.0 |   2.0 |   4.0 |
          27.0 |             18.0 |           952.608 |       0.0 |  6477900.0 |   3.0 |   4.0 |
          27.0 |             18.0 |            15.169 |   0.09753 |        0.0 |   1.0 |   5.0 |
          27.0 |             18.0 |           706.859 |  0.001611 |  6586386.0 |   4.0 |   6.0 |
          27.0 |             18.0 |           14.8636 |       0.0 |        0.0 |   1.0 |   6.0 |
          27.0 |             18.0 |            760.41 |  0.002148 |  6592400.0 |   5.0 |   6.0 |
          27.0 |             18.0 |           405.768 |  0.007411 |  6477900.0 |   3.0 |   6.0 |
          27.0 |             18.0 |           380.918 |    0.2488 |  6465333.0 |   2.0 |   6.0 |
          27.0 |             18.0 |           14.7993 |       0.0 |        0.0 |   1.0 |   7.0 |
          27.0 |             18.0 |           622.235 | 2.233e-05 |  6592400.0 |   5.0 |   7.0 |
          27.0 |             18.0 |            362.78 |    0.2713 |  6477900.0 |   3.0 |   7.0 |
          27.0 |             18.0 |           342.786 |    0.2446 |  6465333.0 |   2.0 |   7.0 |
          27.0 |             18.0 |           324.425 |    0.7795 |  6465333.0 |   2.0 |   8.0 |
          27.0 |             18.0 |           510.105 | 0.0003881 |  6586386.0 |   4.0 |   9.0 |
          27.0 |             18.0 |           537.418 | 0.0001085 |  6592400.0 |   5.0 |   9.0 |
          27.0 |             18.0 |           332.212 |    0.3127 |  6477900.0 |   3.0 |   9.0 |
          27.0 |             18.0 |           315.367 |   0.01373 |  6465333.0 |   2.0 |   9.0 |
          27.0 |             18.0 |           14.7098 |       0.0 |        0.0 |   1.0 |  10.0 |
          27.0 |             18.0 |           495.437 |  0.003081 |  6592400.0 |   5.0 |  10.0 |
          27.0 |             18.0 |           315.676 |    0.2677 |  6477900.0 |   3.0 |  10.0 |
          27.0 |             18.0 |           300.428 |    0.3344 |  6465333.0 |   2.0 |  10.0 |
          27.0 |             18.0 |           392.034 |   0.02755 |  6592400.0 |   5.0 |  11.0 |
          27.0 |             18.0 |           270.257 |   0.09947 |  6477900.0 |   3.0 |  11.0 |
          27.0 |             18.0 |           347.822 |    0.1205 |  6586386.0 |   4.0 |  12.0 |
          27.0 |             18.0 |           360.308 |    0.1815 |  6592400.0 |   5.0 |  12.0 |
          27.0 |             18.0 |           254.791 |  0.001323 |  6477900.0 |   3.0 |  12.0 |
          27.0 |             18.0 |           244.764 | 0.0004859 |  6465333.0 |   2.0 |  12.0 |
          27.0 |             18.0 |             315.8 |    0.2056 |  6586386.0 |   4.0 |  13.0 |
          27.0 |             18.0 |           14.4864 |       0.0 |        0.0 |   1.0 |  13.0 |
          27.0 |             18.0 |           326.059 |    0.1195 |  6592400.0 |   5.0 |  13.0 |
          27.0 |             18.0 |           237.174 | 0.0002344 |  6477900.0 |   3.0 |  13.0 |
          27.0 |             18.0 |           228.462 |   0.02154 |  6465333.0 |   2.0 |  13.0 |
          27.0 |             18.0 |           14.4779 |       0.0 |        0.0 |   1.0 |  14.0 |
          27.0 |             18.0 |           321.822 |    0.5649 |  6592400.0 |   5.0 |  14.0 |
          27.0 |             18.0 |           234.924 |  0.003055 |  6477900.0 |   3.0 |  14.0 |
          27.0 |             18.0 |           226.374 |  0.004277 |  6465333.0 |   2.0 |  14.0 |
          27.0 |             18.0 |           233.954 |    0.1237 |  6592400.0 |   5.0 |  15.0 |
          27.0 |             18.0 |           184.375 |   0.07377 |  6477900.0 |   3.0 |  15.0 |
          27.0 |             18.0 |           294.142 |  0.002982 |  6782424.0 |   9.0 |  16.0 |
          27.0 |             18.0 |           402.403 | 3.635e-05 |  6873889.0 |  12.0 |  16.0 |
          27.0 |             18.0 |           455.884 |  0.003283 |  6903042.0 |  13.0 |  16.0 |
          27.0 |             18.0 |            253.46 |    0.1186 |  6727857.0 |   6.0 |  16.0 |
          27.0 |             18.0 |           152.192 |       0.0 |  6465333.0 |   2.0 |  16.0 |
          27.0 |             18.0 |           444.636 |  0.001962 |  6907080.0 |  14.0 |  17.0 |
          27.0 |             18.0 |           247.448 |    0.2873 |  6727857.0 |   6.0 |  17.0 |
          27.0 |             18.0 |           266.721 |   0.02878 |  6757060.0 |   7.0 |  17.0 |
          27.0 |             18.0 |           286.075 |  0.001019 |  6782424.0 |   9.0 |  17.0 |
          27.0 |             18.0 |           299.588 |   0.04684 |  6798191.0 |  10.0 |  17.0 |
          27.0 |             18.0 |            14.041 |  0.008888 |        0.0 |   1.0 |  17.0 |
