 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          27.0 |             23.0 |           717.927 |       0.0 |        0.0 |   1.0 |   2.0 |
          27.0 |             23.0 |           231.717 |  0.001907 |        0.0 |   1.0 |   3.0 |
          27.0 |             23.0 |           342.149 |  0.001105 |   139290.0 |   2.0 |   3.0 |
          27.0 |             23.0 |           200.292 | 0.0001435 |        0.0 |   1.0 |   4.0 |
          27.0 |             23.0 |          1476.887 |       0.0 |   431560.0 |   3.0 |   4.0 |
          27.0 |             23.0 |           277.793 |  0.001064 |   139290.0 |   2.0 |   4.0 |
          27.0 |             23.0 |          1653.166 |       0.0 |   499270.0 |   4.0 |   5.0 |
          27.0 |             23.0 |           237.829 |   0.01035 |   139290.0 |   2.0 |   5.0 |
          27.0 |             23.0 |            126.82 |    0.2414 |        0.0 |   1.0 |   6.0 |
          27.0 |             23.0 |           154.029 | 0.0002672 |   139290.0 |   2.0 |   6.0 |
          27.0 |             23.0 |           147.089 |     0.253 |   139290.0 |   2.0 |   7.0 |
          27.0 |             23.0 |            110.71 |    0.1564 |        0.0 |   1.0 |   8.0 |
          27.0 |             23.0 |           130.895 |  0.002664 |   139290.0 |   2.0 |   8.0 |
          27.0 |             23.0 |             95.16 |  0.003782 |        0.0 |   1.0 |   9.0 |
          27.0 |             23.0 |           109.701 |    0.2658 |   139290.0 |   2.0 |   9.0 |
          27.0 |             23.0 |              93.9 |    0.0689 |        0.0 |   1.0 |  10.0 |
          27.0 |             23.0 |            108.03 |     0.679 |   139290.0 |   2.0 |  10.0 |
          27.0 |             23.0 |            119.12 |    0.2632 |   499270.0 |   4.0 |  11.0 |
          27.0 |             23.0 |           181.739 |   0.00915 |   788520.0 |   6.0 |  11.0 |
          27.0 |             23.0 |            365.23 |  0.005876 |  1064960.0 |  10.0 |  11.0 |
          27.0 |             23.0 |           110.229 |    0.1645 |   431560.0 |   3.0 |  11.0 |
          27.0 |             23.0 |           229.621 |   0.01407 |   903260.0 |   8.0 |  11.0 |
          27.0 |             23.0 |           347.343 |  0.001797 |  1050860.0 |   9.0 |  11.0 |
          27.0 |             23.0 |            128.37 |    0.3976 |   559760.0 |   5.0 |  11.0 |
          27.0 |             23.0 |           192.452 |  0.001158 |   819150.0 |   7.0 |  11.0 |
          27.0 |             23.0 |           101.309 |    0.0412 |   499270.0 |   4.0 |  12.0 |
          27.0 |             23.0 |           143.301 |    0.1863 |   788520.0 |   6.0 |  12.0 |
          27.0 |             23.0 |            237.31 |   0.00336 |  1064960.0 |  10.0 |  12.0 |
          27.0 |             23.0 |            94.806 |  0.001053 |   431560.0 |   3.0 |  12.0 |
          27.0 |             23.0 |             171.5 |    0.2656 |   903260.0 |   8.0 |  12.0 |
          27.0 |             23.0 |           229.626 |   0.03612 |  1050860.0 |   9.0 |  12.0 |
          27.0 |             23.0 |           107.923 |   0.00591 |   559760.0 |   5.0 |  12.0 |
          27.0 |             23.0 |            149.88 |     0.142 |   819150.0 |   7.0 |  12.0 |
          27.0 |             23.0 |            97.668 | 0.0009796 |   499270.0 |   4.0 |  13.0 |
          27.0 |             23.0 |           136.123 |    0.1349 |   788520.0 |   6.0 |  13.0 |
          27.0 |             23.0 |            218.25 |    0.2922 |  1064960.0 |  10.0 |  13.0 |
          27.0 |             23.0 |             103.8 |   0.05004 |   559760.0 |   5.0 |  13.0 |
          27.0 |             23.0 |           142.045 |     0.478 |   819150.0 |   7.0 |  13.0 |
          27.0 |             23.0 |            85.262 |   0.00031 |   499270.0 |   4.0 |  14.0 |
          27.0 |             23.0 |           113.172 |    0.2396 |   788520.0 |   6.0 |  14.0 |
          27.0 |             23.0 |           164.699 |    0.0332 |  1064960.0 |  10.0 |  14.0 |
          27.0 |             23.0 |            80.608 | 0.0004692 |   431560.0 |   3.0 |  14.0 |
          27.0 |             23.0 |           130.061 |   0.01944 |   903260.0 |   8.0 |  14.0 |
          27.0 |             23.0 |           160.961 |   0.08748 |  1050860.0 |   9.0 |  14.0 |
          27.0 |             23.0 |            80.218 |  0.002754 |   499270.0 |   4.0 |  15.0 |
          27.0 |             23.0 |           104.455 |   0.06936 |   788520.0 |   6.0 |  15.0 |
          27.0 |             23.0 |           146.862 |    0.5584 |  1064960.0 |  10.0 |  15.0 |
          27.0 |             23.0 |            76.086 |  9.94e-05 |   431560.0 |   3.0 |  15.0 |
          27.0 |             23.0 |           118.679 |   0.05682 |   903260.0 |   8.0 |  15.0 |
          27.0 |             23.0 |           143.883 |   0.05858 |  1050860.0 |   9.0 |  15.0 |
          27.0 |             23.0 |            84.309 |  0.001411 |   559760.0 |   5.0 |  15.0 |
          27.0 |             23.0 |           107.907 |    0.2048 |   819150.0 |   7.0 |  15.0 |
          27.0 |             23.0 |           12.3878 |       0.0 |   788520.0 |   6.0 |  16.0 |
          27.0 |             23.0 |           13.9104 | 1.598e-06 |  1672130.0 |  14.0 |  16.0 |
          27.0 |             23.0 |             13.56 | 2.772e-06 |  1486350.0 |  12.0 |  16.0 |
          27.0 |             23.0 |           11.2854 |   0.03593 |        0.0 |   1.0 |  16.0 |
          27.0 |             23.0 |           13.2939 | 6.015e-06 |  1338760.0 |  11.0 |  16.0 |
          27.0 |             23.0 |           11.4656 |   0.08266 |   139290.0 |   2.0 |  16.0 |
          27.0 |             23.0 |            12.435 |       0.0 |   819150.0 |   7.0 |  16.0 |
          27.0 |             23.0 |           14.0546 | 5.998e-06 |  1745870.0 |  15.0 |  16.0 |
          27.0 |             23.0 |           11.6948 | 0.0002201 |   499270.0 |   4.0 |  17.0 |
          27.0 |             23.0 |           12.1043 |  0.009335 |   788520.0 |   6.0 |  17.0 |
          27.0 |             23.0 |           12.5233 | 3.602e-06 |  1064960.0 |  10.0 |  17.0 |
          27.0 |             23.0 |           528.874 |   0.08874 |  8860998.0 |  16.0 |  17.0 |
