 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          27.0 |             25.0 |           244.233 |   0.03425 |        0.0 |   1.0 |   2.0 |
          27.0 |             25.0 |           178.221 |    0.0945 |        0.0 |   1.0 |   3.0 |
          27.0 |             25.0 |           10.5287 |   0.07184 |   561101.0 |   3.0 |   4.0 |
          27.0 |             25.0 |           10.3657 |   0.03165 |   409445.0 |   2.0 |   4.0 |
          27.0 |             25.0 |           10.4044 |       0.0 |   561101.0 |   3.0 |   5.0 |
          27.0 |             25.0 |            9.8325 |    0.2526 |        0.0 |   1.0 |   5.0 |
          27.0 |             25.0 |            881.05 |   0.05792 | 10056849.0 |   4.0 |   5.0 |
          27.0 |             25.0 |           10.3578 |       0.0 |   561101.0 |   3.0 |   6.0 |
          27.0 |             25.0 |            9.7908 |    0.4863 |        0.0 |   1.0 |   6.0 |
          27.0 |             25.0 |           10.1999 |       0.0 |   409445.0 |   2.0 |   6.0 |
          27.0 |             25.0 |           637.836 |    0.1611 | 10056849.0 |   4.0 |   6.0 |
          27.0 |             25.0 |           10.3093 |    0.2718 |   561101.0 |   3.0 |   7.0 |
          27.0 |             25.0 |            9.7475 |       0.0 |        0.0 |   1.0 |   7.0 |
          27.0 |             25.0 |           10.1529 |     1.337 |   409445.0 |   2.0 |   7.0 |
          27.0 |             25.0 |           10.2943 |     2.457 |   561101.0 |   3.0 |   8.0 |
          27.0 |             25.0 |            9.7341 |       0.0 |        0.0 |   1.0 |   8.0 |
          27.0 |             25.0 |           30.7931 |       0.0 | 10273192.0 |   8.0 |   9.0 |
          27.0 |             25.0 |            7.7151 |   0.01432 |   561101.0 |   3.0 |   9.0 |
          27.0 |             25.0 |            7.6272 |  0.005705 |   409445.0 |   2.0 |   9.0 |
          27.0 |             25.0 |           30.2385 |     0.165 | 10213629.0 |   6.0 |   9.0 |
          27.0 |             25.0 |           30.6597 |       0.0 | 10259061.0 |   7.0 |   9.0 |
          27.0 |             25.0 |           29.8479 |   0.07419 | 10170350.0 |   5.0 |   9.0 |
          27.0 |             25.0 |            7.6874 |       0.0 |   561101.0 |   3.0 |  10.0 |
          27.0 |             25.0 |            7.3706 |   0.05873 |        0.0 |   1.0 |  10.0 |
          27.0 |             25.0 |           29.8175 |       0.0 | 10213629.0 |   6.0 |  10.0 |
          27.0 |             25.0 |           30.2269 |   0.04341 | 10259061.0 |   7.0 |  10.0 |
          27.0 |             25.0 |          2141.419 |   0.08032 | 13520670.0 |   9.0 |  10.0 |
          27.0 |             25.0 |           28.4858 |    0.2751 | 10056849.0 |   4.0 |  10.0 |
          27.0 |             25.0 |           30.1931 |   0.07485 | 10273192.0 |   8.0 |  11.0 |
          27.0 |             25.0 |            7.6769 |       0.0 |   561101.0 |   3.0 |  11.0 |
          27.0 |             25.0 |            7.3609 |     0.117 |        0.0 |   1.0 |  11.0 |
          27.0 |             25.0 |            7.5898 |       0.0 |   409445.0 |   2.0 |  11.0 |
          27.0 |             25.0 |           29.6597 |       0.0 | 10213629.0 |   6.0 |  11.0 |
          27.0 |             25.0 |           30.0649 |  0.007881 | 10259061.0 |   7.0 |  11.0 |
          27.0 |             25.0 |          1549.571 |     0.222 | 13520670.0 |   9.0 |  11.0 |
          27.0 |             25.0 |           29.2838 |       0.0 | 10170350.0 |   5.0 |  11.0 |
          27.0 |             25.0 |           28.3418 |    0.5281 | 10056849.0 |   4.0 |  11.0 |
          27.0 |             25.0 |           30.0226 |       0.0 | 10273192.0 |   8.0 |  12.0 |
          27.0 |             25.0 |            7.6658 |   0.04785 |   561101.0 |   3.0 |  12.0 |
          27.0 |             25.0 |            7.3508 |       0.0 |        0.0 |   1.0 |  12.0 |
          27.0 |             25.0 |             7.579 |    0.2384 |   409445.0 |   2.0 |  12.0 |
          27.0 |             25.0 |           29.4951 |    0.2379 | 10213629.0 |   6.0 |  12.0 |
          27.0 |             25.0 |           29.8957 |       0.0 | 10259061.0 |   7.0 |  12.0 |
          27.0 |             25.0 |           29.1233 |      1.15 | 10170350.0 |   5.0 |  12.0 |
          27.0 |             25.0 |           28.1915 |       0.0 | 10056849.0 |   4.0 |  12.0 |
          27.0 |             25.0 |           29.9693 |       0.0 | 10273192.0 |   8.0 |  13.0 |
          27.0 |             25.0 |            7.6623 |    0.4341 |   561101.0 |   3.0 |  13.0 |
          27.0 |             25.0 |            7.3476 |       0.0 |        0.0 |   1.0 |  13.0 |
          27.0 |             25.0 |           29.4437 |     2.128 | 10213629.0 |   6.0 |  13.0 |
          27.0 |             25.0 |           28.1445 |       0.0 | 10056849.0 |   4.0 |  13.0 |
          27.0 |             25.0 |           29.9601 |    0.2897 | 10273192.0 |   8.0 |  14.0 |
          27.0 |             25.0 |            7.6617 |       0.0 |   561101.0 |   3.0 |  14.0 |
          27.0 |             25.0 |             7.575 |       0.0 |   409445.0 |   2.0 |  14.0 |
          27.0 |             25.0 |           29.4348 |       0.0 | 10213629.0 |   6.0 |  14.0 |
          27.0 |             25.0 |           29.8338 |      4.04 | 10259061.0 |   7.0 |  14.0 |
          27.0 |             25.0 |           29.0646 |       0.0 | 10170350.0 |   5.0 |  14.0 |
          27.0 |             25.0 |           29.9334 |     5.792 | 10273192.0 |   8.0 |  15.0 |
          27.0 |             25.0 |              7.66 |       0.0 |   561101.0 |   3.0 |  15.0 |
          27.0 |             25.0 |            29.409 |       0.0 | 10213629.0 |   6.0 |  15.0 |
          27.0 |             25.0 |           20.6728 |       0.0 | 10273192.0 |   8.0 |  16.0 |
          27.0 |             25.0 |            6.8722 |  0.004707 |   561101.0 |   3.0 |  16.0 |
          27.0 |             25.0 |            66.643 |       0.0 | 13609936.0 |  13.0 |  16.0 |
          27.0 |             25.0 |            65.563 |    0.2617 | 13585204.0 |  11.0 |  16.0 |
          27.0 |             25.0 |            66.382 |       0.0 | 13604021.0 |  12.0 |  16.0 |
          27.0 |             25.0 |            6.8023 |  0.001299 |   409445.0 |   2.0 |  16.0 |
          27.0 |             25.0 |           20.4214 |    0.0328 | 10213629.0 |   6.0 |  16.0 |
          27.0 |             25.0 |           20.6126 |       0.0 | 10259061.0 |   7.0 |  16.0 |
          27.0 |             25.0 |            64.805 |    0.1171 | 13567368.0 |  10.0 |  16.0 |
          27.0 |             25.0 |           20.2425 |   0.01339 | 10170350.0 |   5.0 |  16.0 |
          27.0 |             25.0 |            6.8611 |       0.0 |   561101.0 |   3.0 |  17.0 |
          27.0 |             25.0 |            64.564 |       0.0 | 13585204.0 |  11.0 |  17.0 |
          27.0 |             25.0 |            65.358 |    0.1049 | 13604021.0 |  12.0 |  17.0 |
          27.0 |             25.0 |            6.6076 |   0.02093 |        0.0 |   1.0 |  17.0 |
          27.0 |             25.0 |           20.3234 |       0.0 | 10213629.0 |   6.0 |  17.0 |
          27.0 |             25.0 |           20.5128 |   0.00723 | 10259061.0 |   7.0 |  17.0 |
          27.0 |             25.0 |          4238.006 |    0.1032 | 15110459.0 |  16.0 |  17.0 |
          27.0 |             25.0 |            61.981 |    0.2992 | 13520670.0 |   9.0 |  17.0 |
          27.0 |             25.0 |           19.6959 |   0.06535 | 10056849.0 |   4.0 |  17.0 |
          27.0 |             25.0 |           20.5351 |   0.01376 | 10273192.0 |   8.0 |  18.0 |
          27.0 |             25.0 |            6.8569 |       0.0 |   561101.0 |   3.0 |  18.0 |
          27.0 |             25.0 |            65.233 |    0.1837 | 13609936.0 |  13.0 |  18.0 |
          27.0 |             25.0 |            64.197 |       0.0 | 13585204.0 |  11.0 |  18.0 |
          27.0 |             25.0 |            64.982 |   0.01935 | 13604021.0 |  12.0 |  18.0 |
          27.0 |             25.0 |            6.6038 |   0.04278 |        0.0 |   1.0 |  18.0 |
          27.0 |             25.0 |            6.7874 |       0.0 |   409445.0 |   2.0 |  18.0 |
          27.0 |             25.0 |           20.2869 |       0.0 | 10213629.0 |   6.0 |  18.0 |
          27.0 |             25.0 |           20.4757 |  0.001346 | 10259061.0 |   7.0 |  18.0 |
          27.0 |             25.0 |          3081.664 |    0.2839 | 15110459.0 |  16.0 |  18.0 |
          27.0 |             25.0 |             63.47 |       0.0 | 13567368.0 |  10.0 |  18.0 |
          27.0 |             25.0 |            61.643 |    0.5728 | 13520670.0 |   9.0 |  18.0 |
          27.0 |             25.0 |           20.1104 |       0.0 | 10170350.0 |   5.0 |  18.0 |
          27.0 |             25.0 |           19.6616 |    0.1298 | 10056849.0 |   4.0 |  18.0 |
          27.0 |             25.0 |           20.4949 |       0.0 | 10273192.0 |   8.0 |  19.0 |
          27.0 |             25.0 |            6.8524 |   0.01699 |   561101.0 |   3.0 |  19.0 |
          27.0 |             25.0 |            64.872 |   0.04952 | 13610966.0 |  14.0 |  19.0 |
          27.0 |             25.0 |            63.806 |    0.2307 | 13585204.0 |  11.0 |  19.0 |
          27.0 |             25.0 |            64.581 |       0.0 | 13604021.0 |  12.0 |  19.0 |
          27.0 |             25.0 |            6.5996 |       0.0 |        0.0 |   1.0 |  19.0 |
          27.0 |             25.0 |             6.783 |   0.08229 |   409445.0 |   2.0 |  19.0 |
          27.0 |             25.0 |           20.2477 |   0.05322 | 10213629.0 |   6.0 |  19.0 |
          27.0 |             25.0 |           20.4357 |       0.0 | 10259061.0 |   7.0 |  19.0 |
          27.0 |             25.0 |            63.088 |     1.101 | 13567368.0 |  10.0 |  19.0 |
          27.0 |             25.0 |            61.283 |       0.0 | 13520670.0 |   9.0 |  19.0 |
