 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik | E_i(cm^-1) |   i |   j |
          27.0 |             27.0 |         1.27358785 | 0.005013603674626475 |        0.0 | 1.0 | 2.0 |
          27.0 |             27.0 |         1.28957973 | 0.018144708686925963 |        0.0 | 1.0 | 2.0 |
          27.0 |             27.0 |          1.2897917 |  0.00897718137997898 |        0.0 | 1.0 | 2.0 |
          27.0 |             27.0 |         1.32033757 | 0.037732015137592244 |        0.0 | 1.0 | 2.0 |
          27.0 |             27.0 | 1.3207720200000002 | 0.018728802071815216 |        0.0 | 1.0 | 2.0 |
          27.0 |             27.0 | 1.3920633700000002 |  0.10280636411166463 |        0.0 | 1.0 | 2.0 |
          27.0 |             27.0 |         1.39320954 |  0.05137833190912995 |        0.0 | 1.0 | 2.0 |
          27.0 |             27.0 |         1.64730127 |   0.5364756319246502 |        0.0 | 1.0 | 2.0 |
          27.0 |             27.0 |         1.65272851 |  0.27372218618875216 |        0.0 | 1.0 | 2.0 |
%NIST
