 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          27.0 |             21.0 |           680.527 |       0.0 |        0.0 |  1.0 |  2.0 |
          27.0 |             21.0 |            522.15 |       0.0 |        0.0 |  1.0 |  3.0 |
          27.0 |             21.0 |          2243.611 |       0.0 |   146945.0 |  2.0 |  3.0 |
          27.0 |             21.0 |           356.976 |       0.0 |        0.0 |  1.0 |  4.0 |
          27.0 |             21.0 |            750.83 |       0.0 |   146945.0 |  2.0 |  4.0 |
          27.0 |             21.0 |          1128.477 |       0.0 |   191516.0 |  3.0 |  4.0 |
          27.0 |             21.0 |           278.464 |       0.0 |        0.0 |  1.0 |  5.0 |
          27.0 |             21.0 |           471.325 |       0.0 |   146945.0 |  2.0 |  5.0 |
          27.0 |             21.0 |           596.669 |       0.0 |   191516.0 |  3.0 |  5.0 |
          27.0 |             21.0 |          1266.111 |       0.0 |   280131.0 |  4.0 |  5.0 |
          27.0 |             21.0 |           125.161 |    0.1972 |        0.0 |  1.0 |  6.0 |
          27.0 |             21.0 |           153.367 |    0.0188 |   146945.0 |  2.0 |  6.0 |
          27.0 |             21.0 |            164.62 |   0.00756 |   191516.0 |  3.0 |  6.0 |
          27.0 |             21.0 |           227.345 |  0.001332 |   359113.0 |  5.0 |  6.0 |
          27.0 |             21.0 |           113.687 |    0.1616 |        0.0 |  1.0 |  7.0 |
          27.0 |             21.0 |           136.488 |  0.002048 |   146945.0 |  2.0 |  7.0 |
          27.0 |             21.0 |           145.329 |  0.000882 |   191516.0 |  3.0 |  7.0 |
          27.0 |             21.0 |           166.812 |  8.44e-05 |   280131.0 |  4.0 |  7.0 |
          27.0 |             21.0 |           192.124 |    0.0048 |   359113.0 |  5.0 |  7.0 |
          27.0 |             21.0 |           110.711 |    0.0864 |        0.0 |  1.0 |  8.0 |
          27.0 |             21.0 |           132.221 |  0.002552 |   146945.0 |  2.0 |  8.0 |
          27.0 |             21.0 |           160.482 |   0.00258 |   280131.0 |  4.0 |  8.0 |
          27.0 |             21.0 |           183.776 |  0.000102 |   359113.0 |  5.0 |  8.0 |
          27.0 |             21.0 |            90.311 |    0.0136 |        0.0 |  1.0 |  9.0 |
          27.0 |             21.0 |           104.129 |    0.3032 |   146945.0 |  2.0 |  9.0 |
          27.0 |             21.0 |           109.197 | 3.966e-05 |   191516.0 |  3.0 |  9.0 |
          27.0 |             21.0 |           120.896 |     0.027 |   280131.0 |  4.0 |  9.0 |
          27.0 |             21.0 |           133.658 |   0.00744 |   359113.0 |  5.0 |  9.0 |
          27.0 |             21.0 |            88.633 |  9.48e-05 |        0.0 |  1.0 | 10.0 |
          27.0 |             21.0 |           101.905 |  0.000476 |   146945.0 |  2.0 | 10.0 |
          27.0 |             21.0 |           106.753 |    0.3648 |   191516.0 |  3.0 | 10.0 |
          27.0 |             21.0 |           130.015 |     0.096 |   359113.0 |  5.0 | 10.0 |
          27.0 |             21.0 |              78.9 |    0.0052 |        0.0 |  1.0 | 11.0 |
          27.0 |             21.0 |            89.248 |    0.1196 |   146945.0 |  2.0 | 11.0 |
          27.0 |             21.0 |           101.287 |    0.1244 |   280131.0 |  4.0 | 11.0 |
          27.0 |             21.0 |           110.095 |    0.0084 |   359113.0 |  5.0 | 11.0 |
          27.0 |             21.0 |            75.867 |    0.0202 |        0.0 |  1.0 | 12.0 |
          27.0 |             21.0 |            85.386 |     0.064 |   146945.0 |  2.0 | 12.0 |
          27.0 |             21.0 |            88.764 |    0.5202 |   191516.0 |  3.0 | 12.0 |
          27.0 |             21.0 |            96.342 |    0.0568 |   280131.0 |  4.0 | 12.0 |
          27.0 |             21.0 |           104.277 |    0.0636 |   359113.0 |  5.0 | 12.0 |
          27.0 |             21.0 |            69.713 |   0.00015 |        0.0 |  1.0 | 13.0 |
          27.0 |             21.0 |             77.67 |    0.0536 |   146945.0 |  2.0 | 13.0 |
          27.0 |             21.0 |            86.631 |   0.00988 |   280131.0 |  4.0 | 13.0 |
          27.0 |             21.0 |            92.994 |    0.2764 |   359113.0 |  5.0 | 13.0 |
          27.0 |             21.0 |            78.697 |    0.0142 |   798974.0 |  6.0 | 14.0 |
          27.0 |             21.0 |            84.029 |   0.00948 |   879609.0 |  7.0 | 14.0 |
          27.0 |             21.0 |            85.732 |  0.003192 |   903253.0 |  8.0 | 14.0 |
          27.0 |             21.0 |           106.222 |      0.31 |  1128254.0 | 10.0 | 14.0 |
          27.0 |             21.0 |           103.908 |      0.13 |  1107290.0 |  9.0 | 14.0 |
          27.0 |             21.0 |           124.649 |    0.0932 |  1267423.0 | 11.0 | 14.0 |
          27.0 |             21.0 |           133.053 |     0.344 |  1318095.0 | 12.0 | 14.0 |
          27.0 |             21.0 |           157.424 |   0.02484 |  1434451.0 | 13.0 | 14.0 |
          27.0 |             21.0 |             75.89 |  0.000654 |   879609.0 |  7.0 | 15.0 |
          27.0 |             21.0 |            77.277 |    0.0021 |   903253.0 |  8.0 | 15.0 |
          27.0 |             21.0 |            91.742 |    0.1228 |  1107290.0 |  9.0 | 15.0 |
          27.0 |             21.0 |           107.541 |   0.01128 |  1267423.0 | 11.0 | 15.0 |
          27.0 |             21.0 |           113.738 |    0.1646 |  1318095.0 | 12.0 | 15.0 |
          27.0 |             21.0 |           131.087 |    0.1772 |  1434451.0 | 13.0 | 15.0 |
%CHIANTI
