 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          27.0 |             24.0 |           250.803 |  0.001888 |        0.0 |   1.0 |   3.0 |
          27.0 |             24.0 |          2809.778 | 2.754e-06 |   363130.0 |   2.0 |   3.0 |
          27.0 |             24.0 |           196.383 | 2.985e-10 |        0.0 |   1.0 |   4.0 |
          27.0 |             24.0 |           905.059 | 1.077e-05 |   398720.0 |   3.0 |   4.0 |
          27.0 |             24.0 |           684.556 | 4.851e-10 |   363130.0 |   2.0 |   4.0 |
          27.0 |             24.0 |            125.15 |    0.1499 |        0.0 |   1.0 |   5.0 |
          27.0 |             24.0 |           492.611 | 0.0008268 |   799040.0 |   5.0 |   6.0 |
          27.0 |             24.0 |            165.75 |   0.05247 |   398720.0 |   3.0 |   6.0 |
          27.0 |             24.0 |           344.649 | 0.0005568 |   799040.0 |   5.0 |   7.0 |
          27.0 |             24.0 |           144.829 |   0.04269 |   398720.0 |   3.0 |   7.0 |
          27.0 |             24.0 |            137.73 |   0.06201 |   363130.0 |   2.0 |   7.0 |
          27.0 |             24.0 |            172.42 |   0.06085 |   509210.0 |   4.0 |   7.0 |
          27.0 |             24.0 |           294.898 |   0.03096 |   799040.0 |   5.0 |   8.0 |
          27.0 |             24.0 |           135.241 |   0.08172 |   398720.0 |   3.0 |   8.0 |
          27.0 |             24.0 |             159.0 |     0.138 |   509210.0 |   4.0 |   8.0 |
          27.0 |             24.0 |           204.098 |    0.1542 |   799040.0 |   5.0 |   9.0 |
          27.0 |             24.0 |           112.324 |  0.005985 |   398720.0 |   3.0 |   9.0 |
          27.0 |             24.0 |            128.24 |   0.07705 |   509210.0 |   4.0 |   9.0 |
          27.0 |             24.0 |             139.8 |   0.09942 |   799040.0 |   5.0 |  10.0 |
          27.0 |             24.0 |            89.635 | 0.0002656 |   398720.0 |   3.0 |  10.0 |
          27.0 |             24.0 |            11.294 |  0.002317 |   799040.0 |   5.0 |  11.0 |
          27.0 |             24.0 |            10.806 |   0.07596 |   398720.0 |   3.0 |  11.0 |
          27.0 |             24.0 |            10.764 |   0.02546 |   363130.0 |   2.0 |  11.0 |
          27.0 |             24.0 |            10.936 |     0.133 |   509210.0 |   4.0 |  11.0 |
          27.0 |             24.0 |            11.182 |   0.02977 |   799040.0 |   5.0 |  12.0 |
          27.0 |             24.0 |            11.838 |  4.09e-06 |  1289000.0 |   9.0 |  12.0 |
          27.0 |             24.0 |            10.693 | 0.0003279 |   398720.0 |   3.0 |  12.0 |
          27.0 |             24.0 |            11.625 | 2.327e-06 |  1138140.0 |   8.0 |  12.0 |
          27.0 |             24.0 |            11.054 | 2.094e-08 |   799040.0 |   5.0 |  13.0 |
          27.0 |             24.0 |           567.998 |   0.04113 |  9653000.0 |  11.0 |  13.0 |
          27.0 |             24.0 |            11.416 |  0.000876 |  1089190.0 |   7.0 |  13.0 |
          27.0 |             24.0 |            10.704 | 0.0001148 |   509210.0 |   4.0 |  13.0 |
          27.0 |             24.0 |            10.145 |    0.2643 |        0.0 |   1.0 |  14.0 |
          27.0 |             24.0 |            11.053 | 9.183e-05 |   799040.0 |   5.0 |  14.0 |
