 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |   E_i(cm^-1) |     i |     j |
          24.0 |              6.0 | 337.18499755859375 |    0.29853999614715576 |          0.0 |   1.0 |   4.0 |
          24.0 |              6.0 |  335.1239929199219 |    0.05998000130057335 |          0.0 |   1.0 |   5.0 |
          24.0 |              6.0 | 307.20098876953125 | 5.6363998737651855e-05 |          0.0 |   1.0 |   6.0 |
          24.0 |              6.0 |  306.7309875488281 |  0.0001253160007763654 |          0.0 |   1.0 |   7.0 |
          24.0 |              6.0 |  305.9360046386719 | 2.7733199203794356e-06 |          0.0 |   1.0 |   8.0 |
          24.0 |              6.0 |  291.0929870605469 | 1.8923599782283418e-05 |          0.0 |   1.0 |  11.0 |
          24.0 |              6.0 |  289.3039855957031 |  9.527999645797536e-05 |          0.0 |   1.0 |  14.0 |
          24.0 |              6.0 |   288.156005859375 | 0.00016865599900484085 |          0.0 |   1.0 |  15.0 |
          24.0 |              6.0 | 288.06500244140625 |  7.345199992414564e-05 |          0.0 |   1.0 |  16.0 |
          24.0 |              6.0 |  282.4129943847656 |   0.004645199980586767 |          0.0 |   1.0 |  17.0 |
          24.0 |              6.0 |  282.1700134277344 |  0.0063240001909434795 |          0.0 |   1.0 |  18.0 |
          24.0 |              6.0 |  280.1419982910156 |   0.022233199328184128 |          0.0 |   1.0 |  21.0 |
          24.0 |              6.0 |  279.7699890136719 |    0.02426600083708763 |          0.0 |   1.0 |  22.0 |
          24.0 |              6.0 | 279.04400634765625 | 0.00010069199925055727 |          0.0 |   1.0 |  23.0 |
          24.0 |              6.0 |  275.5150146484375 |   0.001721880049444735 |          0.0 |   1.0 |  25.0 |
          24.0 |              6.0 |  272.8210144042969 |  0.0004965999978594482 |          0.0 |   1.0 |  26.0 |
          24.0 |              6.0 |  264.0769958496094 |    0.08531200140714645 |          0.0 |   1.0 |  32.0 |
          24.0 |              6.0 | 262.59600830078125 |  0.0002118359989253804 |          0.0 |   1.0 |  34.0 |
          24.0 |              6.0 | 261.70098876953125 |  0.0013804000336676836 |          0.0 |   1.0 |  35.0 |
          24.0 |              6.0 |  260.8389892578125 |   0.001383560011163354 |          0.0 |   1.0 |  36.0 |
          24.0 |              6.0 | 253.66799926757812 |   0.004731600172817707 |          0.0 |   1.0 |  37.0 |
          24.0 |              6.0 |  252.0030059814453 |  0.0006531199906021357 |          0.0 |   1.0 |  38.0 |
          24.0 |              6.0 |  249.9429931640625 | 0.00030269200215116143 |          0.0 |   1.0 |  39.0 |
          24.0 |              6.0 | 249.92100524902344 |  0.0005370400031097233 |          0.0 |   1.0 |  40.0 |
