 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik | E_i(cm^-1) |     i |     j |
          24.0 |             10.0 | 216.72000122070312 |    5.011872291564941 |    39450.0 | 333.0 | 666.0 |
          24.0 |             10.0 | 223.86000061035156 |   1.1481536626815796 |        0.0 | 333.0 | 666.0 |
          24.0 |             10.0 | 224.74000549316406 |    2.290867805480957 |        0.0 | 333.0 | 666.0 |
          24.0 |             10.0 | 226.24000549316406 |    3.388441324234009 |        0.0 | 333.0 | 666.0 |
          24.0 |             10.0 | 227.42001342773438 |   1.6218100786209106 |    37103.0 | 333.0 | 666.0 |
          24.0 |             10.0 |  228.7100067138672 |   2.1379621028900146 |    39450.0 | 333.0 | 666.0 |
          24.0 |             10.0 |  231.2100067138672 |   0.3890451490879059 |    63935.0 | 333.0 | 666.0 |
          24.0 |             10.0 | 232.95999145507812 |   1.4454398155212402 |    67157.0 | 333.0 | 666.0 |
          24.0 |             10.0 |  395.9840087890625 |   0.2238721251487732 |    37103.0 | 333.0 | 666.0 |
          24.0 |             10.0 |  398.1499938964844 |    0.301995187997818 |    39450.0 | 333.0 | 666.0 |
          24.0 |             10.0 |  399.7070007324219 | 0.006760828662663698 |    39450.0 | 333.0 | 666.0 |
          24.0 |             10.0 |  411.6549987792969 |   0.0660693496465683 |        0.0 | 333.0 | 666.0 |
          24.0 |             10.0 | 416.69000244140625 |  0.13489629328250885 |        0.0 | 333.0 | 666.0 |
          24.0 |             10.0 |  427.5509948730469 |  0.19952623546123505 |        0.0 | 333.0 | 666.0 |
          24.0 |             10.0 |  443.0619812011719 |  0.02818383276462555 |    63935.0 | 333.0 | 666.0 |
          24.0 |             10.0 | 447.52899169921875 |  0.07413102686405182 |    67157.0 | 333.0 | 666.0 |
%NIST
